N	2gram	Tiupa_Narr	VelikijI
1	и не	20	20
2	и в	19	16
3	то что	11	9
4	еще не	7	8
5	и потому	2	7
6	что они	3	7
7	а не	12	7
8	на земле	1	7
9	не есть	3	6
10	хотя и	3	5
11	того что	2	5
12	как бы	4	5
13	на себя	3	5
14	в мире	9	5
15	но и	23	5
16	в котором	1	4
17	в этом	17	4
18	что мы	2	4
19	потому что	1	4
20	в его	9	4
21	в ней	3	4
22	так и	9	4
23	это еще	1	4
24	говорить о	2	4
25	с богом	1	4
26	и есть	2	4
27	и все	2	4
28	что не	4	4
29	что все	1	4
30	как и	7	4
31	что он	6	4
32	нет у	2	4
33	в нем	4	4
34	во всех	1	3
35	что в	3	3
36	нет ничего	1	3
37	не верят	1	3
38	в конце	1	3
39	в первый	1	3
40	если не	4	3
41	хотя бы	4	3
42	в том	18	3
43	первый раз	1	3
44	к вечности	1	3
45	не в	14	3
46	что и	1	3
47	ни в	3	3
48	они в	2	3
49	в них	1	3
50	оно не	2	3
51	не было	2	3
52	христа в	1	3
53	лишь в	1	3
54	как не	1	3
55	их в	1	3
56	должна быть	2	3
57	с его	6	3
58	от этого	1	3
59	не имеет	2	3
60	но это	1	3
61	и для	2	3
62	жизни и	3	3
63	в чем	1	3
64	все эти	2	3
65	тот же	1	3
66	но в	6	3
67	к тому	7	3
68	никогда не	3	3
69	чтобы сделать	1	2
70	что было	1	2
71	всего в	1	2
72	тоска по	1	2
73	от него	1	2
74	его и	1	2
75	над ними	1	2
76	в смысл	1	2
77	один из	3	2
78	мы и	1	2
79	не могли	1	2
80	они и	2	2
81	которым можно	2	2
82	на том	3	2
83	не так	1	2
84	это не	2	2
85	это все	2	2
86	между тем	3	2
87	не только	32	2
88	и над	1	2
89	для него	2	2
90	человека как	1	2
91	и тогда	1	2
92	с ним	1	2
93	является в	1	2
94	не будет	3	2
95	для нас	1	2
96	и то	1	2
97	и за	1	2
98	не с	3	2
99	прежде всего	4	2
100	можно было	2	2
101	в форме	5	2
102	вслед за	4	2
103	мы не	1	2
104	только в	4	2
105	все равно	1	2
106	а с	3	2
107	а в	11	2
108	в прошлом	3	2
109	истории и	2	2
110	и сам	1	2
111	людей так	1	2
112	нет и	2	2
113	но не	6	2
114	тем что	3	2
115	легенда о	1	2
116	и во	1	2
117	могут быть	3	2
118	одна из	3	2
119	не могут	1	2
120	да и	4	2
121	есть уже	1	2
122	том что	14	2
123	когда в	1	2
124	почему в	1	2
125	в себя	6	2
126	уже не	5	2
127	только стало	1	2
128	мира в	5	2
129	вечности и	1	2
130	жизни но	2	1
131	в новом	1	1
132	с которыми	1	1
133	в самом	1	1
134	бы то	3	1
135	в религиозном	1	1
136	мире и	1	1
137	того кому	1	1
138	могли бы	1	1
139	связь с	1	1
140	то есть	19	1
141	люди что	2	1
142	его личности	2	1
143	было не	1	1
144	человека в	2	1
145	но как	2	1
146	и быть	1	1
147	ее к	1	1
148	если оно	1	1
149	что оно	1	1
150	любви и	1	1
151	слова которое	1	1
152	человеческой жизни	1	1
153	речь идет	4	1
154	и столь	1	1
155	тоже не	1	1
156	если за	1	1
157	будто бы	3	1
158	и на	3	1
159	ничем не	1	1
160	далее и	1	1
161	на этом	1	1
162	может быть	25	1
163	хоть и	1	1
164	чтобы заставить	1	1
165	они не	2	1
166	что нет	2	1
167	и было	1	1
168	если в	3	1
169	лет назад	1	1
170	указать на	1	1
171	которая в	2	1
172	мы увидим	1	1
173	и вообще	1	1
174	и который	1	1
175	свободного выбора	1	1
176	в роли	2	1
177	она не	2	1
178	но она	1	1
179	уже в	3	1
180	человеческого бытия	1	1
181	есть прежде	1	1
182	в состоянии	1	1
183	для себя	1	1
184	с этой	1	1
185	то же	4	1
186	живет в	1	1
187	то ни	3	1
188	не по	1	1
189	больше или	1	1
190	не быть	1	1
191	и должна	1	1
192	но от	2	1
193	что это	3	1
194	не всегда	2	1
195	в глазах	1	1
196	о чем	2	1
197	с такой	1	1
198	в ее	3	1
199	и тем	4	1
200	и уже	1	1
201	возможна лишь	1	1
202	говорит о	2	1
203	как это	6	1
204	но может	1	1
205	не понимает	1	1
206	истории в	3	1
207	искать в	1	1
208	слова не	1	1
209	у нас	1	1
210	нового времени	2	1
211	церкви и	1	1
212	в этой	5	1
213	мира с	1	1
214	со словами	2	1
215	в результате	2	1
216	в виду	1	1
217	другой стороны	4	1
218	его по	2	1
219	человека к	1	1
220	у него	4	1
221	не существует	3	1
222	так же	2	1
223	тогда как	12	1
224	теперь у	1	1
225	над ним	1	1
226	в будущем	2	1
227	в противоположность	2	1
228	о возможности	1	1
229	в разные	1	1
230	с другой	8	1
231	на разных	1	1
232	но все	4	1
233	идти в	1	1
234	и с	4	1
235	выбора в	1	1
236	наших дней	1	1
237	отношение к	2	1
238	на путь	1	1
239	это случилось	1	1
240	было для	1	1
241	известном смысле	2	1
242	последний из	1	1
243	бытия и	1	1
244	в мир	1	1
245	себя с	1	1
246	выбора все	1	1
247	то и	1	1
248	или даже	2	1
249	в понимании	1	1
250	никогда и	1	1
251	как мы	3	1
252	имеет своим	1	1
253	в мировом	1	1
254	и до	2	1
255	в процессе	1	1
256	бы все	1	1
