N	4gram	Propp_Isto	Komedia
1	в то время как	4	9
2	бы то ни было	1	7
3	в том что он	1	4
4	как бы то ни	1	3
5	иначе обстоит дело с	1	3
6	один и тот же	1	3
7	состоит в том что	1	2
8	с этой точки зрения	3	2
9	с одной стороны и	1	2
10	в тех случаях когда	6	2
11	между небом и землей	1	2
12	друг с другом и	1	1
13	но вместе с тем	2	1
14	ясно во всяком случае	1	1
15	таким образом и здесь	1	1
16	и здесь нет необходимости	1	1
17	в зависимости от того	1	1
18	даже в тех случаях	2	1
19	на вопрос почему в	1	1
20	о чем говорилось выше	1	1
21	по тому что она	1	1
22	как мы уже знаем	1	1
23	состоял в том что	1	1
24	начинается с того что	3	1
25	тем не менее это	1	1
26	с одной стороны он	1	1
27	что у него в	1	1
28	во всяком случае в	1	1
29	с другой стороны он	2	1
30	так же как и	1	1
31	в самом деле и	1	1
32	одна и та же	1	1
