N	2gram	Berdyaev_N	SlovoVZh
1	не может	16	16
2	может быть	7	14
3	и его	1	13
4	и в	16	12
5	и не	11	10
6	так как	1	9
7	прежде всего	4	8
8	сказать что	3	7
9	все время	2	6
10	и героя	1	6
11	в ней	5	6
12	в том	8	6
13	только в	1	6
14	в нем	5	6
15	к содержанию	2	6
16	можно сказать	1	5
17	что мы	1	5
18	хотя бы	2	5
19	должна быть	3	5
20	а не	17	5
21	в виду	1	5
22	то что	4	5
23	в жизни	5	5
24	как и	7	5
25	как в	3	5
26	том что	2	5
27	но в	2	5
28	никогда не	6	5
29	в самом	1	4
30	и к	5	4
31	и на	2	4
32	не только	5	4
33	за пределы	3	4
34	от того	1	4
35	с другой	3	4
36	не в	6	4
37	что не	1	4
38	так и	2	4
39	уже не	2	4
40	жизни и	8	4
41	в этом	7	4
42	зависимости от	1	4
43	к нему	1	4
44	и с	2	3
45	до сих	1	3
46	и более	1	3
47	в котором	1	3
48	и пр	3	3
49	мы не	2	3
50	или не	1	3
51	с ним	1	3
52	не должна	1	3
53	все это	5	3
54	ни в	6	3
55	конечно не	3	3
56	по себе	1	3
57	так же	2	3
58	в них	4	3
59	в каком	1	3
60	но для	2	3
61	в себе	2	3
62	все эти	2	3
63	о том	4	3
64	в своей	3	3
65	не менее	4	3
66	в такой	1	3
67	нуждается в	1	3
68	но и	3	3
69	ведь и	2	3
70	и для	4	3
71	сих пор	1	3
72	формы и	2	3
73	не к	2	3
74	еще не	3	3
75	что в	9	2
76	все они	2	2
77	нет ничего	1	2
78	перестает быть	4	2
79	но это	6	2
80	и потому	4	2
81	социальной жизни	1	2
82	в то	2	2
83	по природе	1	2
84	со всех	4	2
85	нас и	1	2
86	зависит от	2	2
87	с одной	2	2
88	уже в	1	2
89	в его	1	2
90	она не	3	2
91	это не	4	2
92	одной стороны	2	2
93	от всех	1	2
94	в формах	1	2
95	как это	2	2
96	но все	1	2
97	от этой	1	2
98	мы в	1	2
99	и вражды	1	2
100	не способен	1	2
101	и что	2	2
102	другой стороны	2	2
103	и вполне	1	2
104	как не	8	2
105	в этих	1	2
106	есть уже	1	2
107	оно не	1	2
108	а к	1	2
109	на это	1	2
110	к ним	3	2
111	как на	1	2
112	человеческого общества	1	2
113	и все	4	2
114	но не	2	2
115	быть только	1	2
116	не есть	3	2
117	могут быть	2	2
118	с другими	1	2
119	в своем	1	2
120	той социальной	1	2
121	за его	1	2
122	вместе с	2	2
123	место в	2	2
124	в зависимости	1	2
125	такой же	2	2
126	в атмосфере	1	2
127	с его	6	2
128	себя и	1	2
129	он не	8	2
130	в чем	1	2
131	жизнью и	1	2
132	все в	1	1
133	и мир	1	1
134	к одному	1	1
135	уже во	1	1
136	они являются	1	1
137	во всяком	1	1
138	это и	2	1
139	но можно	1	1
140	то он	1	1
141	во всех	3	1
142	по преимуществу	1	1
143	в обществе	2	1
144	выходит за	1	1
145	свои права	2	1
146	она должна	1	1
147	права и	2	1
148	не имеют	2	1
149	и было	2	1
150	и сейчас	1	1
151	должно быть	4	1
152	мы уже	1	1
153	ли он	1	1
154	значение и	1	1
155	т.е к	1	1
156	и того	1	1
157	от нее	1	1
158	она создает	1	1
159	она могла	1	1
160	может идти	1	1
161	особого рода	1	1
162	в свою	1	1
163	в значительной	1	1
164	того чтобы	2	1
165	осознавать себя	1	1
166	в основе	3	1
167	и их	1	1
168	не должно	1	1
169	тому как	3	1
170	вопросу о	1	1
171	на протяжении	2	1
172	он находится	1	1
173	хотя и	2	1
174	характерны для	1	1
175	это уже	1	1
176	в новой	7	1
177	мы должны	1	1
178	в ее	3	1
179	и т.п	2	1
180	нашего времени	2	1
181	видимого и	1	1
182	политической жизни	1	1
183	и вся	1	1
184	должны быть	1	1
185	вступает в	1	1
186	одна сторона	1	1
187	не хочет	1	1
188	в области	1	1
189	у нас	1	1
190	природе но	1	1
191	можно было	2	1
192	и это	2	1
193	для них	1	1
194	значительной степени	1	1
195	этом смысле	2	1
196	подобно тому	3	1
197	во времени	1	1
198	том и	2	1
199	природу и	1	1
200	и которые	1	1
201	у него	2	1
202	не на	1	1
203	в истории	3	1
204	не могут	1	1
205	не существует	3	1
206	и явления	1	1
207	она становится	1	1
208	должен предшествовать	1	1
209	и общества	2	1
210	в большинстве	1	1
211	другая сторона	1	1
212	не было	4	1
213	когда мы	2	1
214	как например	1	1
215	сами по	1	1
216	с ее	5	1
217	время как	2	1
218	было бы	1	1
219	не знает	6	1
220	сферы в	1	1
221	к тому	3	1
222	и общего	1	1
223	люди не	2	1
224	в свои	2	1
225	себя на	1	1
226	равно как	2	1
227	так называемый	1	1
228	и мы	4	1
229	мы отлично	1	1
230	протяжении всей	1	1
231	что она	2	1
232	бытия и	1	1
233	о самом	1	1
234	этого нельзя	1	1
235	менее всего	1	1
236	отлично знаем	1	1
237	наряду с	3	1
238	и во	1	1
239	только одна	1	1
240	то время	1	1
241	с большим	1	1
242	всех сторон	4	1
243	в высшей	6	1
244	к которому	1	1
245	характер и	1	1
246	что все	2	1
247	самом себе	1	1
248	и она	1	1
249	есть в	2	1
250	же как	2	1
251	быть понята	1	1
252	как часто	1	1
253	как будто	2	1
254	жизни в	3	1
255	есть только	1	1
256	дальше и	1	1
257	но если	1	1
258	они не	1	1
259	на себя	1	1
260	все более	1	1
261	и только	1	1
262	по своей	1	1
263	и оно	1	1
264	друг друга	1	1
265	в эти	1	1
266	к вопросу	1	1
267	для этого	2	1
268	себе и	1	1
269	в смысле	2	1
270	не всегда	1	1
271	на их	1	1
272	культуры в	5	1
273	себя в	2	1
274	и из	1	1
275	думать что	2	1
276	гораздо больше	1	1
277	обращение к	2	1
278	и рождается	1	1
279	который и	1	1
280	всяком случае	1	1
281	только для	1	1
282	на них	1	1
283	высшей степени	6	1
