N	3gram	Tiupa_Narr	KulturaY
1	с точки зрения	2	36
2	в том что	8	33
3	в самом деле	1	29
4	можно было бы	2	25
5	тем не менее	3	19
6	с другой стороны	4	17
7	до сих пор	1	14
8	в том чтобы	1	14
9	по отношению к	6	13
10	по крайней мере	1	13
11	только потому что	1	13
12	в связи с	2	12
13	не может быть	5	11
14	в этом отношении	3	11
15	в этом смысле	1	10
16	о том что	6	10
17	того или иного	2	9
18	само по себе	1	8
19	на самом деле	1	8
20	не только в	2	8
21	мере в какой	1	7
22	в той мере	1	7
23	той мере в	1	7
24	а с другой	1	7
25	в свою очередь	3	7
26	с одной стороны	7	7
27	в отличие от	5	6
28	к тому же	4	6
29	то же время	3	6
30	той или иной	4	6
31	этой точки зрения	2	6
32	в то же	3	6
33	в первую очередь	1	6
34	в свое время	1	6
35	то или иное	2	5
36	с этой точки	1	5
37	так и в	1	5
38	речь идет о	2	5
39	более или менее	2	5
40	в соответствии с	1	5
41	в данном случае	4	5
42	но все же	4	5
43	тем более что	1	5
44	как мы видели	1	5
45	в конечном счете	2	4
46	так или иначе	2	4
47	сам по себе	1	4
48	том что он	1	4
49	в первом случае	2	4
50	и того же	1	4
51	состоит в том	3	4
52	одного и того	1	4
53	только то что	1	4
54	точно так же	2	4
55	так же как	2	4
56	именно в том	2	4
57	тот или иной	1	4
58	в таком случае	2	3
59	тех или иных	1	3
60	в известном смысле	2	3
61	не то что	2	3
62	на себя внимание	3	3
63	и не в	4	3
64	к тому чтобы	1	3
65	при этом что	1	3
66	в той или	2	2
67	и прежде всего	1	2
68	это дает нам	1	2
69	у нас нет	1	2
70	по себе не	1	2
71	обращает на себя	3	2
72	в том числе	6	2
73	и тот же	1	2
74	ни одного слова	1	2
75	друг от друга	1	2
76	является ли это	1	2
77	может быть только	1	2
78	сами по себе	2	2
79	иметь в виду	1	2
80	по себе они	1	2
81	и в то	1	2
82	а не с	1	2
83	том что оно	1	2
84	тем самым мы	1	2
85	бы то ни	3	2
86	а то и	1	2
87	самом деле не	1	2
88	в этом своем	1	2
89	в данный момент	1	2
90	так и не	2	2
91	один и тот	1	2
92	том или ином	2	2
93	прежде всего в	1	2
94	можно сказать что	4	2
95	поскольку речь идет	1	2
96	и в особенности	1	2
97	все те же	4	2
98	не что иное	2	2
99	то только потому	1	2
100	что иное как	2	2
101	точки зрения как	1	2
102	может быть и	1	2
103	из них как	1	1
104	отношению к которому	2	1
105	вовсе не то	1	1
106	что это все	2	1
107	уст в уста	1	1
108	именно это и	1	1
109	с совершенно иными	1	1
110	они свидетельствуют о	1	1
111	все то что	1	1
112	лет тому назад	1	1
113	возможна не только	1	1
114	является как бы	1	1
115	в действительности и	1	1
116	поскольку с одной	1	1
117	может быть лучше	1	1
118	то что он	1	1
119	и характерное для	1	1
120	он уже не	1	1
121	в силу которого	1	1
122	это одно из	1	1
123	в первый раз	1	1
124	до наших дней	1	1
125	в результате ли	1	1
126	в силу своей	1	1
127	в случае с	1	1
128	но именно это	1	1
129	это часто бывает	1	1
130	всю свою жизнь	1	1
131	в качестве одного	1	1
132	однако с другой	1	1
133	а в особенности	1	1
134	одна за другой	1	1
135	есть не что	1	1
136	не могло не	1	1
137	на протяжении этого	2	1
138	еще не является	1	1
139	по аналогии с	1	1
140	не о том	1	1
141	и тем самым	3	1
142	том что в	1	1
143	в том или	2	1
144	что именно в	1	1
145	что в этом	1	1
146	то ни было	3	1
147	которая может быть	1	1
148	очевидно что в	1	1
149	то же самое	1	1
150	значении этого слова	2	1
151	в отвлечении от	2	1
152	или иной степени	1	1
153	все без исключения	1	1
154	но это не	1	1
155	в значительной степени	2	1
156	а во втором	2	1
157	ни для кого	1	1
158	внимание на некоторые	1	1
159	в этом последнем	1	1
160	а также и	1	1
161	может и не	1	1
162	как своего рода	1	1
163	как это часто	1	1
164	обращается к нему	1	1
165	качестве одного из	1	1
166	дело не с	1	1
167	по происхождению являются	1	1
168	не с точки	1	1
169	а не как	1	1
170	необходимо указать на	1	1
171	в последние десятилетия	1	1
172	читателя или слушателя	4	1
173	ту или иную	2	1
174	следует отметить что	1	1
175	как и в	1	1
176	какой бы то	1	1
177	к одному из	1	1
178	от друга в	1	1
179	и не было	1	1
180	существенно разнится от	1	1
181	здесь сводится к	1	1
182	с легкой руки	1	1
183	и с точки	1	1
184	далеко не все	1	1
185	дело в том	1	1
186	она все же	1	1
187	есть прежде всего	1	1
188	в этой фразе	1	1
189	и больше всего	1	1
190	и то что	1	1
191	и при этом	1	1
192	говорить о разных	1	1
193	или иной форме	1	1
194	тогда как в	2	1
195	из уст в	1	1
196	то что они	1	1
197	далеко не всегда	1	1
198	в году в	1	1
199	что несмотря на	1	1
