N	2gram	Tiupa_Hudo	VelikijI
1	и не	16	20
2	и в	23	16
3	так как	1	9
4	то что	5	9
5	в истории	1	8
6	еще не	4	8
7	и потому	2	7
8	что они	1	7
9	а не	13	7
10	на земле	1	7
11	человека и	2	6
12	не есть	1	6
13	о счастье	1	5
14	хотя и	4	5
15	того что	5	5
16	все это	2	5
17	по пути	4	5
18	как бы	11	5
19	в мире	24	5
20	но и	14	5
21	все что	1	4
22	в котором	1	4
23	в этом	12	4
24	потому что	3	4
25	в его	11	4
26	свою личность	1	4
27	во мне	2	4
28	так и	12	4
29	это еще	1	4
30	говорить о	4	4
31	и есть	1	4
32	смысла жизни	1	4
33	что не	1	4
34	мировой жизни	1	4
35	что все	1	4
36	как и	3	4
37	что он	5	4
38	и я	1	4
39	в нем	6	4
40	во всех	3	3
41	что в	7	3
42	бы и	1	3
43	и против	1	3
44	за ним	1	3
45	в конце	1	3
46	должно быть	1	3
47	этого мира	1	3
48	если не	1	3
49	в том	20	3
50	тому что	2	3
51	личности и	3	3
52	не в	9	3
53	и что	4	3
54	что и	2	3
55	ни в	5	3
56	превращается в	2	3
57	в этих	4	3
58	в них	2	3
59	оно не	2	3
60	не было	1	3
61	лишь в	7	3
62	к чему	1	3
63	и будет	1	3
64	в жизни	3	3
65	по этому	1	3
66	их в	3	3
67	в своей	7	3
68	всех людей	1	3
69	с его	6	3
70	к бытию	2	3
71	от этого	1	3
72	не имеет	1	3
73	восстает против	1	3
74	и для	3	3
75	жизни и	1	3
76	в чем	2	3
77	все эти	2	3
78	тот же	1	3
79	но в	10	3
80	к тому	4	3
81	никогда не	2	3
82	людей в	1	3
83	всего в	1	2
84	от него	1	2
85	что от	1	2
86	один из	2	2
87	освобождения от	1	2
88	послужить материалом	1	2
89	не могли	2	2
90	личности а	1	2
91	более чем	1	2
92	не так	1	2
93	того чтобы	5	2
94	это не	4	2
95	между тем	4	2
96	не только	20	2
97	для него	5	2
98	человека как	1	2
99	ивана карамазова	1	2
100	с ним	2	2
101	не будет	3	2
102	ее в	2	2
103	для нас	1	2
104	и то	4	2
105	не с	2	2
106	прежде всего	5	2
107	в форме	4	2
108	вслед за	2	2
109	и это	2	2
110	и теперь	1	2
111	только в	7	2
112	а с	2	2
113	личность как	1	2
114	ведет по	2	2
115	а в	13	2
116	до того	1	2
117	в прошлом	1	2
118	и сам	3	2
119	я думаю	2	2
120	но не	13	2
121	тем что	1	2
122	тот кто	2	2
123	по которым	1	2
124	могут быть	5	2
125	значения и	2	2
126	к нам	1	2
127	одна из	2	2
128	не могут	1	2
129	да и	1	2
130	том что	9	2
131	своей свободы	1	2
132	но мы	1	2
133	в себя	4	2
134	уже не	6	2
135	мира в	2	2
136	от своей	1	2
137	жизни но	2	1
138	и мир	1	1
139	с которыми	1	1
140	в самом	7	1
141	бы то	2	1
142	мире и	2	1
143	того кому	1	1
144	личностью и	1	1
145	художественный образ	1	1
146	могли бы	1	1
147	и другие	2	1
148	то есть	26	1
149	хотят скрыть	1	1
150	его личности	1	1
151	и пусть	1	1
152	но как	2	1
153	возможно в	1	1
154	небытию в	1	1
155	папы и	1	1
156	мы видим	1	1
157	самой жизни	1	1
158	на котором	2	1
159	это тот	1	1
160	человеческой жизни	3	1
161	речь идет	2	1
162	тоже не	1	1
163	он говорит	1	1
164	и на	3	1
165	на части	1	1
166	на этом	2	1
167	же и	1	1
168	может быть	19	1
169	они не	1	1
170	после того	1	1
171	себя только	1	1
172	раз и	1	1
173	и свою	1	1
174	свое место	1	1
175	если в	1	1
176	которая в	1	1
177	но лишено	1	1
178	и который	2	1
179	свободного выбора	1	1
180	в роли	3	1
181	но она	2	1
182	человеческого бытия	2	1
183	в состоянии	1	1
184	для себя	4	1
185	с этой	3	1
186	то же	12	1
187	живет в	1	1
188	теперь в	1	1
189	только мы	1	1
190	то ни	2	1
191	для того	5	1
192	этом мире	2	1
193	не по	1	1
194	можно признать	1	1
195	нельзя не	1	1
196	не быть	1	1
197	не для	1	1
198	этом пути	1	1
199	но от	2	1
200	думаю что	1	1
201	для таких	1	1
202	что это	1	1
203	образа в	1	1
204	не всегда	2	1
205	людей как	1	1
206	с внутренним	1	1
207	о чем	3	1
208	в ее	6	1
209	и тем	4	1
210	души и	1	1
211	ты и	1	1
212	говорит о	1	1
213	как это	7	1
214	чем у	1	1
215	свободу личности	1	1
216	в которую	1	1
217	если нет	1	1
218	слова не	2	1
219	и внешнее	1	1
220	теми которые	1	1
221	в одном	3	1
222	у нас	1	1
223	нового времени	2	1
224	к творческим	1	1
225	о своем	1	1
226	в этой	2	1
227	мира с	2	1
228	в результате	1	1
229	говорит что	2	1
230	этой тайны	1	1
231	кто бы	1	1
232	в виду	5	1
233	другой стороны	6	1
234	я не	2	1
235	человека к	3	1
236	в русском	1	1
237	у него	2	1
238	счастье но	1	1
239	из нас	1	1
240	не существует	1	1
241	так же	2	1
242	тогда как	15	1
243	не была	1	1
244	но с	1	1
245	в своих	1	1
246	постигнуть смысл	1	1
247	с отвращением	1	1
248	в противоположность	3	1
249	всего что	1	1
250	с другой	9	1
251	в которой	3	1
252	я в	13	1
253	выбора в	1	1
254	о мире	1	1
255	к ним	1	1
256	жизнь в	1	1
257	есть такое	1	1
258	утверждения ее	1	1
259	существует как	1	1
260	им по	1	1
261	отношение к	7	1
262	на нее	1	1
263	известном смысле	2	1
