N	3gram	Vygotskiy_	VelikijI
1	за то что	1	3
2	в первый раз	2	3
3	к тому что	5	3
4	то что мы	3	3
5	и т д	6	2
6	первый раз о	1	2
7	в том что	20	2
8	а между тем	1	2
9	все тот же	2	2
10	вместо того чтобы	3	2
11	том что он	3	2
12	никогда еще не	1	2
13	не могли бы	1	1
14	он говорит что	2	1
15	все это мы	1	1
16	с пути и	1	1
17	вместе с тем	3	1
18	и вместе с	3	1
19	мы видим что	7	1
20	видим что все	1	1
21	так ли это?	1	1
22	и другое и	1	1
23	в ней и	1	1
24	может быть этот	1	1
25	и никогда не	2	1
26	в словах его	1	1
27	по сравнению с	1	1
28	как и в	1	1
29	и то и	3	1
30	с тем чтобы	1	1
31	и что в	2	1
32	то и другое	3	1
33	в жизни и	2	1
34	как бы в	1	1
35	но под конец	1	1
36	и не было	1	1
37	но все же	1	1
38	с другой стороны	5	1
39	должна быть скрыта	1	1
40	будем говорить о	1	1
41	и в этом	6	1
42	так как она	1	1
