N	3gram	Voloshinov	Hudozhes
1	по отношению к	2	10
2	в том что	1	8
3	в то же	9	7
4	то же время	7	7
5	с другой стороны	1	6
6	более или менее	1	6
7	той или иной	4	5
8	в конечном счете	1	5
9	для того чтобы	7	5
10	того или иного	5	4
11	не может быть	2	4
12	мы имеем в	1	3
13	с точки зрения	5	3
14	тем не менее	1	3
15	можно сказать что	2	3
16	и то же	5	3
17	одного и того	1	3
18	одно и то	5	3
19	несет в себе	1	3
20	и того же	1	3
21	в связи с	2	3
22	тот или иной	2	3
23	в свою очередь	4	2
24	в русской литературе	1	2
25	по большей части	1	2
26	ту или иную	4	2
27	в том и	1	2
28	в самом деле	2	2
29	внутренней и внешней	3	2
30	не в самом	1	2
31	тех или иных	3	2
32	и в то	2	2
33	к тому что	2	2
34	в значительной степени	2	2
35	себе в этом	1	1
36	в одном и	1	1
37	больше и больше	2	1
38	и как бы	2	1
39	все то что	2	1
40	есть в зависимости	1	1
41	в иной ситуации	1	1
42	и том же	2	1
43	и тем же	2	1
44	является как бы	1	1
45	того времени когда	1	1
46	человека с человеком	1	1
47	вследствие того что	1	1
48	к чему не	2	1
49	та или иная	1	1
50	заключает в себе	4	1
51	по крайней мере	1	1
52	по ту сторону	1	1
53	о том что	2	1
54	то или иное	4	1
55	форма внутренней речи	1	1
56	во внутренней речи	3	1
57	в себе и	1	1
58	как и в	1	1
59	он не будет	1	1
60	перед тем как	1	1
61	не является ни	1	1
62	и тем более	1	1
63	и здесь остается	1	1
64	связи с этим	2	1
65	при этом не	1	1
66	к языку в	1	1
67	несмотря на свою	1	1
68	как это ни	1	1
69	именно потому что	1	1
70	не что иное	2	1
71	одним и тем	1	1
72	иметь в виду	1	1
73	но в то	2	1
74	содержит в себе	1	1
75	в зависимости от	7	1
76	и тем самым	3	1
77	и процесс их	1	1
78	в этом случае	3	1
79	своей жизни как	1	1
80	здесь как бы	1	1
81	сознания при этом	1	1
82	и по отношению	1	1
83	не только на	1	1
84	есть не что	2	1
85	и в жизни	1	1
86	в своей жизни	1	1
87	заключать в себе	1	1
88	между внутренней и	2	1
89	на первый взгляд	2	1
90	в хх веке	1	1
91	то же самое	4	1
92	что иное как	2	1
93	ни к чему	2	1
94	значений но и	1	1
95	и на его	2	1
96	как бы в	3	1
97	перед нами не	1	1
98	точки зрения и	1	1
99	одном и том	2	1
100	прежде всего в	4	1
101	в виду что	1	1
102	что несмотря на	1	1
103	до того времени	1	1
