N	4gram	Losev_Vesc	StatiiOP
1	дело в том что	4	9
2	в то же время	4	9
3	заключается в том что	2	6
4	в то время как	4	5
5	в том смысле что	1	3
6	это не значит что	1	3
7	и в самом деле	1	3
8	в том что он	2	3
9	и тем не менее	5	3
10	совершенно не при чем	1	2
11	в том что и	1	2
12	когда речь идет о	1	2
13	и т д на	1	2
14	и в то же	3	2
15	и вместе с тем	1	2
16	том что он не	1	2
17	но в то же	1	2
18	и т д и	11	2
19	ответ на вопрос о	1	2
20	бы то ни было	12	2
21	и в этом отношении	1	2
22	какие бы то ни	1	1
23	ни в каком случае	4	1
24	до самого последнего времени	1	1
25	что с точки зрения	1	1
26	одно из двух или	1	1
27	до сих пор мы	1	1
28	каких бы то ни	1	1
29	вообще с точки зрения	1	1
30	но даже и в	1	1
31	не только потому что	1	1
32	и т д в	1	1
33	она не могла бы	1	1
34	это вовсе еще не	1	1
35	та точка зрения которая	1	1
36	не может не быть	1	1
37	иначе и быть не	1	1
38	не может быть и	1	1
39	с этой точки зрения	3	1
40	что бы то ни	1	1
41	в каком случае не	2	1
42	т е не только	1	1
43	относится не только к	1	1
44	она является т е	1	1
45	также и то что	1	1
46	только в том что	1	1
47	в самом деле не	1	1
48	в самом деле в	1	1
49	с самого же начала	1	1
50	может быть и речи	1	1
51	т д и т	10	1
52	как можно было бы	1	1
53	одно и то же	5	1
54	и больше ничего а	1	1
55	не может быть никакого	1	1
56	и та и другая	1	1
57	свидетельствует о том что	3	1
58	по крайней мере три	1	1
59	в одно целое в	1	1
60	одному и тому же	1	1
61	и т д все	1	1
62	т д все это	1	1
63	указание на то что	1	1
64	д и т д	10	1
