N	4gram	Ircho_Kome	Narrotol
1	в то же время	5	8
2	состоит в том что	1	6
3	мы имеем дело с	1	5
4	обращает на себя внимание	4	3
5	к тому же в	5	2
6	с этой точки зрения	1	1
7	не что иное как	1	1
8	на себя внимание что	1	1
9	хоть и не слишком	1	1
10	в той же мере	1	1
11	сомневаться в том что	2	1
12	одна и та же	1	1
13	бы то ни было	4	1
14	ни в чем не	1	1
15	и не только в	1	1
16	в то время как	6	1
17	в том что ни	1	1
18	в том что именно	1	1
19	в том числе и	1	1
20	в том что он	4	1
21	представление о том что	1	1
22	в связи с этим	1	1
23	в том случае если	1	1
24	одна из них не	1	1
25	во всяком случае в	1	1
