N	4gram	Voloshinov	Istorich
1	не что иное как	1	11
2	во всех этих случаях	1	11
3	так же как и	2	9
4	но тем не менее	1	6
5	с этой точки зрения	1	6
6	с другой стороны и	1	5
7	мы не будем здесь	1	5
8	до сих пор мы	1	5
9	то же самое что	1	4
10	на этот вопрос мы	2	3
11	один и тот же	3	3
12	до сих пор не	1	3
13	с одной стороны и	1	3
14	бы то ни было	11	3
15	это не совсем так	1	3
16	в том что он	3	2
17	уже с самого начала	2	2
18	в соответствии с этим	1	2
19	а в связи с	1	2
20	одной и той же	2	2
21	одно и то же	3	2
22	на самом же деле	5	2
23	дело в том что	1	2
24	так же обстоит дело	1	2
25	и не может быть	5	2
26	в том числе и	3	2
27	только после этого мы	1	2
28	и в соответствии с	1	1
29	при более подробном анализе	1	1
30	не будем останавливаться на	1	1
31	является не чем иным	1	1
32	как мы только что	1	1
33	мы не будем останавливаться	1	1
34	но все же и	1	1
35	не может быть признано	1	1
36	если бы это был	1	1
37	с нашей точки зрения	1	1
38	в связи с этим	3	1
39	как мы уже знаем	2	1
40	несмотря на то что	1	1
41	по отношению к которым	1	1
42	только по отношению к	1	1
43	этом как мы увидим	1	1
44	и как мы видели	1	1
45	нами в предыдущей главе	1	1
46	не имеют ничего общего	1	1
47	на первый план выдвигается	1	1
48	с одной стороны оно	1	1
49	в более или менее	1	1
50	так как нам важно	1	1
51	друг с другом и	1	1
52	одни и те же	5	1
53	не только по отношению	1	1
54	более или менее случайно	1	1
55	узком смысле этого слова	1	1
56	не может выйти за	1	1
57	мы можем сказать что	1	1
58	с другой стороны оно	1	1
59	говоря уже о том	1	1
60	одна и та же	1	1
61	уже о том что	1	1
62	не говоря уже о	1	1
63	тем не менее в	1	1
64	к тому или иному	1	1
65	связаны друг с другом	1	1
66	не чем иным как	1	1
67	само нуждается в объяснении	1	1
68	имеют ничего общего с	1	1
69	в узком смысле этого	1	1
70	они не могут быть	1	1
71	как мы видели не	1	1
72	в каких формах осуществляется	1	1
73	на смену ему приходит	1	1
74	в большей или меньшей	1	1
75	приводит к тому что	1	1
76	и в большинстве случаев	1	1
77	какой бы то ни	3	1
78	без всякой связи с	1	1
79	в то же время	7	1
