N	4gram	Bakhtin_KF	Myshleni
1	одного и того же	1	17
2	один и тот же	3	12
3	только в том что	1	8
4	то же самое что	1	7
5	несмотря на то что	1	4
6	но для того чтобы	1	3
7	дело в том что	1	3
8	бы то ни было	2	3
9	одна и та же	2	3
10	с нашей точки зрения	1	2
11	только по отношению к	2	2
12	в то же время	2	2
13	какого бы то ни	1	2
14	это не имеет места	1	2
15	и по отношению к	1	2
16	по отношению к таким	1	1
17	с отвлеченной точки зрения	1	1
18	было бы для меня	1	1
19	в этом смысле можно	1	1
20	бы и не быть	2	1
21	не может возникнуть и	1	1
22	смысле этого слова ведь	1	1
23	но во всяком случае	1	1
24	вступает в противоречие с	1	1
25	могло бы и не	1	1
26	говорить ни о каких	1	1
27	до конца и своего	1	1
28	для него и для	1	1
29	и т.п но и	1	1
30	и та же мысль	1	1
31	и включает в себя	1	1
32	с точки зрения той	1	1
33	возможно там где есть	1	1
34	и в то же	1	1
35	и в этом смысле	1	1
36	он не может быть	1	1
37	в том что есть	1	1
38	только тогда когда оно	1	1
39	ни в чем не	4	1
40	с точки зрения теоретической	1	1
41	когда мы говорим о	1	1
42	по отношению ко всему	3	1
43	как бы он ни	1	1
44	дело здесь не в	1	1
45	ничем не отличаются от	1	1
46	во всех этих случаях	1	1
47	по отношению к которой	1	1
