N	4gram	Losev_Dial	Hudozhes
1	в то же время	3	7
2	мы имеем в виду	1	3
3	одно и то же	2	3
4	ни в коем случае	4	2
5	бы то ни было	1	2
6	в коем случае не	4	2
7	с этой точки зрения	4	2
8	и в то же	2	2
9	сама по себе а	1	1
10	иметь в виду что	1	1
11	не что иное как	6	1
12	в том отношении что	1	1
13	заключается в том что	1	1
14	с одной стороны и	1	1
15	не содержит в себе	1	1
16	исходит из того что	1	1
17	не сама по себе	1	1
18	но в то же	1	1
19	в связи с этим	1	1
20	ни к чему не	1	1
21	а не сама жизнь	1	1
22	личности а не ее	1	1
23	есть не что иное	3	1
