N	2gram	Vinokur_Vv	Narrotol
1	не только	26	62
2	и не	13	50
3	при этом	3	47
4	но и	7	45
5	а не	5	38
6	в качестве	8	35
7	в частности	3	31
8	может быть	30	30
9	и в	35	30
10	в том	38	29
11	в этом	35	28
12	тогда как	2	28
13	своего рода	3	28
14	том что	30	28
15	а в	6	27
16	такого рода	3	26
17	представляет собой	14	25
18	только в	16	25
19	состоит в	2	25
20	в данном	11	24
21	как и	7	24
22	не в	10	23
23	то что	19	23
24	в тексте	4	22
25	не может	19	20
26	в себе	4	17
27	данном случае	5	17
28	так и	2	17
29	а также	3	17
30	со стороны	16	16
31	в его	12	16
32	к тому	4	15
33	можно сказать	4	15
34	и т.п	1	15
35	но в	10	15
36	иначе говоря	1	15
37	в жизни	1	14
38	и его	6	14
39	то же	11	13
40	в своей	4	13
41	уже не	6	13
42	о том	16	13
43	в своем	3	13
44	у него	1	13
45	времени и	4	13
46	все же	9	12
47	на протяжении	2	12
48	как в	3	12
49	как бы	7	12
50	прежде всего	10	12
51	по отношению	4	11
52	об этом	6	11
53	хотя и	5	11
54	если бы	3	11
55	и тем	5	11
56	в этой	3	11
57	в нем	13	11
58	в отличие	4	11
59	отличие от	4	11
60	отношению к	4	11
61	один из	6	10
62	никогда не	3	10
63	тому же	1	10
64	точки зрения	12	10
65	между тем	10	10
66	как это	5	10
67	в то	6	10
68	и все	1	10
69	жизни и	2	10
70	ничего не	2	10
71	того что	12	10
72	но не	9	10
73	и т.д	5	10
74	в соответствии	2	9
75	как раз	4	9
76	тем не	9	9
77	той или	3	9
78	что в	13	9
79	с ним	1	9
80	истории в	2	9
81	что он	5	9
82	еще не	4	9
83	потому что	18	9
84	для него	1	9
85	далеко не	1	9
86	рассказа в	1	9
87	в той	10	8
88	и к	3	8
89	в самом	13	8
90	в таком	1	8
91	о чем	4	8
92	не менее	9	8
93	большей части	2	8
94	не мог	2	8
95	одна из	3	8
96	самом деле	7	8
97	того чтобы	22	8
98	внимание на	5	8
99	мы имеем	4	8
100	же время	6	8
101	соответствии с	2	8
102	и для	4	8
103	этом отношении	4	8
104	в литературе	1	8
105	у нас	2	8
106	или иной	3	8
107	мира в	1	8
108	в принципе	3	7
109	при всей	2	7
110	в котором	4	7
111	с другой	8	7
112	в ее	11	7
113	в конце	3	7
114	в чем	4	7
115	в силу	3	7
116	и на	3	7
117	в форме	2	7
118	же в	1	7
119	в свою	2	7
120	это не	8	7
121	из наиболее	4	7
122	или в	1	7
123	также и	20	7
124	в ней	3	7
125	одного из	1	7
126	в целом	5	7
127	все что	1	6
128	в результате	4	6
129	например в	2	6
130	между двумя	1	6
131	сказать что	6	6
132	имеем дело	1	6
133	о ней	1	6
134	то в	1	6
135	что у	1	6
136	с одной	4	6
137	что и	5	6
138	в конечном	3	6
139	могло бы	2	6
140	не могла	1	6
141	известном смысле	3	6
142	однако в	3	6
143	однако и	1	6
144	во втором	2	6
145	таким образом	21	6
146	представляют собой	9	6
147	никак не	1	6
148	в слове	3	6
149	в известном	3	6
150	из этих	9	6
151	здесь не	3	6
152	ответ на	4	6
153	они не	1	6
154	уже говорилось	1	6
155	слова в	1	6
156	не по	1	6
157	одной стороны	4	6
158	на то	2	6
159	в центре	4	5
160	только что	4	5
161	дело с	9	5
162	не столько	2	5
163	в своих	2	5
164	и даже	6	5
165	и сам	3	5
166	именно в	8	5
167	а именно	6	5
168	и того	3	5
169	свою очередь	2	5
170	в другом	3	5
171	для того	23	5
172	не всегда	1	5
173	о них	2	5
174	может служить	3	5
175	в одном	4	5
176	он сам	3	5
177	себя в	2	5
178	из них	4	5
179	к нему	3	5
180	от его	1	5
181	бы и	3	5
182	не было	2	5
183	или не	1	5
184	но для	1	5
185	человек в	1	5
186	так сказать	1	5
187	между собой	1	5
188	а для	1	5
189	по поводу	1	5
190	точку зрения	1	5
191	и от	1	5
192	и здесь	3	5
193	что это	3	5
194	подобно тому	2	5
195	если не	1	5
196	и у	1	5
197	с ними	1	5
198	да и	4	5
199	о котором	8	5
200	том как	1	5
201	вследствие этого	1	5
202	было бы	7	5
203	и уже	3	5
204	для нее	2	5
205	и то	7	5
206	мы не	2	5
207	на самом	1	5
208	о жизни	1	5
209	в какой	6	5
210	тем более	2	5
211	тому как	2	5
212	в начале	3	5
213	еще в	1	5
214	и о	1	5
215	этом и	1	5
216	место в	1	5
217	как будто	3	5
218	себе самому	1	5
219	еще раз	2	4
220	в виду	5	4
221	по себе	11	4
222	в них	5	4
223	в первом	5	4
224	и с	2	4
225	не вполне	4	4
226	не существует	2	4
227	хотя бы	6	4
228	только на	3	4
229	обратим внимание	2	4
230	к этому	3	4
231	представить себе	7	4
232	что они	2	4
233	на том	3	4
234	несмотря на	2	4
235	тому что	2	4
236	в себя	1	4
237	не будет	1	4
238	но зато	2	4
239	и ее	4	4
240	жизни а	1	4
241	для себя	1	4
242	xix столетия	1	4
243	это уже	2	4
244	о которой	2	4
245	не на	1	4
246	оно не	1	4
247	вместе с	6	4
248	не имеет	4	4
249	которая не	1	4
250	истории не	2	4
251	в итоге	1	4
252	не могло	1	4
253	в обоих	2	4
254	мог бы	2	4
255	всяком случае	5	4
256	в произведениях	1	4
257	в ходе	1	4
258	нас нет	1	4
259	зависит от	3	4
260	во всяком	5	4
261	для нас	1	4
262	раз в	1	4
263	и как	9	4
264	или даже	1	4
265	по своему	5	4
266	это было	1	4
267	в области	4	4
268	человека в	1	4
269	быть и	2	4
270	не с	3	4
271	как он	6	4
272	как мы	11	4
273	что на	1	4
274	не к	2	4
275	что было	1	3
276	и составляет	1	3
277	с этой	5	3
278	говорит о	3	3
279	в культуре	1	3
280	не бывает	2	3
281	по мере	4	3
282	в этих	3	3
283	о своем	1	3
284	каждый из	2	3
285	и дело	1	3
286	в противовес	1	3
287	входит в	3	3
288	не должен	1	3
289	времени в	3	3
290	говорить о	5	3
291	за собой	3	3
292	точно так	2	3
293	в строгом	3	3
294	так же	3	3
295	к ним	1	3
296	жизни как	2	3
297	наряду с	3	3
298	в зависимости	3	3
299	все время	2	3
300	что она	3	3
301	что именно	2	3
302	но еще	1	3
303	с точки	4	3
304	и сама	2	3
305	одно из	5	3
306	в следующем	2	3
307	видит в	4	3
308	связи с	3	3
309	но он	1	3
310	в которой	1	3
311	всех его	1	3
312	что не	5	3
313	в связи	2	3
314	между ними	3	3
315	же как	3	3
316	и это	6	3
317	сих пор	7	3
318	должен был	4	3
319	но как	2	3
320	а с	2	3
321	и что	6	3
322	можно было	8	3
323	как уже	5	3
324	не просто	5	3
325	первом случае	2	3
326	в первой	1	3
327	а как	5	3
328	или иного	1	3
329	во время	1	3
330	до сих	7	3
331	человеческого общения	1	3
332	каким он	1	3
333	по слову	1	3
334	различного рода	1	3
335	интерес к	1	3
336	текста и	3	3
337	нам в	1	3
338	и т	45	3
339	зависимости от	3	3
340	еще и	4	3
341	что мы	2	3
342	как на	12	3
343	быть не	1	3
344	и тогда	3	3
345	речь идет	2	3
346	случае с	1	3
347	а лишь	1	3
348	той же	4	3
349	одной из	4	3
350	до конца	3	3
351	на этот	6	3
352	но это	2	3
353	и после	1	3
354	как к	1	3
355	и вот	3	3
356	которых он	1	3
357	он и	2	3
358	участия в	1	3
359	участие в	1	3
360	все равно	2	3
361	в виде	4	3
362	этого не	2	3
363	дело в	5	3
364	как она	4	3
365	все эти	3	3
366	по его	2	3
367	так а	1	3
368	должен быть	4	3
369	и потому	2	3
370	того или	1	3
371	а к	1	3
372	дело не	5	3
373	связано с	1	3
374	во второй	3	3
375	истории а	1	3
376	заключает в	1	3
377	не следует	3	3
378	лишь в	1	3
379	же самое	3	3
380	новое и	1	2
381	в момент	1	2
382	которая в	1	2
383	еще более	1	2
384	какой бы	2	2
385	проникновения в	1	2
386	язык как	5	2
387	с той	1	2
388	другой стороны	5	2
389	как если	1	2
390	лишь с	1	2
