N	4gram	Medvedev_F	Komedia
1	в то же время	13	16
2	бы то ни было	1	7
3	не говоря уже о	1	6
4	в том числе и	1	3
5	с этой точки зрения	1	2
6	с одной стороны и	4	2
7	и в то же	4	2
8	к тому что и	1	2
9	мы имеем в виду	1	2
10	и в свою очередь	1	2
11	и в том что	1	1
12	той мере в какой	1	1
13	и до сих пор	2	1
14	не что иное как	1	1
15	и в этом случае	1	1
16	в той мере в	1	1
17	независимо друг от друга	1	1
18	ясно с самого начала	1	1
19	но вместе с тем	1	1
20	не с точки зрения	1	1
21	с точки зрения самого	1	1
22	в зависимости от того	1	1
23	и во всяком случае	1	1
24	и т п в	2	1
25	только в том случае	1	1
26	может быть даже и	1	1
27	как и во всех	1	1
28	связи с этим же	1	1
29	в связи с этим	4	1
30	нашу задачу не входит	1	1
31	тем не менее в	1	1
32	состоит в том чтобы	1	1
33	а с точки зрения	1	1
34	от одного к другому	1	1
35	только в связи с	1	1
36	он не похож на	1	1
37	не сводится к одной	1	1
38	в нашу задачу не	1	1
39	что и в этом	1	1
40	в том случае если	1	1
41	и в конце концов	1	1
42	с самого начала что	1	1
43	с точки зрения ее	1	1
