N	4gram	Bakhtin_KF	Myslijsy
1	в то же время	2	13
2	одного и того же	1	9
3	только в том что	1	8
4	в том смысле в	1	6
5	один и тот же	3	4
6	дело в том что	1	4
7	и в этом смысле	1	4
8	но во всяком случае	1	3
9	тем не менее в	1	3
10	то же самое что	1	2
11	в том что между	1	2
12	в том случае когда	1	2
13	одна и та же	2	2
14	бы то ни было	2	2
15	не в том смысле	1	2
16	и по отношению к	1	2
17	само по себе а	1	1
18	имеет место и в	1	1
19	и может быть только	1	1
20	никогда не может стать	1	1
21	и того же лица	1	1
22	не само по себе	1	1
23	и тот же с	2	1
24	это значило бы что	1	1
25	до сих пор не	1	1
26	не в одном только	1	1
27	хотя бы и с	1	1
28	с точки зрения той	1	1
29	по отношению к последнему	1	1
30	в противном случае мы	1	1
31	бы он ни был	2	1
32	а не в ее	1	1
33	здесь дело не в	1	1
34	как бы он ни	1	1
35	для него самого и	1	1
36	не подлежит сомнению но	1	1
37	по отношению к нему	4	1
38	по отношению к другим	1	1
