N	2gram	Medvedev_U	formyVre
1	и в	14	148
2	в этом	7	73
3	то есть	1	70
4	в нем	1	51
5	прежде всего	8	46
6	и не	8	37
7	в его	2	36
8	но и	4	33
9	то же	5	32
10	не только	10	32
11	но в	3	31
12	так и	1	29
13	может быть	6	27
14	не в	2	26
15	как и	3	25
16	только в	2	23
17	в то	3	23
18	в том	2	22
19	то что	7	22
20	же время	3	21
21	в своем	1	19
22	и др	1	19
23	и для	2	19
24	таким образом	2	18
25	у него	1	18
26	и все	1	18
27	по существу	2	18
28	в пределах	1	17
29	человека и	1	17
30	все же	3	16
31	не может	7	16
32	никогда не	1	15
33	с его	2	15
34	и с	2	14
35	в конце	2	14
36	всех этих	2	14
37	а не	10	14
38	как раз	2	14
39	все это	5	14
40	в самом	2	13
41	в котором	1	13
42	друг с	1	13
43	в их	4	13
44	с другом	1	13
45	в частности	3	13
46	же в	1	13
47	конечно не	4	12
48	не было	1	12
49	он не	1	12
50	отнюдь не	1	12
51	что в	1	12
52	ничего не	2	12
53	но не	2	12
54	и у	2	11
55	в ней	1	11
56	уже не	1	10
57	входит в	1	10
58	сих пор	2	10
59	до сих	2	10
60	тот же	1	10
61	и даже	1	9
62	их в	1	9
63	с другой	4	9
64	должно быть	1	9
65	и это	1	9
66	могут быть	2	9
67	том что	2	9
68	для него	3	9
69	в виду	1	8
70	в этот	1	8
71	в некоторых	2	8
72	все его	1	8
73	с одной	1	8
74	в произведении	1	8
75	что и	2	8
76	для себя	1	8
77	если бы	2	8
78	связанные с	1	8
79	до конца	1	8
80	и то	3	8
81	это не	3	8
82	и прежде	1	8
83	и потому	1	8
84	в той	1	7
85	для всех	2	7
86	не как	3	7
87	широком смысле	1	7
88	связанных с	1	7
89	к этому	1	7
90	в себе	2	7
91	но он	1	7
92	в которой	1	7
93	в процессе	1	7
94	было бы	3	7
95	того что	1	7
96	этот процесс	1	7
97	этом отношении	2	7
98	ее в	1	7
99	что было	1	6
100	все что	1	6
101	с самим	1	6
102	с тем	1	6
103	только для	1	6
104	на первый	2	6
105	о том	1	6
