N	2gram	Losev_Prob	Morfolog
1	и т	2	62
2	может быть	11	61
3	т д	1	60
4	таким образом	20	26
5	могут быть	2	21
6	так как	10	20
7	мы имеем	3	19
8	не может	6	19
9	в этом	31	18
10	в этих	3	17
11	представляет собой	1	17
12	и в	48	17
13	и не	29	16
14	перед нами	14	14
15	с этим	3	14
16	прежде всего	15	14
17	по существу	2	13
18	при помощи	12	12
19	связи с	11	12
20	и др	1	12
21	а не	7	11
22	заметить что	1	11
23	чаще всего	1	11
24	что в	12	10
25	то же	6	10
26	а затем	1	10
27	вопрос о	2	10
28	мы увидим	1	10
29	не всегда	5	10
30	в том	25	10
31	так и	15	10
32	что и	8	10
33	в связи	11	10
34	то что	26	10
35	все же	12	9
36	с другой	8	9
37	но и	21	9
38	не только	28	8
39	в результате	11	8
40	имеем в	1	8
41	мы не	7	8
42	в качестве	9	8
43	но не	12	8
44	представляет собою	3	8
45	в тех	2	8
46	а в	8	8
47	как мы	5	8
48	во втором	2	7
49	один из	2	7
50	и здесь	1	7
51	если в	2	7
52	не могут	3	7
53	не менее	8	7
54	том что	29	7
55	потому что	21	7
56	по отношению	2	7
57	наряду с	2	7
58	точки зрения	17	7
59	как это	5	7
60	тем не	8	7
61	и этим	1	7
62	образом мы	1	7
63	или же	2	7
64	а также	8	7
65	отношению к	2	7
66	и другие	4	6
67	о том	17	6
68	большей частью	1	6
69	как бы	10	6
70	не все	3	6
71	увидим ниже	1	6
72	но это	7	6
73	это не	8	6
74	с точки	13	6
75	в образе	2	6
76	в нашем	5	6
77	или в	7	6
78	и как	10	6
79	вовсе не	18	6
80	во всех	2	6
81	если мы	2	6
82	очень часто	1	6
83	может считаться	1	6
84	также и	21	6
85	в форме	1	6
86	они и	2	5
87	этот момент	1	5
88	в море	1	5
89	из которых	2	5
90	другой стороны	8	5
91	вслед за	2	5
92	что он	12	5
93	как в	3	5
94	со стороны	1	5
95	видно что	2	5
96	то это	1	5
97	хотя бы	11	5
98	было бы	12	5
99	к тому	7	5
100	ничего не	3	5
101	что они	4	5
102	не будем	3	5
103	хотя и	10	5
104	то мы	1	5
105	два раза	1	5
106	прежде чем	2	5
107	тому что	2	5
108	учение о	4	5
109	ясно что	11	5
110	все эти	12	5
111	на его	4	5
112	то можно	1	5
113	об этом	11	5
114	в других	5	5
115	там где	1	5
116	мы можем	5	5
117	здесь можно	1	5
118	между тем	2	5
119	он не	4	5
120	то перед	2	5
121	далеко не	6	5
122	главным образом	1	5
123	и ее	2	5
124	и к	9	4
125	смысле слова	12	4
126	на этом	1	4
127	как и	10	4
128	самом деле	3	4
129	но все	6	4
130	тем что	2	4
131	никто не	1	4
132	уже не	12	4
133	еще не	4	4
134	не является	2	4
135	а если	4	4
136	тех же	1	4
137	входит в	1	4
138	того чтобы	3	4
139	так же	7	4
140	сказать что	13	4
141	на него	3	4
142	на котором	1	4
143	и для	11	4
144	из них	4	4
145	но в	17	4
146	его самого	1	4
147	несмотря на	7	4
148	на самом	2	4
149	его в	9	4
150	что его	4	4
151	с теми	3	4
152	случае не	2	4
153	к этому	2	4
154	в то	6	4
155	мы уже	2	4
