N	4gram	Losev_Dial	Stilisti
1	в то же время	7	7
2	одно и то же	8	5
3	одной и той же	1	4
4	все больше и больше	1	2
5	не что иное как	4	2
6	то что мы называем	1	2
7	но в то же	1	2
8	и в то же	3	2
9	в связи с этим	2	2
10	есть не что иное	3	2
11	это дает нам возможность	1	1
12	само по себе не	1	1
13	иметь в виду что	2	1
14	между внутренним и внешним	1	1
15	к одному и тому	1	1
16	и в голову не	1	1
17	по существу ничем не	1	1
18	в жизни и в	1	1
19	с их точки зрения	1	1
20	в одних и тех	1	1
21	то же самое и	1	1
22	этом мы будем говорить	1	1
23	на ту или иную	1	1
24	так а не иначе	1	1
25	одна и та же	5	1
26	и тех же словах	1	1
27	одному и тому же	1	1
28	одних и тех же	1	1
29	об этом мы будем	1	1
