N	4gram	Vygotskiy_	EvropaiE
1	в то же время	1	14
2	с одной стороны и	1	6
3	с этой точки зрения	3	5
4	бы то ни было	1	4
5	так же как и	1	3
6	заключается в том что	6	2
7	и в этом смысле	1	2
8	того чтобы ответить на	1	1
9	роль которая выпадает на	1	1
10	чтобы ответить на этот	1	1
11	находит себе подтверждение в	1	1
12	если оставить в стороне	1	1
13	дело в том что	2	1
14	ответить на этот вопрос	1	1
15	например в том что	1	1
16	на то что в	2	1
17	одна и та же	2	1
18	но не только это	1	1
19	и для того чтобы	1	1
20	но если оставить в	1	1
21	для того чтобы ответить	1	1
22	в то время как	4	1
23	несмотря на то что	1	1
24	одного и того же	2	1
25	о котором мы говорили	2	1
26	один и тот же	1	1
27	в двух противоположных направлениях	3	1
