N	2gram	Voloshinov	Myslijsy
1	потому что	4	182
2	то есть	1	142
3	и в	28	121
4	может быть	28	107
5	в том	10	103
6	то что	17	83
7	в слове	1	78
8	для нас	2	75
9	что в	7	73
10	и не	34	73
11	только в	11	72
12	не только	10	67
13	а не	9	67
14	таким образом	34	64
15	в этом	28	59
16	но и	10	59
17	том что	12	59
18	так как	15	59
19	то же	12	56
20	не в	10	54
21	если бы	4	53
22	в себе	7	53
23	по себе	4	52
24	не может	30	52
25	того что	7	47
26	в сознании	3	46
27	в душе	13	45
28	было бы	8	45
29	в нем	7	45
30	не есть	2	42
31	как и	13	42
32	вместе с	5	39
33	что и	5	38
34	мы не	9	38
35	при этом	8	37
36	как в	4	37
37	так и	14	37
38	тогда когда	2	36
39	что мы	3	36
40	тем что	1	33
41	и что	6	32
42	по отношению	13	30
43	а в	8	30
44	между тем	3	29
45	но не	7	29
46	вовсе не	16	28
47	мы можем	20	28
48	для него	12	28
49	есть только	3	28
50	с этим	8	27
51	могут быть	9	27
52	не было	5	26
53	независимо от	3	26
54	и т	1	26
55	то и	1	26
56	отношению к	11	26
57	душевной жизни	8	25
58	этого слова	1	25
59	между собою	2	24
60	в то	7	24
61	с тем	1	23
62	как бы	19	23
63	от того	5	23
64	а потому	4	22
65	то это	1	22
66	с другой	2	22
67	чувства и	2	22
68	не имеет	2	22
69	но в	13	22
70	и потому	12	21
71	не менее	6	21
72	мысль о	1	20
73	в одном	3	20
74	это не	5	20
75	в ней	8	20
76	мысли и	4	19
77	и как	3	19
78	но это	4	19
79	в сознание	10	19
80	сказать что	11	19
81	с ним	14	19
82	того же	3	19
83	тем не	4	19
84	что это	5	19
85	и то	3	19
86	из этих	6	19
87	о том	3	19
88	должно быть	2	19
89	есть не	1	19
90	в самом	12	18
91	в таком	6	18
92	там же	1	18
93	для того	6	18
94	по поводу	5	18
95	не могут	7	18
96	в человеке	6	18
97	бы не	1	18
98	в каком	7	18
99	еще не	8	18
100	точки зрения	31	17
101	крайней мере	1	17
102	со стороны	5	17
103	по крайней	1	17
104	слова и	4	17
105	заметить что	2	17
106	что оно	4	17
107	уже в	3	17
108	в его	25	17
109	во всяком	9	17
110	слова в	1	17
111	не можем	6	17
112	и на	9	16
113	к тому	6	16
114	так же	4	16
115	в своем	4	16
116	в которой	5	16
117	а только	4	16
118	в них	3	16
119	или же	2	16
120	что если	1	16
121	же с	2	16
122	на то	1	16
123	быть может	1	15
124	в этих	5	15
125	уже не	9	15
126	только как	4	15
127	с одной	2	15
128	с другими	8	15
129	и тем	2	15
130	в нас	2	15
131	и по	5	15
132	что он	12	15
133	в свою	6	15
134	т д	1	15
135	прежде всего	26	15
136	в ряду	1	15
137	думать что	2	15
138	тому как	1	15
139	все же	8	14
140	в котором	4	14
141	свою очередь	4	14
142	то в	2	14
143	связи с	1	14
144	так сказать	7	14
145	во всех	13	14
146	когда мы	2	14
147	бы ни	1	14
148	там где	2	14
149	должны быть	4	14
150	сам по	4	14
151	в истории	4	14
152	же время	6	14
153	и без	1	14
154	мы должны	9	14
155	те же	9	13
156	например в	1	13
157	а между	1	13
158	как на	3	13
159	из них	7	13
160	что все	7	13
161	в смысле	1	13
162	и все	13	13
163	не следует	2	13
164	зависит от	2	13
165	смысле этого	1	13
166	образом в	2	13
167	и может	4	13
168	и его	22	13
169	одно из	6	12
170	до сих	3	12
171	это последнее	1	12
172	не то	2	12
173	никогда не	10	12
174	и при	3	12
175	хотя и	1	12
176	в чем	9	12
177	под влиянием	3	12
178	сих пор	3	12
179	в каждом	1	12
180	оно не	3	12
181	все остальные	1	12
182	всяком случае	8	12
183	что же	10	12
184	относится к	2	12
185	друг друга	2	12
186	только потому	1	12
187	что такое	6	12
188	все это	12	12
189	возможно только	3	12
190	есть в	1	12
191	тем более	1	12
192	человека и	6	12
193	как мы	18	12
194	что на	1	12
195	все что	10	11
196	что человек	1	11
197	в первом	2	11
198	только для	2	11
199	которые мы	2	11
200	только на	4	11
201	и это	1	11
202	к нему	9	11
203	в состоянии	2	11
204	души и	1	11
205	его в	11	11
206	и притом	3	11
207	для человека	1	11
208	речи и	2	11
209	мы видели	12	11
210	того чтобы	5	11
211	быть не	1	11
212	к ней	4	11
213	той же	5	11
214	с нею	1	11
215	и вообще	4	11
216	и только	6	11
217	другими словами	5	11
218	и их	2	11
219	же что	2	11
220	же в	1	11
221	но тем	1	10
222	и с	10	10
223	хотя бы	7	10
224	одной стороны	2	10
225	одной и	3	10
226	находится в	3	10
227	мы видим	3	10
228	что при	2	10
229	и следовательно	3	10
230	что как	2	10
231	бы в	2	10
232	если же	2	10
233	и от	3	10
234	и есть	3	10
235	он не	10	10
236	то время	1	10
237	мы говорим	1	10
238	если мы	7	10
239	тем же	3	10
240	и для	7	10
241	слово в	1	10
242	только по	1	10
243	тому что	5	10
244	и того	1	9
245	ко всем	1	9
246	и даже	3	9
247	вопрос о	2	9
248	во многих	1	9
249	об отношении	1	9
250	до того	1	9
251	на него	4	9
252	что она	5	9
253	на язык	4	9
254	зрения и	1	9
255	что хотя	1	9
256	могли бы	2	9
257	в нее	1	9
258	во время	6	9
259	для самого	2	9
260	не будет	1	9
261	один из	10	9
262	самом деле	14	9
263	но оно	1	9
264	с точки	15	9
265	таком случае	4	9
266	это было	2	9
267	не все	1	9
268	и других	1	9
269	далеко не	5	9
270	но вместе	2	9
271	в целом	4	9
272	нам кажется	1	9
273	и о	6	9
274	можно сказать	6	9
275	таким же	1	9
276	во всем	1	8
277	которые не	1	8
278	говорить о	5	8
279	не как	2	8
280	но все	2	8
281	мы называем	3	8
282	именно в	4	8
283	что по	1	8
284	их в	3	8
285	в более	5	8
286	это содержание	3	8
287	была бы	1	8
288	что даже	1	8
289	что они	1	8
290	только не	3	8
291	влияние на	4	8
292	мы в	3	8
293	от них	1	8
294	одним словом	2	8
295	одно и	1	8
296	не так	3	8
297	с ними	5	8
298	в ребенке	1	8
299	между ними	5	8
300	внимание на	1	8
301	и тогда	1	8
302	при помощи	2	8
303	и той	3	8
304	на другие	3	8
305	тот же	10	8
306	этом случае	1	8
307	на вопрос	1	8
308	говоря о	1	8
309	то мы	2	8
310	на самом	6	8
311	или в	1	8
312	такое же	2	8
313	на все	3	8
314	самого себя	2	7
315	в разных	1	7
316	тем как	1	7
317	примыкает к	1	7
318	но что	1	7
319	на основании	5	7
320	связь с	7	7
321	все эти	15	7
322	к другим	2	7
323	в жизни	7	7
324	в собственном	4	7
325	но мы	6	7
326	в данном	4	7
327	не существует	4	7
328	было в	1	7
329	даже и	1	7
330	не всегда	4	7
331	превращается в	2	7
332	самого начала	5	7
333	душевных явлений	1	7
334	для понимания	2	7
335	к этому	9	7
336	на котором	1	7
337	то оно	1	7
338	или не	1	7
339	судить о	1	7
340	прибавить что	1	7
341	из одного	1	7
342	в эту	2	7
343	на себе	1	7
344	но как	2	7
345	в своих	5	7
346	она не	6	7
347	и та	2	7
348	и тот	3	7
349	за пределы	10	7
350	этом смысле	2	7
351	могла бы	1	7
352	значение и	1	7
353	них не	3	7
354	а как	3	7
355	во втором	3	7
356	все в	1	7
357	его с	2	7
358	для себя	2	7
359	в другой	1	7
360	находятся в	2	7
361	к сознанию	3	7
362	не более	1	7
363	для сознания	2	7
364	себя и	4	7
365	слове и	1	7
366	бы и	2	7
367	развития и	1	7
368	и теперь	2	7
369	только один	1	7
370	и во	2	7
371	том же	1	7
372	из него	3	7
373	дает нам	4	7
374	которое мы	1	7
375	в таких	4	7
376	один и	3	7
377	не имеют	1	7
378	его к	4	7
379	с самого	7	7
380	в искусстве	3	7
381	не с	1	7
382	на это	3	7
383	не знаем	1	7
384	и к	7	6
385	заметим что	1	6
386	несомненно что	1	6
387	для всех	3	6
388	увидим что	5	6
389	нас в	2	6
390	образом и	1	6
391	в виду	4	6
392	каким образом	1	6
393	если и	2	6
394	а именно	2	6
395	в своей	14	6
396	между двумя	3	6
397	как оно	1	6
398	из виду	1	6
399	к которому	1	6
400	связанное с	3	6
401	она есть	1	6
402	после того	1	6
403	я как	1	6
