N	3gram	Nazirov_Tv	Dialekti
1	и т д	10	75
2	это значит что	1	47
3	по крайней мере	4	26
4	в том что	8	25
5	не может быть	2	18
6	не что иное	1	18
7	что иное как	1	18
8	тем не менее	2	16
9	то же время	18	15
10	в то же	19	14
11	в таком случае	2	14
12	т д и	1	14
13	д и т	1	12
14	с другой стороны	2	12
15	о том что	6	12
16	ничего не говорит	1	11
17	в самом деле	2	10
18	по себе не	1	9
19	и в этом	1	9
20	то или иное	1	9
21	это и есть	1	9
22	не значит что	2	8
23	только то что	1	8
24	и та же	2	8
25	одна и та	1	8
26	я не буду	1	7
27	можно сказать что	2	7
28	значит что он	1	7
29	сами по себе	2	7
30	точно так же	3	7
31	в связи с	2	7
32	той или иной	1	7
33	только потому что	1	6
34	и прежде всего	1	6
35	и в то	3	6
36	во всяком случае	2	6
37	с одной стороны	1	6
38	на самом деле	2	5
39	ничего общего с	1	5
40	в конце концов	1	5
41	и тем не	1	5
42	к тому что	1	5
43	то и другое	1	5
44	до сих пор	1	5
45	в виду что	1	5
46	это не значит	2	4
47	по себе а	1	4
48	и т п	4	4
49	ни в чем	1	4
50	так же как	1	4
51	т д все	1	4
52	в данном случае	2	4
53	к тому же	1	4
54	не может не	1	4
55	то же самое	1	4
56	я не могу	1	4
57	но это не	2	4
58	равно как и	1	4
59	не может и	1	4
60	может быть в	1	4
61	можно было бы	1	4
62	пространства и времени	1	4
63	не могут быть	2	4
64	но только не	1	4
65	и как бы	1	3
66	самом же деле	1	3
67	лежащая в основе	1	3
68	он не может	1	3
69	т д в	1	3
70	это вовсе не	1	3
71	на самом же	1	3
72	бы то ни	1	3
73	д все это	1	3
74	и не может	2	3
75	того или иного	1	3
76	в чем же	1	3
77	ту или иную	1	3
78	как и в	2	3
79	о том как	1	3
80	хотя и не	1	3
81	но в то	5	3
82	не только в	2	3
83	с самого начала	3	3
84	и должно быть	1	3
85	же как и	1	3
86	я никогда не	1	3
87	еще ничего не	1	3
88	души и тела	1	3
89	что он не	1	2
90	некоторые из них	1	2
91	в каждом из	1	2
92	том что в	3	2
93	хотя бы и	1	2
94	дело не в	1	2
95	и не мог	1	2
96	на свете есть	1	2
97	в отношении к	1	2
98	все же это	1	2
99	мы никогда не	1	2
100	это не просто	1	2
101	та же самая	2	2
102	в чем не	1	2
103	имеет место в	1	2
104	не в силах	1	2
105	это-то и есть	1	2
106	с первого взгляда	1	2
107	в свою очередь	2	2
108	вмешательство высших сил	1	2
109	как один из	1	2
110	у достоевского в	5	2
111	но все это	1	2
112	один из возможных	1	2
113	дело в том	4	2
114	не зависит от	1	2
115	и в том	1	2
116	так как и	1	2
117	на первый взгляд	1	2
118	что оно не	1	2
119	в нем и	1	2
120	теперь перед нами	1	1
121	ни во что	2	1
122	так быстро что	1	1
123	в этот момент	1	1
124	одного из них	1	1
125	имеет в виду	1	1
126	мы говорим о	1	1
127	все это я	1	1
128	это как бы	3	1
129	на том или	1	1
130	он еще не	2	1
131	это уже не	2	1
132	а о том	1	1
133	в применении к	1	1
134	в дальнейшем но	1	1
135	во главе с	2	1
136	он не знал	1	1
137	в душе его	1	1
138	что в одном	1	1
139	не менее чем	1	1
140	в братьях карамазовых	6	1
141	и неизменно как	1	1
142	то что не	1	1
143	и в другом	1	1
144	это та же	1	1
145	я и не	1	1
146	не был бы	1	1
147	не мешает его	1	1
148	на его голову	1	1
149	так и от	1	1
150	и учение о	1	1
151	то к чему	1	1
152	что все это	3	1
153	и что в	1	1
154	он на самом	1	1
155	времени сходно с	1	1
156	привело нас к	1	1
157	у него и	1	1
158	говорить о том	1	1
159	он сам является	1	1
160	друг на друга	1	1
161	что у него	2	1
162	с одной из	1	1
163	но при этом	1	1
164	времени но этот	1	1
165	в глубине души	1	1
166	вмешательство высшей силы	1	1
167	к достижению цели	2	1
168	те и другие	1	1
169	в этом пункте	1	1
170	она дана в	1	1
171	бросается в глаза	1	1
172	не могли помочь	1	1
173	как и пространство	1	1
174	не о том	1	1
175	как и всякая	1	1
176	мы все время	1	1
177	если же в	1	1
178	в отличие от	2	1
179	если он хочет	1	1
180	материалистов xviii века	1	1
181	то ни было	1	1
182	нужно сказать что	1	1
183	и всякого рода	1	1
184	знаем что она	1	1
185	на наших глазах	1	1
