N	2gram	Tiupa_Teor	Morfolog
1	может быть	22	61
2	и пр	1	45
3	таким образом	3	26
4	действующих лиц	1	22
5	могут быть	5	21
6	так как	1	20
7	мы имеем	7	19
8	не может	8	19
9	в этом	12	18
10	в этих	4	17
11	представляет собой	13	17
12	и в	24	17
13	представляют собой	1	16
14	и не	17	16
15	мы видим	1	15
16	этих случаях	1	15
17	перед нами	3	14
18	с этим	1	14
19	прежде всего	3	14
20	по существу	1	13
21	связи с	3	12
22	и др	3	12
23	а не	14	11
24	чаще всего	1	11
25	что в	10	10
26	то же	12	10
27	а затем	2	10
28	вопрос о	1	10
29	не всегда	2	10
30	но если	1	10
31	этом случае	1	10
32	в том	20	10
33	так и	14	10
34	что и	2	10
35	в связи	3	10
36	то что	6	10
37	все же	1	9
38	с другой	9	9
39	но и	14	9
40	не только	24	8
41	в результате	1	8
42	имеем в	3	8
43	в качестве	33	8
44	но не	13	8
45	а в	15	8
46	как мы	1	8
47	во втором	3	7
48	один из	2	7
49	и здесь	2	7
50	если в	2	7
51	не могут	2	7
52	не менее	6	7
53	том что	11	7
54	потому что	3	7
55	по отношению	10	7
56	в лес	1	7
57	точки зрения	11	7
58	как это	10	7
59	тем не	3	7
60	или же	1	7
61	а также	7	7
62	отношению к	10	7
63	и другие	2	6
64	подобно тому	3	6
65	о том	2	6
66	как бы	8	6
67	не все	3	6
68	это не	4	6
69	с точки	3	6
70	в нашем	4	6
71	или в	3	6
72	и как	3	6
73	вовсе не	3	6
74	во всех	3	6
75	если мы	2	6
76	очень часто	1	6
77	также и	1	6
78	в форме	4	6
79	из которых	2	5
80	другой стороны	6	5
81	в первом	2	5
82	вслед за	3	5
83	начинается с	1	5
84	что он	4	5
85	как в	5	5
86	со стороны	6	5
87	это явление	1	5
88	было бы	1	5
89	к тому	4	5
90	что они	2	5
91	хотя и	4	5
92	тому что	2	5
93	все эти	3	5
94	одна из	1	5
95	между собой	3	5
96	в поле	1	5
97	на его	1	5
98	об этом	2	5
99	тому как	3	5
100	между тем	5	5
101	он не	5	5
102	далеко не	4	5
103	в ходе	5	5
104	в целом	4	5
105	и ее	4	5
106	и к	3	4
107	на этом	2	4
108	как и	6	4
109	самом деле	2	4
110	тем что	1	4
111	никто не	3	4
112	уже не	6	4
113	еще не	6	4
114	не является	5	4
115	тех же	1	4
116	входит в	4	4
117	того чтобы	5	4
118	быть названо	2	4
119	говорить о	4	4
120	так же	2	4
121	и наоборот	2	4
122	сказать что	4	4
123	на котором	2	4
124	и для	3	4
125	из них	1	4
126	но в	12	4
127	несмотря на	2	4
128	его в	4	4
129	что его	1	4
130	случае не	2	4
131	подобных случаях	2	4
132	в то	9	4
133	д как	1	4
134	можно было	1	4
135	в иных	1	4
136	могла бы	2	4
137	о его	2	4
138	независимо от	1	4
139	то время	1	3
140	с этой	3	3
141	что это	1	3
142	это уже	1	3
143	в сущности	1	3
144	одному из	1	3
145	ни в	5	3
146	то с	1	3
147	с собой	1	3
148	только в	9	3
149	живые существа	1	3
150	в плоскости	1	3
151	здесь мы	2	3
152	также может	1	3
153	можно назвать	1	3
154	и другим	1	3
155	в собственном	1	3
156	в бою	1	3
157	на первый	1	3
158	первом случае	1	3
159	не существует	1	3
160	не упоминается	1	3
161	и что	4	3
162	связана с	1	3
163	для того	5	3
164	целый ряд	1	3
165	состоит в	22	3
166	настоящее время	1	3
167	вопрос что	2	3
168	здесь не	2	3
169	с его	6	3
170	в отдельных	1	3
171	в настоящее	1	3
172	он должен	3	3
173	к нему	2	3
174	бы то	2	3
175	то в	2	3
176	первый взгляд	1	3
177	к герою	2	3
178	они не	1	3
179	который может	1	3
180	а и	5	3
181	того что	5	3
182	что такое	2	3
183	ее в	2	3
184	но как	2	3
185	у нас	2	3
186	это и	2	3
187	для связывания	1	3
188	и есть	1	3
189	а на	3	3
190	в таких	1	3
191	к чему	2	3
192	в какой	2	3
193	большинстве случаев	1	3
194	это было	2	3
195	для героя	1	3
196	форма в	1	3
197	том случае	1	3
198	героя и	6	3
199	как уже	2	3
200	то ни	2	3
201	совсем не	1	3
202	если бы	3	3
203	друг друга	1	3
204	и тем	5	3
205	не в	9	3
206	в которой	3	3
207	а по	1	3
208	и их	1	3
209	в пределах	5	3
210	в большинстве	2	3
211	в этой	3	3
212	вступают в	1	3
213	приводит к	6	3
214	приводят к	1	3
215	же в	1	3
216	на то	1	3
217	и его	11	3
218	и по	3	3
219	и только	1	3
220	означает что	1	3
221	не так	1	2
222	от него	1	2
223	является в	1	2
224	с героем	1	2
225	живое существо	1	2
226	если он	1	2
227	вопросу о	1	2
228	и дает	1	2
229	не с	3	2
230	не на	4	2
231	оно не	2	2
232	в своих	1	2
233	более или	6	2
234	средство то	1	2
235	например в	3	2
236	с тем	1	2
237	многих других	1	2
238	их в	3	2
239	таких случаях	2	2
240	себя и	2	2
241	не имеет	1	2
242	в итоге	3	2
243	роль в	3	2
244	в каком	2	2
245	к другому	2	2
246	а а	5	2
247	не входит	2	2
248	у нее	1	2
249	можно сказать	5	2
250	со смертью	1	2
251	в данном	9	2
252	в основе	6	2
253	и более	1	2
254	вытекает из	2	2
255	чему не	1	2
256	в лесу	1	2
257	одной стороны	3	2
258	можно лишь	1	2
259	и иных	2	2
260	в другом	4	2
261	другу и	1	2
262	и больше	2	2
263	что одна	1	2
264	точно так	1	2
265	в одном	3	2
266	в различных	1	2
267	превращается в	2	2
268	не что	1	2
269	в совершенно	1	2
270	тогда как	18	2
271	действия и	1	2
272	в глаза	2	2
273	тем же	2	2
274	одной из	2	2
275	что она	2	2
276	момент в	1	2
277	который в	2	2
278	чем это	2	2
279	себя в	7	2
280	другого и	1	2
281	должен прилететь	1	2
282	для него	5	2
283	не означает	1	2
284	в свое	1	2
285	к различным	1	2
286	как такового	1	2
287	что иное	1	2
288	может не	1	2
289	данном случае	5	2
290	на вопрос	2	2
291	собой в	1	2
292	с одной	3	2
293	иных случаях	1	2
294	как особого	1	2
295	ни к	3	2
296	ни было	2	2
297	для нас	1	2
298	все это	2	2
299	с другими	6	2
300	дается в	1	2
301	но с	1	2
302	не знает	4	2
303	а впоследствии	1	2
304	одним из	3	2
305	это еще	1	2
306	же оно	1	2
307	за которым	1	2
308	также в	1	2
309	с логической	1	2
310	у него	2	2
311	не от	2	2
312	по своему	4	2
313	к вопросу	1	2
314	в чем	2	2
315	путь к	1	2
316	или менее	6	2
317	в одной	1	2
318	бы в	1	2
319	нарушение запрета	1	2
320	могли бы	2	2
321	обычно в	1	2
322	а с	3	2
323	героя к	1	2
324	случае если	1	2
325	и даже	2	2
326	она не	1	2
327	ту же	1	2
328	не по	1	2
329	дело не	2	2
330	быть и	2	2
331	в частности	23	2
332	бы они	1	2
333	из этих	3	2
334	тем и	1	2
335	быть определен	1	2
336	себя за	1	2
337	из его	1	2
338	однако в	7	2
339	как будто	2	2
340	право на	2	2
341	д и	1	2
342	когда герой	1	2
343	однако все	2	2
344	если она	1	2
345	герой не	3	2
346	иное как	1	2
347	совершается в	1	2
348	во второй	7	2
349	в той	2	1
350	в особенности	1	1
351	собой всю	1	1
352	это на	1	1
353	вопрос кто	1	1
354	однако и	1	1
355	и может	1	1
356	все что	1	1
357	образом и	2	1
358	в художественно	1	1
359	для всех	2	1
360	можно говорить	1	1
361	за ним	1	1
362	и на	2	1
363	одном случае	1	1
364	же и	1	1
365	в рассказе	2	1
366	этот закон	1	1
367	собой некоторую	1	1
368	в момент	3	1
369	рассказ о	2	1
370	того кому	1	1
371	его с	1	1
372	на ее	1	1
373	на первом	1	1
374	или иных	3	1
375	дело с	1	1
376	их поступки	1	1
377	при этом	20	1
378	даже в	3	1
