N	2gram	Bakhtin_KF	Analitik
1	не только	5	71
2	и в	28	66
3	в качестве	2	61
4	но и	9	57
5	в том	6	52
6	может быть	45	52
7	в этом	15	51
8	как и	5	50
9	и не	28	48
10	а не	17	42
11	при этом	4	40
12	том что	4	40
13	то есть	1	35
14	так и	2	35
15	в мире	8	31
16	отнюдь не	7	29
17	как бы	9	29
18	не может	29	29
19	а в	5	28
20	в его	42	27
21	и его	18	27
22	не в	13	26
23	но не	12	26
24	в себе	21	24
25	не случайно	1	24
26	что в	4	22
27	и даже	1	22
28	к тому	1	22
29	в этой	2	22
30	лишь в	8	21
31	о том	3	20
32	и т.п	1	20
33	я в	1	20
34	в самом	1	19
35	то же	5	19
36	в своей	11	19
37	по отношению	26	19
38	с его	2	19
39	но в	5	19
40	в данном	2	18
41	в то	3	18
42	отношению к	22	18
43	тем самым	4	17
44	только в	18	17
45	со стороны	8	17
46	или иной	2	17
47	в целом	10	17
48	что и	7	16
49	могут быть	3	16
50	то что	7	16
51	и на	3	15
52	не есть	22	15
53	между тем	4	15
54	уже не	7	15
55	прежде всего	4	15
56	в их	9	15
57	в принципе	2	14
58	не менее	3	14
59	того же	1	14
60	себя в	8	14
61	я и	5	14
62	в себя	8	14
63	той или	3	14
64	мы имеем	5	14
65	же время	2	14
66	столь же	1	14
67	по себе	2	13
68	точки зрения	13	13
69	он не	6	13
70	этого слова	2	13
71	ничего не	3	13
72	как раз	1	13
73	для него	13	13
74	и к	1	12
75	никогда не	5	12
76	как это	1	12
77	в первой	1	12
78	сводится к	2	12
79	как в	2	12
80	еще не	5	12
81	в конечном	1	12
82	конечном счете	1	11
83	по своей	1	11
84	в свою	3	11
85	той же	1	11
86	это не	10	11
87	можно сказать	1	11
88	и как	2	11
89	во второй	1	11
90	не с	1	11
91	не следует	2	11
92	нуждается в	1	11
93	именно в	5	10
94	все же	5	10
95	едва ли	2	10
96	было бы	8	10
97	отношения к	1	10
98	совпадает с	1	10
99	здесь не	3	10
100	особенно в	1	10
101	того или	3	10
102	один из	2	10
103	говорить о	2	9
104	в результате	1	9
105	и того	2	9
106	свою очередь	1	9
107	в своем	17	9
108	по поводу	1	9
109	во всех	11	9
110	или иного	3	9
111	только не	1	9
112	имеет место	1	9
113	вместе с	1	9
114	вступает в	3	9
115	того что	3	9
116	дело с	2	8
117	я с	1	8
118	одной из	1	8
119	в контексте	5	8
120	о его	1	8
121	с ним	5	8
122	если бы	8	8
123	и все	9	8
124	что он	2	8
125	не является	1	8
126	в основе	5	8
127	с точки	10	8
128	хотя и	1	8
129	времени и	4	8
130	дело не	2	8
131	он и	2	8
132	во всяком	1	7
133	в другом	3	7
134	в одном	5	7
135	как мы	1	7
136	в нашем	1	7
137	одна из	1	7
138	от себя	10	7
139	не мог	1	7
140	несмотря на	1	7
