N	3gram	Medvedev_V	EvropaiE
1	в то же	5	15
2	то же время	5	14
3	и в то	3	8
4	с одной стороны	2	8
5	в том что	5	6
6	одной стороны и	2	6
7	так же как	1	5
8	этой точки зрения	2	5
9	для того чтобы	3	5
10	с этой точки	1	5
11	того или иного	1	4
12	той или иной	1	4
13	не только в	2	4
14	в той или	1	3
15	в применении к	1	3
16	можно было бы	2	3
17	в этом смысле	1	3
18	же как и	1	3
19	заключает в себе	1	3
20	хотя бы и	5	3
21	ту или иную	1	3
22	во всяком случае	2	3
23	можно сказать что	4	3
24	в этом отношении	14	3
25	в одном из	4	2
26	но в то	1	2
27	не может быть	8	2
28	на то что	1	2
29	в данном случае	1	2
30	по сравнению с	1	2
31	хотя бы отчасти	1	2
32	хотя бы в	3	2
33	но было бы	1	2
34	только в том	2	2
35	очевидно что в	1	2
36	то что в	1	2
37	в свою очередь	1	2
38	с другой стороны	8	2
39	в частности в	2	2
40	не говоря уже	1	2
41	мы видели что	3	1
42	и т д	16	1
43	быть сведена к	1	1
44	или меньшей степени	2	1
45	говорить не о	2	1
46	хотя и не	1	1
47	кроме того что	1	1
48	как это мы	1	1
49	в противном случае	2	1
50	что для него	1	1
51	в том случае	1	1
52	ли это что	1	1
53	следует отметить что	1	1
54	на то или	1	1
55	не дает оснований	1	1
56	другой стороны в	1	1
57	качестве одной из	1	1
58	и связанное с	1	1
59	и не быть	1	1
60	если так то	1	1
61	т е не	1	1
62	чуть ли не	2	1
63	очевидно также что	1	1
64	большей или меньшей	3	1
65	то или иное	1	1
66	в значительной мере	3	1
67	может быть сведена	1	1
68	к тому что	4	1
69	но и в	1	1
70	том смысле что	1	1
71	том числе и	2	1
72	в качестве одной	1	1
73	тех или иных	1	1
74	и тем более	1	1
75	можно утверждать что	4	1
76	то время как	1	1
77	в качестве общего	1	1
78	в соответствии с	1	1
79	есть то что	1	1
80	во всех этих	2	1
81	и ту же	1	1
82	в том смысле	1	1
83	значит ли это	1	1
84	в самом понятии	2	1
85	при соприкосновении с	1	1
86	в основных чертах	3	1
87	не могут быть	4	1
88	не может не	2	1
89	сводится именно к	1	1
90	в формировании и	1	1
91	в силу этого	4	1
92	одну и ту	1	1
93	отцов и детей	1	1
94	как сказал бы	1	1
95	в связи с	4	1
96	к двум основным	1	1
97	том случае если	1	1
98	в том же	1	1
99	было бы совершенно	1	1
100	с другой в	1	1
101	та или иная	3	1
102	в этом процессе	2	1
103	в том числе	2	1
104	и поэтому в	1	1
105	только в пределах	1	1
106	того что мы	1	1
107	и в качестве	1	1
108	говоря уже о	1	1
109	в то время	1	1
110	только тогда когда	1	1
111	более или менее	6	1
112	чтобы ответить на	1	1
113	также и в	2	1
114	на этот вопрос	1	1
115	более высокой и	1	1
116	хотя бы с	1	1
117	в большей или	2	1
118	но и для	1	1
119	к тому же	1	1
120	совершенно очевидно что	1	1
121	может быть и	1	1
