N	3gram	Berdyaev_V	Myshleni
1	в том что	2	133
2	по сравнению с	1	45
3	вместе с тем	1	26
4	с другой стороны	1	26
5	к тому что	3	22
6	в известном смысле	1	15
7	то и другое	1	13
8	вместо того чтобы	2	10
9	так как она	1	9
10	как и в	1	9
11	том что он	2	9
12	не могут быть	1	8
13	и вместе с	1	7
14	то что мы	3	6
15	есть прежде всего	1	5
16	но все же	1	5
17	того что он	1	5
18	и что в	1	5
19	в конце концов	1	5
20	и в этом	1	5
21	мы видим что	1	4
22	так и в	1	4
23	и во всяком	1	4
24	но и в	2	4
25	потому что оно	1	4
26	после того как	1	4
27	он говорит что	1	3
28	хотя бы и	1	3
29	что в известном	1	3
30	в вопросе о	2	3
31	бы то ни	1	3
32	тем что они	1	3
33	оно не имеет	1	2
34	в нем но	1	2
35	за то что	3	2
36	видим что все	1	2
37	то что во	1	2
38	как бы в	1	2
39	раз и навсегда	1	2
40	не могли бы	1	2
41	что он так	1	2
42	и никогда не	1	2
43	по этому пути	2	2
44	то что я	2	2
45	на этом пути	1	2
46	что уже сказано	1	1
47	бы и не	2	1
48	и вообще в	1	1
49	в этом нет	1	1
50	в самом элементарном	1	1
51	ни для чего	1	1
52	вот почему в	1	1
53	его личности и	1	1
54	которые не могли	1	1
55	я думаю что	1	1
56	в этих словах	1	1
57	не имеет никакой	1	1
58	и хотя и	1	1
59	лишь в процессе	1	1
60	по крайней мере	1	1
61	мы слышим от	1	1
62	самой жизни в	1	1
63	не к тому	1	1
64	и не случайно	1	1
65	тот же упрек	1	1
66	по этому же	1	1
67	если оно не	1	1
68	это еще не	2	1
69	в общественной жизни	1	1
70	и в старой	1	1
71	с тем чтобы	1	1
72	связать себя с	1	1
73	в первый раз	3	1
74	и т д	2	1
75	находится в состоянии	1	1
76	в духе его	1	1
77	этому же пути	1	1
78	могли бы вынести	1	1
79	в жизни и	1	1
80	что он был	1	1
81	и есть то	1	1
82	лишено всякого смысла	1	1
83	в истории человечества	1	1
84	не в силах	2	1
85	мы указывали уже	1	1
86	его связь с	1	1
87	и теперь в	1	1
88	и менее всего	1	1
89	другой стороны в	1	1
90	уж конечно не	2	1
91	есть то что	1	1
92	и то и	1	1
93	того что есть	1	1
94	против того что	1	1
95	как это случилось	1	1
