N	4gram	Kanaev_Sov	VeschiIm
1	не что иное как	1	12
2	бы то ни было	1	12
3	есть не что иное	1	8
4	дело в том что	1	4
5	в то же время	1	4
6	это значит что она	1	4
7	и есть не что	1	3
8	и в то же	1	3
9	они принципиально не могут	1	1
10	все же это не	1	1
11	хотя и эта сторона	1	1
12	какой бы то ни	1	1
13	может быть и речи	1	1
14	ни то ни другое	1	1
15	с одной стороны и	1	1
16	принципиально не может быть	1	1
17	возможность и для ее	1	1
18	не может не быть	1	1
19	не может быть и	1	1
20	и не было бы	1	1
21	один и тот же	1	1
