N	4gram	Losev_Dial	Narrotol
1	в то же время	7	8
2	дело в том что	1	3
3	с той или иной	1	2
4	а стало быть и	1	2
5	и в то же	3	2
6	одно и то же	8	2
7	точно так же как	1	2
8	том смысле что они	1	1
9	в том смысле что	3	1
10	не что иное как	4	1
11	как мы увидим впоследствии	1	1
12	в этом отношении совершенно	1	1
13	если бы не было	1	1
14	с одной стороны и	3	1
15	в том смысле как	1	1
16	сомневаться в том что	1	1
17	одна и та же	5	1
18	ни в чем не	1	1
19	в то время как	2	1
20	в том что именно	2	1
21	о том что в	1	1
22	иметь в виду что	2	1
23	мог бы и не	1	1
24	по мере того как	1	1
25	в том что он	1	1
26	но в зависимости от	1	1
27	в связи с этим	2	1
28	так а не иначе	1	1
29	и с точки зрения	1	1
30	и тем не менее	1	1
31	не в том что	1	1
32	есть не что иное	3	1
