N	2gram	Propp_Isto	DiskursI
1	в качестве	8	72
2	а не	18	60
3	может быть	37	56
4	не только	28	49
5	и в	40	49
6	как и	5	47
7	при этом	6	46
8	и не	19	44
9	в том	12	44
10	представляет собой	7	41
11	том что	11	40
12	в этом	13	38
13	в себе	6	37
14	состоит в	1	37
15	в частности	3	36
16	но и	21	35
17	своего рода	2	32
18	но не	7	31
19	отличие от	3	28
20	со стороны	3	28
21	но в	13	28
22	так и	13	28
23	в отличие	3	27
24	не может	19	27
25	по своей	2	26
26	как в	7	25
27	такого рода	1	24
28	отнюдь не	2	23
29	еще не	14	23
30	в рамках	2	23
31	а также	2	20
32	в своей	2	19
33	все же	17	19
34	в нем	8	19
35	прежде всего	15	19
36	далеко не	1	18
37	в основе	4	18
38	то же	21	17
39	с другой	8	17
40	по отношению	6	17
41	отношению к	6	17
42	только в	16	16
43	о том	12	15
44	то что	17	15
45	роль в	3	15
46	в его	10	15
47	не менее	7	14
48	одной стороны	7	14
49	с одной	8	14
50	не в	11	14
51	ни к	3	14
52	это не	8	14
53	как бы	6	13
54	для него	2	13
55	в целом	3	13
56	ведет к	2	12
57	при всей	1	12
58	в своем	5	12
59	и на	6	12
60	и все	1	12
61	как правило	4	11
62	не было	3	11
63	столь же	2	11
64	что в	19	11
65	и как	3	11
66	в тексте	1	11
67	не столько	1	10
68	а с	4	10
69	вследствие этого	2	10
70	а в	15	10
71	также и	3	10
72	в них	2	9
73	уже не	3	9
74	пока еще	1	9
75	себя в	2	9
76	внимание на	1	9
77	между тем	2	9
78	в силу	7	9
79	в то	4	9
80	героя в	6	9
81	сводится к	1	9
82	еще в	2	9
83	тем самым	2	9
84	в этих	17	8
85	и даже	4	8
86	в соответствии	1	8
87	к тому	6	8
88	в котором	5	8
89	в противоположность	1	8
90	в одном	8	8
91	из них	5	8
92	хотя и	1	8
93	в себя	2	8
94	он не	10	8
95	не на	2	8
96	потому что	12	8
97	соответствии с	2	8
98	этом отношении	1	8
99	человека в	1	8
100	как уже	2	8
101	не с	3	8
102	и о	1	8
103	о чем	1	7
104	другой стороны	7	7
105	таким образом	13	7
106	в русской	7	7
107	одной из	6	7
108	что и	9	7
109	тому же	1	7
110	его в	15	7
111	к этому	2	7
112	в этой	9	7
113	могут быть	5	7
114	например в	7	7
115	ни в	2	7
116	в процессе	1	7
117	приводит к	3	7
118	перед нами	5	7
119	той же	1	7
120	но это	8	7
121	и для	5	7
122	в пределах	4	7
123	и ее	3	7
124	и его	5	7
125	не как	3	6
126	одно из	2	6
127	именно в	5	6
128	в сказании	2	6
