N	2gram	Voloshinov	BTomashe
1	у нас	3	3
2	все это	12	2
3	в ней	8	2
4	можно было	1	2
5	не то	2	2
6	и не	34	2
7	вопрос о	2	1
8	говорить о	5	1
9	творчества и	1	1
10	и о	6	1
11	о них	3	1
12	со всем	1	1
13	и нет	1	1
14	не только	10	1
15	г стр	1	1
16	остановиться на	1	1
17	таким образом	34	1
18	не было	5	1
19	меньшей мере	2	1
20	в эпоху	3	1
21	прежде всего	26	1
22	стр в	1	1
23	и в	28	1
24	на самом	6	1
25	так и	14	1
26	на которой	2	1
27	по теории	1	1
28	в своей	14	1
29	во всяком	9	1
30	и потому	12	1
31	и во	2	1
32	за пределы	10	1
33	говорить об	2	1
34	же не	1	1
35	по крайней	1	1
36	как часть	1	1
37	с другой	2	1
38	об этом	7	1
39	как будто	1	1
40	точке зрения	1	1
41	совершенно не	9	1
42	крайней мере	1	1
43	всяком случае	8	1
44	было бы	8	1
45	не следует	2	1
46	точно и	1	1
47	и ее	7	1
48	чем на	1	1
49	одной из	1	1
50	по меньшей	2	1
51	свести к	3	1
52	в пределах	6	1
53	в данном	4	1
54	теоретической и	1	1
55	должна быть	2	1
56	выпадает из	2	1
57	в области	4	1
58	является только	1	1
59	далеко не	5	1
60	тем более	1	1
61	говорить не	1	1
62	не склонен	1	1
63	что все	7	1
64	не все	1	1
65	нельзя не	1	1
66	никак не	1	1
67	в книге	2	1
68	его не	2	1
69	будто бы	2	1
70	а не	9	1
71	отнюдь не	5	1
72	до конца	7	1
73	представляется нам	3	1
74	не укладывается	2	1
75	и на	9	1
76	выходит за	2	1
77	между ними	5	1
78	еще не	8	1
79	к ней	4	1
80	все же	8	1
81	работа по	1	1
82	что в	7	1
