N	2gram	Losev_Prob	DiskursI
1	в качестве	9	72
2	а не	7	60
3	может быть	11	56
4	не только	28	49
5	и в	48	49
6	как и	10	47
7	при этом	6	46
8	и не	29	44
9	в том	25	44
10	представляет собой	1	41
11	то есть	38	41
12	том что	29	40
13	в этом	31	38
14	в себе	7	37
15	состоит в	1	37
16	в частности	5	36
17	но и	21	35
18	своего рода	1	32
19	но не	12	31
20	со стороны	1	28
21	но в	17	28
22	так и	15	28
23	не может	6	27
24	по своей	3	26
25	как в	3	25
26	такого рода	4	24
27	отнюдь не	14	23
28	еще не	4	23
29	а также	8	20
30	в своей	29	19
31	все же	12	19
32	в нем	8	19
33	прежде всего	15	19
34	далеко не	6	18
35	то же	6	17
36	в данном	6	17
37	с другой	8	17
38	в мире	1	17
39	по отношению	2	17
40	отношению к	2	17
41	точки зрения	17	16
42	только в	21	16
43	о том	17	15
44	то что	26	15
45	в его	19	15
46	не менее	8	14
47	можно сказать	10	14
48	одной стороны	5	14
49	с одной	5	14
50	не в	16	14
51	ни к	2	14
52	не является	2	14
53	это не	8	14
54	или иной	4	14
55	как бы	10	13
56	для него	2	13
57	в своих	3	12
58	в своем	16	12
59	того же	7	12
60	и на	9	12
61	и все	12	12
62	данном случае	5	12
63	являет собой	1	12
64	по мысли	4	11
65	по природе	1	11
66	не было	4	11
67	столь же	1	11
68	что в	12	11
69	с его	3	11
70	и как	10	11
71	не столько	1	10
72	той или	5	10
73	а с	4	10
74	для себя	6	10
75	а в	8	10
76	же время	1	10
77	также и	21	10
78	в них	5	9
79	уже не	12	9
80	внимание на	4	9
81	между тем	2	9
82	в силу	6	9
83	в то	6	9
84	сводится к	1	9
85	еще в	6	9
86	тем самым	2	9
87	в этих	3	8
88	и даже	24	8
89	к тому	7	8
90	в котором	5	8
91	в противоположность	3	8
92	в одном	6	8
93	из них	4	8
94	хотя и	10	8
95	он не	4	8
96	если в	2	8
97	не на	1	8
98	жизни в	7	8
99	потому что	21	8
100	этом отношении	4	8
101	человека в	3	8
102	и о	9	8
103	о чем	2	7
104	другой стороны	8	7
105	таким образом	20	7
106	в русской	4	7
107	одной из	5	7
108	что и	8	7
109	тому же	5	7
110	его в	9	7
