N	2gram	Voloshinov	Retstnzi
1	не может	13	4
2	и в	42	3
3	социального общения	14	2
4	если в	1	2
5	один из	4	2
6	общения и	4	2
7	произведения но	1	1
8	может и	1	1
9	нуждаются в	2	1
10	в особенности	1	1
11	несмотря на	3	1
12	самых первых	1	1
13	и аудитории	3	1
14	может быть	13	1
15	не только	28	1
16	точки зрения	11	1
17	с точки	5	1
18	может не	1	1
19	для него	3	1
20	с теми	1	1
21	ситуации и	10	1
22	в ней	8	1
23	тех же	1	1
24	себе все	2	1
25	в каждом	4	1
26	связи с	3	1
27	не из	2	1
28	бессилия и	1	1
29	и предварительно	1	1
30	этого общения	1	1
31	понимания этого	1	1
32	бы на	1	1
33	на месте	1	1
34	с другими	2	1
35	лучше всего	1	1
36	или иными	1	1
37	сил которые	1	1
38	если бы	4	1
39	художественного произведения	1	1
40	в его	6	1
41	и тому	3	1
42	не менее	1	1
43	и форму	2	1
44	именно с	2	1
45	ведь жанр	1	1
46	в языке	2	1
47	речь и	4	1
48	но и	16	1
49	о художественной	1	1
50	мы видим	4	1
51	его классовых	1	1
52	к тому	4	1
53	не смог	1	1
54	во второй	3	1
55	тому что	5	1
56	языка как	1	1
57	аудитории и	4	1
58	организующих сил	1	1
59	теми или	1	1
60	социальной борьбы	1	1
61	в конкретном	1	1
62	в то	9	1
63	из этих	2	1
64	и больше	2	1
65	вообще всякого	1	1
66	социально-иерархического взаимоотношения	1	1
67	и событий	1	1
68	он в	1	1
69	ни один	2	1
70	же время	7	1
71	то же	16	1
72	при анализе	1	1
73	а не	7	1
74	которые определяют	1	1
75	бы в	6	1
76	нет и	3	1
77	всякого высказывания	3	1
78	и не	14	1
79	язык как	1	1
80	и все	4	1
81	художественная речь	1	1
82	и на	7	1
83	вполне понятно	1	1
