N	3gram	Vygotskiy_	Sotsiolo
1	дело не в	1	2
2	в том что	21	2
3	и заключается что	1	2
4	в конце концов	6	2
5	не в том	7	2
6	но как и	1	1
7	это и есть	1	1
8	в то же	2	1
9	этих вопросов в	1	1
10	друг от друга	1	1
11	а между тем	1	1
12	ни на что	1	1
13	самому существу своему	1	1
14	что в них	1	1
15	в конечном счете	6	1
16	выходит за пределы	2	1
17	с одной стороны	6	1
18	в связи с	2	1
19	то же самое	8	1
20	том и заключается	2	1
21	то что в	1	1
22	это зависит от	1	1
23	по крайней мере	1	1
24	о том как	1	1
25	в этой области	3	1
26	то же время	2	1
27	только то что	2	1
28	в результате его	2	1
29	сама по себе	2	1
30	благодаря тому что	2	1
31	а с другой	1	1
32	во всяком случае	7	1
33	а в том	2	1
34	все эти вопросы	1	1
35	и в этом	1	1
36	в том и	4	1
37	не может не	1	1
38	это происходит не	1	1
39	в настоящее время	2	1
40	зависит от окружающих	1	1
41	заключаться только в	1	1
42	что все это	2	1
43	не было бы	3	1
44	по самому существу	4	1
