N	4gram	Tiupa_Hudo	formyVre
1	в то же время	7	18
2	одного и того же	3	9
3	и в то же	2	8
4	с одной стороны и	1	5
5	в том числе и	2	5
6	мы имеем в виду	3	5
7	одно и то же	3	5
8	в связи с этим	1	4
9	в той или иной	2	3
10	но в то же	1	3
11	не может быть и	1	2
12	включает в себя и	1	2
13	то же время они	1	2
14	и не могло быть	2	1
15	в осмысленном и конкретном	1	1
16	с этой точки зрения	2	1
17	всего в композиции произведения	1	1
18	автора мы находим вне	1	1
19	жизни поколений ослабляет и	1	1
20	не было и не	1	1
21	находим вне произведения как	1	1
22	и того же типа	1	1
23	единство места жизни поколений	1	1
24	биографической жизнью человека но	1	1
25	жизнью человека но мы	1	1
26	и в самом произведении	1	1
27	вне произведения как живущего	1	1
28	той или иной форме	1	1
29	человека с самим собою	1	1
30	слияние пространственных и временных	1	1
31	хронотопе имеет место слияние	1	1
32	с самим собою в	1	1
33	человека но мы встречаемся	1	1
34	место слияние пространственных и	1	1
35	временных примет в осмысленном	1	1
36	творцом и в самом	1	1
37	в том специфическом значении	1	1
38	все моменты быта лишает	1	1
39	как с творцом и	1	1
40	поколений ослабляет и смягчает	1	1
41	есть его активность прежде	1	1
42	но и прежде всего	1	1
43	он расчленяет произведение на	1	1
44	моменты быта лишает их	1	1
45	осмысленном и конкретном целом	1	1
46	то же время оно	1	1
47	места жизни поколений ослабляет	1	1
48	прежде всего в композиции	1	1
49	с ним как с	1	1
50	характера делает их существенными	1	1
51	то есть его активность	1	1
52	ним как с творцом	1	1
53	их существенными событиями жизни	1	1
54	бы они ни были	1	1
55	только то что может	1	1
56	том что он не	1	1
57	одном и том же	1	1
58	мы встречаем его то	1	1
59	мы встречаемся с ним	1	1
60	было и не могло	1	1
61	композиции произведения он расчленяет	1	1
62	но мы встречаемся с	1	1
63	расчленяет произведение на части	1	1
64	делает их существенными событиями	1	1
65	в том что он	2	1
66	грани между индивидуальными жизнями	1	1
67	преображает все моменты быта	1	1
68	как раз в том	1	1
69	в одном и том	1	1
70	быта лишает их частного	1	1
71	примет в осмысленном и	1	1
72	с творцом и в	1	1
73	в композиции произведения он	1	1
74	с которыми он должен	1	1
75	встречаем его то есть	1	1
76	его то есть его	1	1
77	которыми он должен слиться	1	1
78	пространственных и временных примет	1	1
79	и временных примет в	1	1
80	мы находим вне произведения	1	1
81	том числе и для	1	1
82	его активность прежде всего	1	1
83	встречаемся с ним как	1	1
84	произведения он расчленяет произведение	1	1
85	имеет место слияние пространственных	1	1
86	активность прежде всего в	1	1
87	из уст в уста	1	1
