N	3gram	Tiupa_Anal	Otkroven
1	для того чтобы	3	3
2	не могут быть	2	2
3	а не в	3	2
4	не может быть	17	2
5	но и в	3	2
6	и в этом	4	2
7	в самом начале	3	1
8	сам по себе	1	1
9	так и не	5	1
10	о том что	8	1
11	в том что	13	1
12	не так как	1	1
13	ничто не может	1	1
14	не в том	3	1
15	друг с другом	2	1
16	человек и в	1	1
17	в том случае	1	1
18	и то что	1	1
19	вообще но и	1	1
20	в виду не	1	1
21	как и в	2	1
22	и все же	2	1
23	в самом деле	3	1
24	и не в	4	1
25	том случае если	1	1
26	а вовсе не	1	1
27	как будто бы	1	1
28	смысле этого слова	1	1
29	ни с какой	1	1
30	во всяком случае	1	1
31	и в самом	3	1
32	уже отмечали что	1	1
33	все еще не	1	1
34	ко всему этому	1	1
35	там и здесь	1	1
36	о том как	1	1
37	в этом отношении	5	1
38	а не только	2	1
39	на то что	2	1
40	или лучше сказать	1	1
41	по природе своей	3	1
42	он не только	1	1
43	прежде всего в	2	1
44	не было и	1	1
45	и там и	1	1
46	и не может	4	1
