N	2gram	Trubetskoy	Retstnzi
1	не может	18	4
2	и в	24	3
3	социального общения	1	2
4	если в	1	2
5	в центре	1	2
6	один из	1	2
7	при сравнении	1	1
8	несмотря на	6	1
9	может быть	17	1
10	и истории	5	1
11	не только	10	1
12	точки зрения	14	1
13	с точки	8	1
14	может не	3	1
15	для него	2	1
16	в ней	3	1
17	тех же	2	1
18	права и	1	1
19	в каждом	1	1
20	связи с	4	1
21	бы на	1	1
22	на месте	2	1
23	с другими	1	1
24	лучше всего	1	1
25	если бы	8	1
26	смысл и	1	1
27	в его	5	1
28	и тому	2	1
29	не менее	7	1
30	именно с	1	1
31	и социальной	2	1
32	от общей	1	1
33	но и	11	1
34	мы видим	1	1
35	к тому	8	1
36	можно назвать	3	1
37	тому что	2	1
38	вопрос что	1	1
39	в то	6	1
40	из этих	8	1
41	он в	1	1
42	ни один	4	1
43	же время	2	1
44	то же	4	1
45	а не	1	1
46	бы в	3	1
47	нет и	1	1
48	и не	9	1
49	на нее	2	1
50	и все	9	1
51	в термины	1	1
52	и на	6	1
53	себя от	1	1
54	вполне понятно	1	1
