N	4gram	Tiupa_Narr	Marksizm
1	в то же время	7	15
2	бы то ни было	1	12
3	одного и того же	2	9
4	и не может быть	2	5
5	с одной стороны и	1	3
6	в связи с этим	1	3
7	один и тот же	1	3
8	в том числе и	1	3
9	одно и то же	2	3
10	в той или иной	1	3
11	одним и тем же	1	3
12	какой бы то ни	1	3
13	во всех без исключения	1	2
14	в том или ином	1	2
15	и то же слово	1	2
16	одна и та же	1	2
17	той или иной степени	1	2
18	так а не иначе	1	1
19	с этой точки зрения	1	1
20	то что не имеет	1	1
21	которым можно было бы	1	1
22	но для того чтобы	1	1
23	к себе самому и	1	1
24	сам по себе а	1	1
25	с той или иной	2	1
26	дело в том что	2	1
27	а в то же	1	1
28	той степени в какой	1	1
29	отношению к себе самому	1	1
30	по отношению к себе	1	1
31	по отношению к ним	1	1
32	в результате чего в	1	1
33	к тому или иному	1	1
34	текста но и в	1	1
35	дистанцию по отношению к	1	1
36	не сами по себе	1	1
37	на самом деле в	1	1
38	не видим и не	1	1
39	не в слове и	1	1
40	не доказывает и не	1	1
41	ничего не доказывает и	1	1
42	в той степени в	1	1
43	мы не видим и	1	1
44	то же время они	1	1
