N	2gram	Tiupa_Hudo	VeschiIm
1	не есть	1	79
2	и не	16	57
3	не только	20	48
4	то что	5	48
5	не может	9	46
6	и в	23	45
7	и есть	1	40
8	может быть	19	39
9	а не	13	37
10	потому что	3	25
11	не просто	2	24
12	было бы	1	24
13	только в	7	23
14	по себе	2	23
15	что она	2	23
16	в себе	13	23
17	сказать что	4	22
18	и что	4	22
19	в имени	2	21
20	как бы	11	20
21	что такое	2	20
22	что это	1	19
23	с нею	1	19
24	но и	14	19
25	и ее	3	19
26	в этом	12	18
27	все же	1	18
28	так как	1	17
29	прежде всего	5	17
30	и это	2	17
31	есть не	1	17
32	таким образом	3	16
33	вещи но	1	16
34	того что	5	16
35	как раз	3	16
36	от всего	1	15
37	как и	3	15
38	уже не	6	15
39	в том	20	15
40	и то	4	14
41	не в	9	14
42	в самом	7	13
43	не будет	3	13
44	том что	9	13
45	и больше	2	13
46	и для	3	13
47	а и	1	13
48	это и	2	13
49	в себя	4	13
50	то ни	2	13
51	что в	7	12
52	бы то	2	12
53	то же	12	12
54	и даже	1	12
55	о том	2	12
56	еще не	4	12
57	не что	1	12
58	если мы	2	12
59	точки зрения	11	12
60	но если	1	12
61	что они	1	12
62	что иное	1	12
63	ни было	2	12
64	что и	2	12
65	и как	4	12
66	иное как	1	12
67	имя как	1	11
68	содержит в	1	11
69	не менее	5	11
70	себя в	8	11
71	и пр	1	11
72	общение с	1	11
73	еще и	2	11
74	тем не	3	11
75	ни в	5	11
76	что не	1	11
77	вовсе не	2	11
78	также и	1	11
79	в то	8	11
80	вещи в	1	10
81	по крайней	1	10
82	в чем	2	10
83	крайней мере	1	10
84	с ее	6	10
85	я и	7	9
86	с ним	2	9
87	в результате	1	9
88	со стороны	5	9
89	бы и	1	9
90	то и	1	9
91	говорить о	4	9
92	в своем	4	9
93	должно быть	1	9
94	это не	4	9
95	у нас	1	9
96	бы в	1	9
97	так что	1	9
98	но не	13	9
99	на то	1	9
100	и его	12	9
101	как с	1	8
102	если бы	3	8
103	смысла и	1	8
104	что он	5	8
