N	3gram	Vygotskiy_	UchenyiS
1	не может быть	4	4
2	то ни было	1	3
3	с другой стороны	8	3
4	в этой области	3	3
5	бы то ни	1	3
6	в то же	1	3
7	по нашему мнению	1	3
8	и то что	6	2
9	на каждом шагу	3	2
10	в том что	33	2
11	в самом деле	6	2
12	не могут быть	3	2
13	до сих пор	3	2
14	тех или иных	2	2
15	и в частности	3	2
16	в конце концов	2	2
17	то же самое	7	2
18	в этом отношении	7	2
19	в этом смысле	5	2
20	в первую очередь	4	1
21	имеем в виду	1	1
22	друг с другом	10	1
23	а для второго	1	1
24	сам по себе	1	1
25	и в конце	1	1
26	же самое что	2	1
27	и в их	1	1
28	в широком смысле	1	1
29	нас до сих	1	1
30	для всех этих	1	1
31	может быть в	1	1
32	таким образом на	1	1
33	с тем что	3	1
34	у нас до	1	1
35	смысле можно сказать	2	1
36	верно и то	1	1
37	с одной стороны	10	1
38	нам представляется что	1	1
39	можно сказать что	7	1
40	равно как и	1	1
41	как нам представляется	1	1
42	сделать больше чем	1	1
43	не было бы	1	1
44	и что все	1	1
45	они относятся к	1	1
46	на первый план	2	1
47	в той же	3	1
48	и не только	1	1
49	а не только	1	1
50	больше чем то	1	1
51	на то что	5	1
52	является одним из	2	1
53	этом смысле можно	1	1
54	чем то что	1	1
55	не только в	1	1
56	одним из самых	1	1
57	более или менее	1	1
58	с другом не	1	1
59	в данном случае	3	1
60	само по себе	2	1
61	мы имеем в	1	1
62	что он и	1	1
63	нам думается что	5	1
64	в этом случае	5	1
65	связанные с проблемой	1	1
66	при таком понимании	1	1
67	это было бы	1	1
