N	2gram	Medvedev_V	Hudozhes
1	и в	2	23
2	в том	2	20
3	в частности	1	18
4	и не	1	16
5	в этом	1	12
6	то же	1	12
7	и его	1	12
8	сводится к	1	11
9	том что	2	9
10	в самом	1	7
11	только в	1	7
12	в их	1	5
13	в другом	1	4
14	и т.д	1	4
15	и то	1	4
16	так в	1	4
17	а только	1	4
18	речи и	1	4
19	далеко не	1	4
20	и составляет	1	3
21	потому что	1	3
22	одно и	1	3
23	говоря о	1	3
24	самом деле	1	2
25	именно в	1	2
26	значительной степени	1	2
27	ни к	1	2
28	а.н веселовского	2	2
29	теории литературы	1	2
30	все это	1	2
31	я не	1	2
32	тем более	1	2
33	в значительной	1	2
34	столь же	1	2
35	говоря иначе	1	2
36	одном и	1	1
37	все то	1	1
38	да и	1	1
39	собственно и	1	1
40	по крайней	1	1
41	по своим	1	1
42	более чем	1	1
43	время в	1	1
44	чего не	1	1
45	том же	1	1
46	по поводу	1	1
47	то я	1	1
48	крайней мере	1	1
49	так как	1	1
50	ведь это	1	1
51	к чему	1	1
52	дело в	1	1
53	за свою	1	1
54	в конце	2	1
55	этом и	1	1
56	и том	1	1
