N	2gram	Tiupa_Hudo	Tragedij
1	и в	23	18
2	в романе	3	10
3	в этом	12	9
4	в году	2	9
5	не только	20	8
6	и на	3	7
7	и не	16	7
8	может быть	19	7
9	как бы	11	7
10	что он	5	6
11	у него	2	6
12	же время	7	6
13	но в	10	6
14	и его	12	6
15	это не	4	5
16	несмотря на	2	5
17	что это	1	5
18	так и	12	5
19	к жизни	2	5
20	все же	1	5
21	у достоевского	1	5
22	то же	12	5
23	как и	3	5
24	не может	9	5
25	в то	8	5
26	что в	7	4
27	в себе	13	4
28	и даже	1	4
29	все это	2	4
30	прежде всего	5	4
31	я не	2	4
32	об этом	2	4
33	еще не	4	4
34	но и	14	4
35	том что	9	4
36	и что	4	4
37	так же	2	4
38	то что	5	4
39	в этой	2	4
40	я люблю	1	4
41	в нем	6	4
42	что достоевский	1	4
43	в целом	3	4
44	своего рода	9	3
45	один из	2	3
46	достоевского в	1	3
47	должно быть	1	3
48	в его	11	3
49	для него	5	3
50	в своем	4	3
51	с ним	2	3
52	о чем	3	3
53	и сам	3	3
54	в конце	1	3
55	и как	4	3
56	в мире	24	3
57	как в	2	3
58	никто не	3	3
59	в поле	1	3
60	то есть	26	3
61	при этом	19	3
62	как это	7	3
63	тем самым	5	3
64	с ее	6	3
65	мог бы	3	3
66	как будто	1	3
67	отнюдь не	2	3
68	все эти	2	3
69	к нему	3	3
70	о жизни	2	2
71	в самом	7	2
72	не так	1	2
73	в преступлении	1	2
74	и то	4	2
75	в душе	9	2
76	xix веке	1	2
77	и здесь	1	2
78	со мной	1	2
79	и лучше	1	2
80	в том	20	2
81	ивана карамазова	1	2
82	он и	2	2
83	в ее	6	2
84	для искусства	2	2
85	говорит о	1	2
86	как у	1	2
87	и наказании	1	2
88	что и	2	2
89	из своих	1	2
90	ни в	5	2
91	бы и	1	2
92	к области	3	2
93	в русском	1	2
94	что все	1	2
95	не могут	1	2
96	его в	4	2
97	не в	9	2
98	он отчасти	1	2
99	в первом	1	2
100	от всего	1	2
101	в таком	3	2
102	между этими	1	2
103	как говорит	3	2
104	преступлении и	1	2
105	дома и	2	2
106	имеет в	1	2
107	и это	2	2
108	нет в	1	2
