N	2gram	Ircho_Kome	Dialekti
1	т е	18	159
2	и не	28	120
3	и т	5	82
4	по себе	1	79
5	а не	5	78
6	и в	37	77
7	т д	1	75
8	точки зрения	8	72
9	может быть	14	71
10	не только	13	66
11	то что	5	59
12	и есть	3	55
13	ничего не	6	54
14	не может	9	53
15	и даже	6	47
16	с точки	6	46
17	так как	16	46
18	потому что	19	45
19	не просто	1	44
20	стало быть	2	44
21	как бы	7	43
22	и что	8	42
23	ни в	14	42
24	не имеет	6	41
25	вовсе не	6	41
26	в том	24	40
27	в этом	18	39
28	то же	14	39
29	что она	10	38
30	в себе	4	38
31	что он	15	37
32	том что	22	37
33	прежде всего	7	37
34	так что	7	36
35	это не	3	36
36	что в	11	34
37	в нем	8	34
38	и все	6	33
39	того что	1	33
40	но и	18	32
41	ясно что	12	31
42	все это	7	31
43	сказать что	4	30
44	отнюдь не	5	30
45	и как	3	30
46	было бы	7	29
47	так и	4	29
48	как и	10	28
49	никогда не	5	27
50	в виду	3	26
51	крайней мере	1	26
52	не в	7	26
53	по крайней	1	26
54	сама по	1	26
55	говорить о	6	25
56	если бы	18	24
57	таким образом	16	23
58	в то	14	23
59	и вот	3	23
60	я не	4	22
61	что не	5	21
62	в чем	7	21
63	должна быть	2	21
64	она не	3	21
65	и с	5	20
66	о том	21	20
67	что и	12	20
68	что все	1	20
69	в таком	2	20
70	только в	3	20
71	в каком	1	20
72	совершенно не	2	20
73	как раз	9	20
74	в самом	17	19
75	не менее	9	19
76	в своем	9	19
77	как же	2	19
78	и притом	1	19
79	и это	4	19
80	как это	5	19
81	что мы	4	19
82	и его	10	19
83	же время	12	18
84	хотя бы	5	18
85	с другой	5	18
86	что же	2	18
87	жизни и	1	18
88	можно сказать	1	17
89	в сущности	3	17
90	в основе	3	17
91	но если	3	17
92	кроме того	1	16
93	то это	5	16
94	к нему	8	16
95	только не	1	16
96	тем не	3	16
97	или не	1	16
98	в своей	6	16
99	да и	3	16
100	нет ничего	4	16
101	конечно не	4	16
102	мы не	6	16
103	об этом	12	16
