N	2gram	Losev_Dial	Problema
1	и в	35	182
2	то есть	1	165
3	и не	51	152
4	вовсе не	19	145
5	то что	25	144
6	не есть	67	113
7	не только	26	104
8	потому что	23	89
9	в этом	18	88
10	может быть	30	82
11	в том	20	81
12	том что	18	81
13	не просто	19	80
14	только в	7	73
15	сказать что	19	72
16	но и	17	70
17	в виде	2	69
18	также и	7	68
19	и даже	23	66
20	по себе	39	64
21	даже и	3	63
22	не менее	5	58
23	о том	8	57
24	тем не	3	56
25	а не	24	56
26	так и	18	56
27	но в	8	55
28	так что	21	52
29	ни в	20	51
30	для нас	1	50
31	в себе	23	48
32	отнюдь не	13	48
33	и вообще	10	48
34	смысле слова	1	47
35	при помощи	1	47
36	было бы	14	46
37	прежде всего	14	45
38	в своей	9	45
39	что в	19	44
40	в его	4	44
41	не в	12	43
42	все эти	4	43
43	то же	21	42
44	в символе	4	42
45	а именно	3	42
46	как раз	7	42
47	таким образом	5	42
48	если мы	3	42
49	и что	17	40
50	и то	15	40
51	что он	16	40
52	так как	24	40
53	что мы	3	40
54	во всяком	5	39
55	есть символ	3	39
56	не может	16	39
57	и тем	2	39
58	в этой	3	39
59	как бы	19	39
60	той или	11	38
61	в данном	5	38
62	хотя бы	6	37
63	никак не	6	37
64	в нем	25	37
65	того что	6	37
66	точки зрения	25	36
67	есть нечто	16	36
68	еще не	4	36
69	и все	11	36
70	вещи есть	3	35
71	символ и	3	35
72	когда мы	3	35
73	и т	31	35
74	в виду	9	34
75	уже не	3	34
76	и с	10	34
77	как и	10	34
78	указывает на	3	34
79	же самое	3	33
80	в таком	4	33
81	не является	3	33
82	т д	28	33
83	или иной	4	33
84	здесь не	1	32
85	в то	10	32
86	но не	9	32
87	так же	6	31
88	в своем	7	31
89	связи с	3	31
90	что такое	13	31
91	в конце	5	31
92	но это	12	31
93	все это	14	31
94	ясно что	11	30
95	и для	2	30
96	с другой	10	30
97	в связи	3	29
98	все же	9	29
99	можно сказать	10	29
100	перед нами	3	29
101	как мы	5	29
102	об этом	7	29
103	что же	5	28
104	данном случае	1	28
105	мы не	1	28
106	а в	8	28
107	есть только	9	28
108	и о	4	28
109	и это	6	27
110	и как	14	27
111	хотя и	4	27
112	ничего общего	4	27
113	ничего не	19	27
114	в результате	2	26
115	другой стороны	7	26
116	крайней мере	11	26
117	да и	11	26
118	понятие символа	1	26
119	как будто	7	26
120	вместе с	3	26
121	по крайней	11	26
122	еще и	4	26
123	это не	18	26
124	и его	6	26
125	мы можем	5	25
126	тем самым	1	25
127	с точки	18	25
128	всяком случае	3	25
129	с тем	2	24
130	на самом	5	24
131	тем более	2	24
132	не имеет	15	24
133	содержит в	6	23
134	таком случае	2	23
135	по своему	4	23
136	только и	5	23
137	на то	5	23
138	вяч иванова	1	23
139	при этом	2	23
140	тут же	2	23
141	в качестве	2	23
142	и притом	7	23
143	о символе	2	23
144	конце концов	4	23
145	а только	5	23
146	то и	3	23
147	мы находим	7	23
148	есть не	8	23
149	и к	8	22
150	вещи и	5	22
151	раз и	2	22
152	только на	3	22
153	можно ли	3	22
154	никогда не	18	22
155	и является	2	22
156	всех этих	4	22
157	тоже не	2	22
158	нет ничего	1	22
159	есть в	2	22
160	значит что	25	22
161	сам по	8	22
162	его в	3	22
163	и от	5	22
164	и есть	20	22
165	и если	5	22
166	что и	7	22
167	другими словами	2	22
168	в самом	6	21
169	в аллегории	7	21
170	сама по	12	21
171	что всякий	1	21
172	мы должны	6	21
173	и ее	1	21
174	говорить о	9	21
175	а также	1	21
176	и без	1	21
177	символ есть	1	21
178	и только	5	21
179	именно в	4	20
180	для того	2	20
181	но как	7	20
182	можно было	5	20
183	и потому	6	20
184	о чем	4	20
185	тем что	2	20
186	несмотря на	12	20
187	как о	2	20
188	или в	2	20
189	это значит	18	19
190	кроме того	2	19
191	в них	4	19
192	с ним	9	19
193	самом деле	6	19
194	в каком	10	19
195	но если	6	19
196	того или	1	19
197	то это	6	19
198	уже в	5	19
199	то в	8	19
200	в отношении	5	19
201	но только	6	19
202	этом смысле	4	19
203	он не	5	19
204	это есть	13	19
205	если не	1	19
206	если бы	12	19
207	как в	3	19
208	как нечто	5	19
209	жизни и	9	19
210	в этих	6	18
211	того же	1	18
212	не было	7	18
213	не будет	2	18
214	и ни	7	18
215	мы и	3	18
216	не существует	8	18
217	в ее	3	18
218	того чтобы	1	18
219	в ней	4	18
220	без всякого	3	17
221	что они	8	17
222	во всех	3	17
223	но уже	3	17
224	и здесь	1	17
225	гораздо более	3	17
226	есть именно	1	17
227	мы уже	8	17
228	совсем не	1	17
229	ни о	5	17
230	что здесь	4	17
231	это и	6	17
232	совершенно не	13	17
233	тех или	5	17
234	точно так	3	16
235	что она	18	16
236	будто бы	3	16
237	как это	8	16
238	он и	2	16
239	и вовсе	1	16
240	же в	2	16
241	для этого	2	16
242	но все	5	16
243	в одно	5	16
244	к тому	6	16
245	но даже	1	16
246	между собою	3	16
247	случае не	4	16
248	далеко не	2	16
249	и сам	1	15
250	с этим	5	15
251	в чем	9	15
252	в той	4	15
253	у него	2	15
254	что не	13	15
255	общего с	6	15
256	и более	7	15
257	здесь в	3	15
258	в частности	4	15
259	об его	2	14
260	людей и	1	14
261	уже и	5	14
262	что все	2	14
263	с другими	2	14
264	сих пор	4	14
265	символ но	1	14
266	только о	3	14
267	не так	1	14
268	нас не	2	14
269	а это	2	14
270	все равно	7	14
271	в котором	5	14
272	говорит о	6	14
273	до сих	4	14
274	в дальнейшем	6	14
275	не что	4	14
276	за пределы	4	14
277	что иное	4	14
278	нет никакой	2	14
279	этого термина	1	14
280	иное как	4	14
281	же и	11	13
282	и символ	1	13
283	есть ни	7	13
284	из них	5	13
285	тому что	4	13
286	действительности и	4	13
287	из этого	2	13
288	должны сказать	2	13
289	сами по	4	13
290	ни на	8	13
291	бы и	4	13
292	или другой	7	13
293	мы имеем	4	13
294	в их	5	13
295	всегда есть	4	13
296	или даже	1	13
297	здесь только	1	13
298	в области	2	13
299	уже давно	2	13
300	в других	1	13
