N	4gram	Tiupa_Teor	Morfolog
1	в связи с этим	1	4
2	состоит в том что	5	3
3	в том случае если	1	2
4	бы то ни было	2	2
5	не что иное как	1	2
6	ни к чему не	1	2
7	бы они ни были	1	1
8	с этой точки зрения	2	1
9	тысяча и одна ночь	1	1
10	том случае если он	1	1
11	во всех подобных случаях	2	1
12	в коем случае не	2	1
13	в том что он	2	1
14	одно и то же	2	1
15	но по отношению к	1	1
16	в то же время	8	1
17	то что они хотят	2	1
18	приводит к тому что	2	1
19	не может быть и	1	1
20	ни в коем случае	2	1
21	есть не что иное	1	1
