N	2gram	Vygotskiy_	OGranits
1	и в	37	13
2	и его	10	12
3	прежде всего	12	9
4	может быть	19	8
5	и не	15	8
6	не может	16	8
7	и пр	2	7
8	в его	16	7
9	и т.п	5	7
10	и их	5	7
11	точки зрения	49	7
12	таким образом	39	6
13	не только	29	6
14	социального общения	1	6
15	мы должны	11	6
16	только в	8	6
17	то что	32	6
18	как бы	16	6
19	языка и	3	5
20	хотя бы	7	5
21	с точки	34	5
22	и т.д	15	5
23	в процессе	19	5
24	но ведь	2	5
25	все же	6	5
26	и наконец	3	5
27	мы можем	11	4
28	не является	16	4
29	только и	1	4
30	мы не	13	4
31	то же	12	4
32	было бы	12	4
33	все это	9	4
34	в сознании	2	4
35	слов и	1	4
36	лишь в	9	4
37	материала в	1	4
38	в своей	7	4
39	в двух	3	4
40	но мы	4	4
41	но в	9	4
42	вопроса о	3	4
43	с этим	8	3
44	что в	25	3
45	к одному	1	3
46	понятно что	2	3
47	и то	3	3
48	со всей	7	3
49	связана с	4	3
50	материала и	1	3
51	так и	12	3
52	говорить о	4	3
53	одно и	2	3
54	есть прежде	2	3
55	в одном	5	3
56	не столько	4	3
57	за пределы	4	3
58	отношению к	11	3
59	по отношению	12	3
60	превращается в	3	3
61	слово в	1	3
62	поставить вопрос	1	3
63	в пределах	1	3
64	в их	5	3
65	в ее	3	3
66	здесь мы	1	3
67	самом деле	8	3
68	не в	9	3
69	в которой	6	3
70	что же	3	3
71	и все	7	3
72	но для	2	3
73	в себе	8	3
74	так как	11	3
75	я хочу	1	3
76	да и	1	3
77	но и	23	3
78	к единству	4	3
79	и для	3	3
80	как и	20	3
81	точку зрения	8	3
82	никогда не	8	3
83	в области	4	2
84	к сожалению	2	2
85	в самом	16	2
86	во всем	4	2
87	которые только	1	2
88	и к	9	2
89	их организации	1	2
90	что они	5	2
91	того или	1	2
92	может иметь	1	2
93	функцию в	1	2
94	мы видим	7	2
95	в данном	5	2
96	мы уже	7	2
97	и этот	1	2
98	и наиболее	2	2
99	в своих	6	2
100	в этом	32	2
101	этой проблемы	10	2
102	и лингвистики	1	2
103	вопросы связанные	1	2
104	в общем	5	2
105	в целях	1	2
106	данном случае	5	2
107	на язык	2	2
108	человеческой речи	12	2
109	которое мы	6	2
110	с одной	14	2
111	в течение	4	2
112	входит в	1	2
113	для себя	7	2
114	наконец в	2	2
115	и при	2	2
116	одной стороны	15	2
117	и должно	1	2
118	и научно	1	2
119	который мы	3	2
120	в другом	7	2
121	при этом	6	2
122	несмотря на	6	2
123	между тем	10	2
124	в полном	3	2
125	для него	5	2
126	речи не	1	2
127	только его	3	2
128	пытается в	1	2
129	символов и	2	2
130	и тем	8	2
131	с помощью	16	2
132	смысле слова	6	2
133	те же	2	2
134	связанные с	2	2
135	ее в	3	2
136	в том	47	2
137	крика и	1	2
138	общения и	3	2
139	с этой	7	2
140	что эта	7	2
141	каждое слово	1	2
142	и является	2	2
143	в тех	2	2
144	в отношении	14	2
145	к анализу	3	2
146	чем же	2	2
147	вслед за	3	2
148	организации в	1	2
149	другой стороны	10	2
150	представлений и	1	2
151	сознания и	4	2
152	но так	1	2
153	не на	1	2
154	отношений между	4	2
155	от этого	4	2
156	так же	18	2
157	думать что	1	2
158	в них	5	2
159	самого начала	9	2
160	а в	4	2
161	если бы	10	2
162	себе что	1	2
163	от всех	3	2
164	и делают	1	2
165	о языке	2	2
166	от своего	1	2
167	а также	1	2
168	в книге	3	2
169	соответствии с	1	2
170	на две	3	2
171	еще в	1	2
172	в ней	2	2
173	с самого	9	2
174	тем что	7	2
175	она является	1	2
176	и эмоций	1	2
177	и др	5	2
178	могут быть	5	2
179	вовсе не	5	2
180	в действительности	1	2
181	может в	1	2
182	его на	3	2
183	учение о	4	2
184	в связи	3	2
185	в зависимости	8	2
186	во всей	8	2
187	все эти	6	2
188	с другой	16	2
189	как в	7	2
190	иным как	1	2
191	разрыв между	1	2
192	грамматики и	1	2
193	не менее	1	2
194	только ее	1	2
195	нуждается в	2	2
196	явлений и	1	2
197	не имеет	5	2
198	там где	8	2
199	том что	42	2
200	в нем	2	2
201	уже в	8	2
202	и следовательно	3	2
203	зависимости от	8	2
204	не мог	1	2
205	является уже	2	2
206	а не	5	2
207	всей своей	2	2
208	в чем	5	2
