N	4gram	Tiupa_Anal	Tvorches
1	в то же время	7	24
2	но в то же	2	6
3	и не может быть	4	3
4	нет и не может	2	2
5	в том числе и	1	2
6	заключается в том что	1	2
7	не сами по себе	1	2
8	о свободе воли и	1	2
9	в том же году	1	2
10	то же время он	1	2
11	в то же самое	2	1
12	на самом же деле	1	1
13	не что иное как	5	1
14	как уже было сказано	1	1
15	в том смысле что	1	1
16	в таком случае это	1	1
17	одна и та же	1	1
18	всего романа в целом	1	1
19	не может быть ни	1	1
20	одного и того же	2	1
21	лишь в том что	1	1
22	и в самом деле	1	1
23	собой не что иное	1	1
24	ведет к тому что	1	1
25	хотя бы и в	1	1
26	или во всяком случае	1	1
27	ответ на этот вопрос	1	1
28	но в таком случае	1	1
29	мы имеем в виду	1	1
30	дело не только в	1	1
31	между автором и читателем	1	1
32	в самом деле как	1	1
33	бы то ни было	3	1
34	не так ли и	1	1
35	то же самое время	2	1
36	представляет собой не что	1	1
37	произведение не может быть	1	1
38	то же время они	1	1
39	не о том что	2	1
