N	2gram	Berdyaev_O	Narrotol
1	не только	11	62
2	и не	13	50
3	но и	13	45
4	а не	11	38
5	в частности	1	31
6	может быть	11	30
7	и в	19	30
8	в том	5	29
9	в этом	12	28
10	том что	2	28
11	а в	5	27
12	представляет собой	1	25
13	как и	6	24
14	не в	11	23
15	то что	5	23
16	не может	4	20
17	в себе	3	17
18	так и	2	17
19	со стороны	1	16
20	в его	7	16
21	но в	2	15
22	в жизни	1	14
23	и его	4	14
24	в своей	2	13
25	уже не	1	13
26	о том	3	13
27	в своем	2	13
28	у него	22	13
29	все же	2	12
30	как в	1	12
31	как бы	3	12
32	прежде всего	9	12
33	хотя и	2	11
34	в мире	1	11
35	если бы	1	11
36	в этой	5	11
37	в нем	10	11
38	жизни в	2	11
39	один из	1	10
40	никогда не	9	10
41	как это	1	10
42	и все	10	10
43	жизни и	1	10
44	с его	4	10
45	ничего не	2	10
46	того что	3	10
47	но не	1	10
48	что в	4	9
49	с ним	3	9
50	что он	3	9
51	еще не	3	9
52	потому что	9	9
53	для него	5	9
54	и к	2	8
55	в самом	5	8
56	о чем	1	8
57	одна из	1	8
58	он не	7	8
59	действующих лиц	1	8
60	и он	8	8
61	самом деле	1	8
62	того чтобы	4	8
63	и для	2	8
64	этом отношении	1	8
65	у нас	1	8
66	у нее	1	8
67	мира в	1	8
68	в котором	1	7
69	в ее	2	7
70	в конце	1	7
71	в силу	1	7
72	и на	2	7
73	в форме	1	7
74	и состоит	1	7
75	это не	3	7
76	в глазах	1	7
77	также и	1	7
78	в ней	1	7
79	все что	3	6
80	например в	1	6
81	между двумя	1	6
82	сказать что	2	6
83	то в	1	6
84	что у	2	6
85	что и	2	6
86	человеческих отношений	4	6
87	к его	1	6
88	в сознании	1	6
89	о нем	1	6
90	как у	1	6
91	не по	1	6
92	на то	1	6
93	в центре	1	5
94	в своих	3	5
95	и даже	1	5
96	и сам	1	5
97	а именно	1	5
98	в другом	2	5
99	для того	3	5
100	может служить	1	5
101	в одном	1	5
102	он сам	4	5
103	из них	1	5
104	к нему	3	5
105	бы и	1	5
106	не было	9	5
107	человек в	1	5
108	его жизни	1	5
109	в русской	3	5
110	и от	3	5
111	и здесь	1	5
112	что это	1	5
113	с ними	1	5
114	о любви	2	5
115	да и	1	5
116	том как	1	5
117	было бы	3	5
118	и то	2	5
119	мы не	1	5
120	на самом	1	5
121	не случайно	1	5
122	и о	2	5
123	как будто	1	5
124	в душе	2	4
125	в виду	1	4
126	по себе	2	4
127	в них	1	4
128	и с	2	4
129	все его	1	4
130	ведет к	1	4
131	не вполне	1	4
132	не существует	1	4
133	хотя бы	3	4
134	и когда	1	4
135	который в	1	4
136	к этому	2	4
137	что они	2	4
138	по своей	1	4
139	и ее	3	4
140	жизни а	1	4
141	о которой	2	4
142	со всеми	1	4
143	не имеет	2	4
144	начиная с	1	4
145	всяком случае	1	4
146	во всяком	1	4
147	и как	1	4
148	это было	3	4
149	не все	2	4
150	человека в	11	4
151	она не	1	4
152	не с	1	4
153	к ней	2	4
154	что было	1	3
155	говорит о	1	3
156	в этих	3	3
157	и дело	1	3
158	сознания в	1	3
159	за собой	1	3
160	в строгом	1	3
161	жизни как	1	3
162	ключ к	1	3
163	все время	1	3
164	что она	1	3
165	ее и	1	3
166	по природе	1	3
167	но еще	1	3
168	одно из	2	3
169	но он	7	3
170	в которой	2	3
171	к чему	1	3
172	что не	4	3
173	характер и	1	3
174	и это	1	3
175	героя из	1	3
176	должен был	2	3
177	а с	1	3
178	природе своей	1	3
179	и что	1	3
180	можно было	1	3
181	о его	5	3
182	чем и	1	3
183	интерес к	1	3
184	самим собой	1	3
185	своей жизни	2	3
186	быть не	1	3
187	и тогда	1	3
188	и лишь	1	3
189	было и	1	3
190	тем же	1	3
191	от которой	1	3
192	до конца	7	3
193	на этот	1	3
194	но это	1	3
195	и после	1	3
196	жизни не	1	3
197	знаменательно что	1	3
198	как к	2	3
199	и вот	3	3
200	от которого	1	3
201	он и	1	3
202	же не	1	3
203	дело в	1	3
204	все эти	4	3
205	особенно в	1	3
206	и потому	2	3
207	его не	2	3
208	это была	1	3
209	заключает в	1	3
210	лишь в	7	3
211	еще более	1	2
212	но о	1	2
213	проникновения в	1	2
214	с той	1	2
215	быть может	3	2
216	лишь с	1	2
217	людей и	1	2
218	людей а	1	2
219	мысль о	2	2
220	тем что	2	2
221	человека есть	2	2
222	достоевского и	5	2
223	в это	1	2
224	мир и	1	2
225	было не	1	2
226	во внешнем	1	2
227	жизнь а	1	2
228	из жизни	1	2
229	в этот	2	2
230	чего не	1	2
231	можно ли	2	2
232	видно что	1	2
233	говорит с	1	2
234	вовсе не	1	2
235	главное в	1	2
236	русской литературы	1	2
237	бы в	1	2
238	к одному	1	2
239	должно быть	2	2
240	в человеке	9	2
241	и через	1	2
242	и пережил	1	2
243	будто бы	1	2
244	человек и	4	2
245	не есть	2	2
246	и всякий	1	2
247	себе и	1	2
248	в других	2	2
249	которых в	1	2
250	человека как	1	2
251	так что	2	2
252	им самим	1	2
253	мира по	1	2
254	его как	1	2
255	могут быть	3	2
256	и есть	3	2
257	любви и	1	2
258	а потому	1	2
259	та же	1	2
260	они и	1	2
261	которым можно	1	2
262	должна быть	1	2
263	своих героев	1	2
264	в сущности	1	2
265	он лишь	3	2
266	один человек	1	2
267	человеке в	5	2
268	в россии	5	2
269	в процессе	1	2
270	никто не	3	2
271	за границу	1	2
272	есть на	1	2
273	ли он	1	2
274	к другому	1	2
275	чувствует и	1	2
276	его и	1	2
277	это за	3	2
278	это все	1	2
279	его характер	1	2
280	в мир	1	2
281	что же	2	2
282	в самую	4	2
283	из него	1	2
284	после этого	1	2
285	ни с	7	2
286	и откровения	1	2
287	все это	6	2
288	и более	1	2
289	указывает на	1	2
290	в пределе	1	2
291	он говорит	1	2
292	не могу	1	2
293	когда он	3	2
294	не оставляет	1	2
295	чего же	1	2
296	отношение к	5	2
297	во всем	1	1
298	и человеческого	1	1
299	видели в	1	1
300	никогда и	2	1
301	христа в	1	1
302	лет назад	1	1
303	к этой	2	1
304	любовь к	2	1
305	отношениях к	1	1
306	души человеческой	1	1
307	из всех	1	1
308	в разных	1	1
309	жизни есть	1	1
310	и был	1	1
311	их жизни	1	1
312	мысли и	3	1
313	у его	1	1
314	что человек	3	1
315	верю в	1	1
316	с тайной	1	1
317	свете в	1	1
318	раскрывается в	5	1
319	всей ее	1	1
320	которая была	1	1
321	связь с	1	1
322	их не	2	1
323	идти в	1	1
324	связана с	1	1
325	в корне	1	1
326	приходит в	1	1
327	жизни ее	1	1
328	лица в	1	1
329	ней не	1	1
330	но у	1	1
331	отличается от	1	1
332	всех действующих	1	1
333	стремился к	1	1
334	и нет	2	1
335	это от	1	1
336	сказать про	1	1
337	все и	1	1
338	сразу же	2	1
339	к одной	1	1
340	не могли	2	1
341	его существование	1	1
342	вопрос о	10	1
343	про него	1	1
344	человека не	1	1
345	и мысли	4	1
346	он был	8	1
347	в творчестве	5	1
348	умирает в	2	1
349	в глаза	1	1
350	всего что	1	1
351	самом начале	1	1
352	своего сознания	1	1
353	ее как	1	1
354	это так	1	1
355	в одной	1	1
356	что все	2	1
357	момент в	2	1
358	речь о	1	1
359	проникновение в	1	1
360	человеку и	5	1
361	друг с	1	1
362	и открывает	1	1
363	заглянуть в	1	1
364	свои собственные	1	1
365	свое собственное	1	1
366	внутренней жизни	1	1
367	ближе к	1	1
368	его собственного	1	1
369	чтобы сделать	1	1
370	она и	1	1
371	к человеку	9	1
372	указать на	1	1
373	собой в	1	1
374	что сама	1	1
375	искать ключ	1	1
376	лишь после	1	1
377	чем у	1	1
378	стремится к	1	1
379	по содержанию	1	1
380	его в	2	1
381	говорит он	1	1
382	говорит в	1	1
383	исходит от	1	1
384	человек по	1	1
385	свой особый	1	1
386	между этими	1	1
387	лишь на	1	1
388	на земле	4	1
389	для человеческого	2	1
390	которая представляется	1	1
391	в пределы	1	1
392	и характер	1	1
393	и потребностью	1	1
394	лишь для	1	1
395	что только	1	1
396	изнутри а	1	1
397	братьев карамазовых	1	1
398	в уста	2	1
399	для его	1	1
400	бытия но	1	1
401	совсем не	2	1
402	с какой	1	1
403	для художника	1	1
404	ничто не	2	1
405	кажется и	2	1
406	в самой	9	1
407	был для	1	1
408	истории и	1	1
409	богаче чем	1	1
410	природы и	2	1
411	что для	2	1
412	и каждый	1	1
413	самому себе	1	1
414	с чем	2	1
415	был в	1	1
416	в человеческой	1	1
417	всю жизнь	1	1
418	против теории	1	1
419	ее внутреннее	1	1
420	бы ни	1	1
421	речи и	1	1
422	за все	2	1
423	в духовном	1	1
424	чтобы не	1	1
425	от самого	2	1
426	люди что	1	1
427	был бы	1	1
428	была бы	1	1
429	в свое	1	1
430	с тем	2	1
431	сам по	1	1
432	его собственным	1	1
433	старца зосимы	1	1
434	в отношении	1	1
435	нет никакого	1	1
436	с иваном	1	1
437	за это	1	1
438	не могут	3	1
439	сказать с	1	1
440	прошел через	1	1
441	вместо того	2	1
442	человека его	3	1
443	строгом смысле	1	1
444	не растворяется	1	1
445	преступление и	1	1
446	не делает	1	1
447	лишь к	1	1
448	но никогда	2	1
449	отношения к	1	1
450	свой собственный	1	1
451	скрыта от	1	1
452	сравнению с	1	1
453	которого не	1	1
454	внутренней свободы	1	1
455	но оно	1	1
456	только одно	3	1
457	бросается в	1	1
458	ни к	1	1
459	совершенно не	1	1
460	романы толстого	1	1
461	который всегда	1	1
462	он восклицает	2	1
463	ни у	2	1
464	образом их	1	1
465	по сравнению	1	1
466	с которой	2	1
467	отношении к	1	1
468	и ему	1	1
469	и до	1	1
470	этого слова	1	1
471	счастья и	1	1
472	с того	1	1
473	мировой истории	1	1
474	что есть	2	1
475	выступает носителем	1	1
476	смерть и	1	1
477	которым он	1	1
478	тот сам	1	1
479	так как	2	1
480	это движение	1	1
481	я верю	1	1
482	мир в	1	1
483	и наказание	1	1
484	любой из	1	1
485	различие между	3	1
486	он выступает	1	1
487	о человеке	29	1
488	того как	1	1
489	в первый	1	1
490	уже в	2	1
491	по-другому в	1	1
492	всего мира	1	1
493	образ и	1	1
494	ее в	2	1
495	видеть в	1	1
496	и богаче	2	1
497	с их	1	1
498	и бесконечно	2	1
499	было для	2	1
500	и без	1	1
501	бессмертии души	1	1
502	говорят о	1	1
503	толстого как	1	1
504	и я	1	1
505	в новом	1	1
506	нисколько не	1	1
507	о бессмертии	4	1
508	с другом	1	1
509	действующие лица	1	1
510	свобода и	2	1
511	а те	1	1
512	он указывает	1	1
513	в потоке	1	1
514	том случае	1	1
515	бытия как	1	1
516	случае если	1	1
517	бы от	1	1
518	и остаются	1	1
519	глубину как	1	1
520	в судьбе	1	1
521	мыслей в	1	1
522	всего его	1	1
523	люди с	1	1
524	других писателей	1	1
525	оказывается что	1	1
526	у кого	2	1
527	на людей	1	1
528	с кем	1	1
529	все та	1	1
530	него и	4	1
531	человеческие отношения	1	1
532	и много	2	1
533	же можно	2	1
534	в голову	1	1
535	глаза что-то	1	1
536	все еще	2	1
537	интереса к	1	1
538	нуждается в	1	1
539	устремленного к	1	1
540	человек не	7	1
541	творчества это	1	1
542	растворяется в	1	1
543	само по	1	1
544	есть не	1	1
545	легенда о	2	1
