N	2gram	Tiupa_Narr	FransuaR
1	и в	19	367
2	то есть	19	209
3	в этом	17	112
4	и т.п	8	108
5	и не	20	101
6	таким образом	1	100
7	и его	5	99
8	в его	9	98
9	прежде всего	4	92
10	не только	32	87
11	мы уже	1	85
12	но и	23	84
13	как бы	4	82
14	все эти	2	79
15	вовсе не	1	77
16	как и	7	76
17	в нем	4	75
18	но в	6	75
19	и на	3	72
20	и др	2	72
21	в том	18	71
22	как мы	3	71
23	то же	4	66
24	и все	2	66
25	в них	1	65
26	в этой	5	65
27	так и	9	65
28	и с	4	64
29	в сущности	3	64
30	в то	3	63
31	во всех	1	62
32	же время	4	55
33	что в	3	52
34	в своем	2	51
35	только в	4	48
36	и до	2	46
37	том что	14	45
38	в году	1	44
39	то что	11	41
40	здесь в	1	41
41	у него	4	40
42	жизни и	3	40
43	в самом	1	38
44	точки зрения	10	37
45	в ней	3	37
46	с его	6	36
47	о том	6	35
48	может быть	25	35
49	сказать что	4	34
50	и даже	3	34
51	в себе	8	34
52	до нас	1	34
53	мы видели	1	32
54	в конце	1	32
55	он не	3	32
56	для него	2	32
57	в литературе	2	31
58	связаны с	1	31
59	нового времени	2	31
60	так же	2	30
61	но он	1	30
62	один из	3	30
63	потому что	1	30
64	и потому	2	30
65	никогда не	3	30
66	еще не	7	29
67	связи с	4	29
68	что он	6	29
69	не может	10	29
70	в особенности	4	29
71	при этом	9	29
72	его в	2	29
73	не в	14	29
74	и к	1	28
75	из них	3	28
76	также и	1	28
77	в той	6	28
78	в основе	5	28
79	здесь и	2	28
80	сих пор	1	27
81	до сих	1	27
82	том числе	6	27
83	все же	7	27
84	по своему	1	27
85	роль в	2	27
86	в эпизоде	3	27
87	на самом	1	25
88	в области	2	25
89	но это	1	25
90	мира и	2	25
91	он и	1	24
92	но не	6	24
93	например в	2	24
94	в ее	3	24
95	и у	1	24
96	и от	1	24
97	как в	7	24
98	времени и	7	24
99	в частности	14	24
100	отношение к	2	24
101	так сказать	1	23
102	своего рода	12	23
103	и здесь	1	23
104	с ним	1	23
105	и для	2	23
106	в их	1	23
107	к нему	5	23
108	это не	2	23
109	даже в	2	22
110	не было	2	22
111	а в	11	22
112	границы между	1	22
113	тем что	3	22
114	что и	1	22
115	поэтому и	1	22
116	и во	1	22
117	связь с	1	22
118	именно в	6	21
119	уже в	3	21
120	и как	5	21
121	есть в	2	21
122	в качестве	21	21
123	одним из	2	21
124	в себя	6	21
125	что это	3	21
126	ни в	3	21
127	и наконец	1	21
128	в виду	1	20
129	в связи	2	20
130	в значительной	2	20
131	одной из	4	20
132	этом отношении	3	20
133	с точки	2	20
134	как раз	2	20
135	а также	7	20
136	самом деле	2	20
137	их в	1	19
138	того же	1	19
139	было бы	4	19
140	с ее	3	19
141	с другой	8	19
142	на протяжении	6	19
143	хотя и	3	19
144	в форме	5	19
145	далеко не	5	19
146	существенную роль	1	18
147	на мир	1	18
148	со всеми	1	18
149	это и	3	18
150	здесь не	4	18
151	одна из	3	18
152	на этом	1	18
153	перед нами	4	18
154	в результате	2	17
155	можно было	2	17
156	на его	1	17
157	числе и	4	17
158	в плане	1	17
159	но все	4	17
160	меньшей степени	1	17
161	того что	2	17
162	а не	12	17
163	в другом	1	16
164	с одной	7	16
165	между ними	2	16
166	между тем	3	16
167	и одновременно	2	16
168	тот же	1	16
169	в начале	1	16
170	начала и	1	16
171	ничего не	2	16
172	они не	2	16
173	дело в	1	16
174	не подлежит	1	16
175	мысли и	1	15
176	характерно что	1	15
177	никто не	1	15
178	из этих	3	15
179	от всех	2	15
180	особенно в	3	15
181	и вообще	1	15
182	одно из	2	15
183	не мог	4	15
184	в самой	1	15
185	с начала	1	15
186	и прежде	1	15
187	в котором	1	14
188	в чем	1	14
189	и по	1	14
190	мы не	1	14
191	на них	1	14
192	здесь только	1	14
193	в данном	5	14
194	и он	3	14
195	несмотря на	2	14
196	слов и	1	14
197	по существу	2	14
198	и сам	1	13
199	что все	1	13
200	мира в	5	13
201	о чем	2	13
202	одной стороны	7	13
203	не знает	1	13
204	отличие от	5	13
205	в мире	9	13
206	и есть	2	13
207	в последующих	1	13
208	они и	2	13
209	не на	2	13
210	этого эпизода	3	13
211	или в	2	13
212	и эта	1	13
213	это было	1	13
214	в книге	1	13
215	более того	1	13
216	другой стороны	4	12
217	во всей	2	12
218	те же	4	12
219	и ее	2	12
220	та же	2	12
221	жизни в	3	12
222	начиная с	1	12
223	о нем	4	12
224	у нас	1	12
225	место в	1	12
226	этот момент	1	12
227	можно сказать	5	12
