N	2gram	Berdyaev_N	Istorich
1	и в	16	181
2	может быть	7	115
3	не только	5	114
4	что он	1	111
5	что в	9	90
6	но и	3	85
7	в этом	7	81
8	так как	1	75
9	то что	4	73
10	вместе с	2	71
11	и не	11	67
12	в этих	1	64
13	еще не	3	63
14	не может	16	61
15	так же	2	57
16	никогда не	6	56
17	в том	8	53
18	том что	2	53
19	а в	2	52
20	с другой	3	52
21	потому что	4	52
22	и что	2	51
23	а не	17	48
24	о том	4	48
25	не в	6	47
26	другой стороны	2	46
27	превращается в	1	45
28	и пр	3	44
29	мы должны	1	44
30	но в	2	44
31	это не	4	43
32	и его	1	43
33	в нем	5	42
34	только в	1	42
35	как в	3	42
36	тем что	1	38
37	и на	2	38
38	в его	1	38
39	как и	7	37
40	уже не	2	37
41	мы уже	1	37
42	он не	8	37
43	так и	2	37
44	с тем	3	35
45	мы не	2	35
46	все эти	2	35
47	не всегда	1	34
48	но не	2	34
49	у него	2	34
50	во время	1	34
51	же как	2	33
52	сих пор	1	32
53	прежде всего	4	31
54	то это	1	31
55	власть над	1	31
56	с этим	2	30
57	с одной	2	30
58	до сих	1	30
59	к нему	1	30
60	но все	1	29
61	одной стороны	2	29
62	но это	6	29
63	что она	2	28
64	и с	2	28
65	могут быть	2	27
66	в образе	1	27
67	как это	2	26
68	в ней	5	26
69	вопрос о	3	25
70	не менее	4	24
71	было бы	1	24
72	раньше чем	1	24
73	что мы	1	24
74	их в	1	23
75	и это	2	23
76	в этой	1	23
77	все это	5	23
78	с ним	1	22
79	связано с	1	21
80	сказать что	3	21
81	к тому	3	21
82	они не	1	21
83	из них	1	20
84	из этих	1	20
85	она не	3	20
86	наряду с	3	20
87	одна из	2	20
88	в силу	1	20
89	с собой	1	19
90	но он	1	19
91	есть и	1	19
92	все еще	1	19
93	в то	2	18
94	что этот	1	18
95	в них	4	17
96	нас к	1	17
97	по существу	2	17
98	и только	1	17
99	и она	1	16
100	во всех	3	16
101	возможно что	1	16
102	в котором	1	16
103	и все	4	16
104	связана с	2	16
105	в своей	3	15
106	как будто	2	15
107	и даже	2	15
108	он в	1	15
109	друг друга	1	15
110	на смену	1	14
111	можно было	2	14
112	у нас	1	14
113	должна быть	3	14
114	и есть	10	14
115	а также	1	14
116	него и	1	14
117	на себя	1	14
118	в своем	1	13
119	время как	2	13
120	по себе	1	13
121	то время	1	13
122	и для	4	13
123	в себе	2	13
124	все что	1	13
125	своего рода	1	13
126	установить что	1	13
127	и у	1	13
128	в нее	1	13
129	и от	2	13
130	не имеет	4	13
131	во всем	1	12
132	хотя бы	2	12
133	к себе	1	12
134	к ней	1	12
135	к этой	1	12
136	не знает	6	12
137	что не	1	12
138	в более	1	12
139	и их	1	12
140	в этот	1	11
141	к которому	1	11
142	я не	2	11
143	от этого	1	11
144	должны быть	1	11
145	уже в	1	11
146	на нее	1	11
147	хотя и	2	11
148	должно было	2	11
149	но оно	1	11
150	и более	1	11
151	этого не	1	11
152	такой же	2	11
153	человека в	1	11
154	и к	5	10
155	к ним	3	10
156	не было	4	10
157	в которой	1	10
158	вступает в	1	10
159	но если	1	10
160	ее на	1	10
161	он и	1	10
162	связаны с	2	10
163	их не	1	10
164	в это	1	10
165	себя в	2	10
166	в состоянии	1	10
167	в ее	3	10
168	ни в	6	10
169	ли он	1	10
170	только одна	1	10
171	он может	1	10
172	а на	1	10
173	есть только	1	10
174	и вместе	1	9
175	том чтобы	2	9
176	но для	2	9
177	в чем	1	9
178	не будет	7	9
179	совершенно так	1	9
180	социальной жизни	1	9
181	зависимости от	1	9
182	это и	2	9
183	в свою	1	9
184	зависит от	2	9
185	а по	1	9
186	иного мира	1	9
187	вот почему	2	9
188	когда она	1	9
189	не могут	1	9
190	в основе	3	9
191	в истории	3	9
192	с его	6	9
193	приводит к	1	9
194	жизни и	8	9
