N	4gram	Losev_Prob	Russkaja
1	во что бы то	2	3
2	в том случае если	1	3
3	что бы то ни	2	3
4	бы то ни стало	2	3
5	и в другом случае	1	2
6	в том и в	1	2
7	только в том случае	2	2
8	и в том и	1	2
9	том и в другом	1	2
10	и на то что	1	1
11	точно так же и	3	1
12	можно сказать только то	1	1
13	можно было говорить о	2	1
14	дело в том что	3	1
15	указывает на то что	3	1
16	и в этом случае	3	1
17	и с точки зрения	1	1
18	в том случае когда	1	1
19	заключается в том что	2	1
20	сводится к тому что	1	1
21	но в то же	1	1
22	сказать только то что	1	1
23	которых мы говорили выше	1	1
24	во всех этих случаях	1	1
25	в том числе и	2	1
26	говорить о том что	1	1
27	котором мы говорили в	1	1
28	даже и в этом	2	1
29	близких друг к другу	1	1
30	несмотря на то что	1	1
31	одного и того же	2	1
32	о котором мы говорили	1	1
33	о которых мы говорили	1	1
34	во всяком случае не	1	1
35	всяком случае не будет	1	1
36	до сих пор мы	3	1
37	отражением того или иного	1	1
38	и не может быть	1	1
39	также и то что	2	1
40	хотя в то же	1	1
