N	4gram	Vinokur_St	Problema
1	ни в каком случае	1	12
2	в то время как	1	12
3	в той или иной	1	10
4	дело в том что	7	10
5	также и то что	1	9
6	в каком случае не	1	9
7	и т д и	2	9
8	не имеет ничего общего	2	9
9	т д и т	1	8
10	не говоря уже о	2	7
11	д и т д	1	7
12	заключается в том что	3	6
13	и в этом случае	2	6
14	бы то ни было	1	6
15	свидетельствует о том что	1	5
16	имеет ничего общего с	2	5
17	в том смысле что	2	5
18	может быть даже и	1	5
19	во что бы то	1	4
20	одним и тем же	2	4
21	что бы то ни	1	4
22	одно и то же	1	4
23	во всяком случае не	2	4
24	точно так же и	1	4
25	в том числе и	2	4
26	а может быть даже	1	4
27	бы то ни стало	1	4
28	так же как и	1	4
29	и в то же	1	3
30	и вместе с тем	1	3
31	это не значит что	3	3
32	в том что он	3	3
33	но в то же	2	3
34	говорить о том что	1	3
35	каких бы то ни	1	2
36	в том что и	1	2
37	в том что в	3	2
38	при таком положении дела	2	2
39	о том что он	3	2
40	уже о том что	2	2
41	вовсе не так уж	1	2
42	нечего и говорить о	1	2
43	только в том случае	1	2
44	можно даже сказать что	1	2
45	не может быть никакого	1	2
46	мысль о том что	1	2
47	и о том что	1	2
48	говоря уже о том	1	2
49	так или иначе но	1	2
50	в то или иное	1	2
51	внимание на то что	1	2
52	только в том что	1	2
53	не только в том	1	2
54	если принять во внимание	1	2
55	мы до сих пор	1	2
56	но с другой стороны	2	2
57	и говорить о том	1	2
58	на эту тему в	2	1
59	можно судить по тому	1	1
60	ничего общего с этими	1	1
61	не подчеркнуть что в	1	1
62	с нашей точки зрения	1	1
63	до сих пор и	1	1
64	еще очень и очень	1	1
65	что то что было	1	1
66	то что в этой	1	1
67	том смысле как мы	1	1
68	же мере в какой	1	1
69	сих пор и в	1	1
70	и в данном случае	1	1
71	в том смысле как	1	1
72	и т д в	1	1
73	для того чтобы не	1	1
74	в то же время	5	1
75	о том что от	1	1
76	не может не быть	1	1
77	указание на то что	1	1
78	но это не значит	1	1
79	достаточно привести хотя бы	1	1
80	и в самом деле	2	1
81	с другой же стороны	1	1
82	по этому поводу с	1	1
83	чем можно было бы	1	1
84	он с самого начала	1	1
85	в нем может быть	1	1
86	с самого же начала	1	1
87	вопрос о том что	1	1
88	может быть и очень	1	1
89	уверен в том что	1	1
90	с другой стороны и	1	1
91	которой можно было бы	1	1
92	тем не менее и	1	1
93	ответ на этот вопрос	1	1
94	до сих пор не	1	1
95	достаточно для того чтобы	3	1
96	и на этот раз	1	1
97	в настоящее время можно	1	1
98	мы на самом деле	1	1
99	в своей трагедии не	1	1
100	собой разумеется что в	1	1
101	о том что в	1	1
102	но даже и в	1	1
103	но сами по себе	1	1
104	и т д конечно	1	1
105	на то что в	2	1
106	не может быть и	1	1
107	с точки зрения их	2	1
108	и в том и	1	1
109	потому что ведь и	1	1
110	ни для кого не	1	1
111	за то что тот	1	1
112	а на самом деле	1	1
113	здесь дело не в	1	1
114	настаивали на том что	1	1
115	может быть и речи	1	1
116	несомненно и то что	1	1
117	кажется достаточно для того	1	1
118	в том что этот	1	1
119	пишет по этому поводу	1	1
120	ни малейшего намека на	1	1
121	и т д во	1	1
122	той и другой стороны	1	1
123	и то обстоятельство что	1	1
124	и в этом отношении	1	1
125	мы имеем дело с	1	1
126	что же это за	1	1
127	само собой разумеется что	1	1
128	так и в отношении	1	1
