N	4gram	Trubetskoy	Psycholo
1	заключается в том что	1	23
2	указывает на то что	1	11
3	в том случае если	3	7
4	только в том случае	2	6
5	сводится к тому что	1	5
6	одного и того же	1	4
7	точно так же как	1	4
8	в то же время	10	3
9	и вместе с тем	2	3
10	несмотря на то что	1	3
11	и то и другое	1	3
12	друг с другом и	2	3
13	о которых мы говорили	1	3
14	в том виде как	1	3
15	дело в том что	1	3
16	состоит в том чтобы	1	3
17	что с точки зрения	1	2
18	что ни одна из	1	2
19	было бы показать что	1	2
20	которых мы говорили выше	1	2
21	о котором мы говорили	1	2
22	точно так же и	1	2
23	и не может быть	1	2
24	можно было бы показать	1	2
25	бы то ни было	1	2
26	только для того чтобы	1	2
27	и с точки зрения	1	1
28	точка зрения приводит к	1	1
29	уже указали на то	1	1
30	во что бы то	3	1
31	можно ли представить себе	1	1
32	мы уже знаем что	1	1
33	речь идет не об	1	1
34	нечего и говорить что	1	1
35	по самому своему существу	1	1
36	в основе его лежит	1	1
37	в каждый данный момент	1	1
38	речи быть не может	1	1
39	и более или менее	1	1
40	в том случае когда	1	1
41	в том что для	1	1
42	не может согласиться с	1	1
43	что и то и	1	1
44	что бы то ни	3	1
45	в своих отношениях к	1	1
46	то это потому что	2	1
47	то совершенно ясно что	1	1
48	в совершенно ином виде	1	1
49	даже тогда когда они	1	1
50	в самом деле для	1	1
51	ни к чему не	1	1
52	на то что эта	1	1
53	и во всяком другом	1	1
54	это то же самое	1	1
55	в том числе и	1	1
56	эта точка зрения приводит	1	1
57	указали на то что	1	1
58	свидетельствуют о том что	1	1
59	уверены в том что	1	1
60	на то что для	1	1
61	в данном случае и	1	1
62	на себя как на	2	1
63	все до сих пор	1	1
64	таким образом оказывается что	1	1
65	с точки зрения житейской	1	1
66	одну и ту же	1	1
67	бы то ни стало	3	1
68	с точки зрения этой	2	1
69	само собой разумеется что	1	1
