N	2gram	Medvedev_U	Retstnzi
1	не может	7	4
2	и в	14	3
3	достоевского и	1	2
4	метода он	1	1
5	может быть	6	1
6	и истории	1	1
7	не только	10	1
8	для него	3	1
9	в ней	1	1
10	формального метода	9	1
11	если бы	2	1
12	художественного произведения	2	1
13	литературного произведения	1	1
14	в его	2	1
15	поэтики и	1	1
16	но и	4	1
17	как искусство	1	1
18	в то	3	1
19	он в	1	1
20	же время	3	1
21	то же	5	1
22	а не	10	1
23	бы в	1	1
24	нет и	1	1
25	искусство как	1	1
26	в системе	2	1
27	и не	8	1
28	о литературе	1	1
29	и все	1	1
30	в противоположную	1	1
