N	4gram	Voloshinov	Freidism
1	в то же время	1	6
2	ни в чем не	1	4
3	на протяжении всей жизни	1	4
4	не может быть и	2	4
5	один и тот же	1	3
6	но в то же	1	3
7	внутренней и внешней речи	1	3
8	и не может быть	1	3
9	в зависимости от того	1	2
10	бы то ни было	3	2
11	ни в какой степени	1	2
12	на самом же деле	1	2
13	но тем не менее	2	1
14	в такой же степени	1	1
15	если мы обратимся к	1	1
16	ни в коем случае	1	1
17	уже не может быть	1	1
18	не может быть понято	1	1
19	как мы уже сказали	1	1
20	переводе с греческого значит	1	1
21	и по отношению к	3	1
22	мы имеем в виду	1	1
23	каких бы то ни	1	1
24	одно и то же	2	1
25	должна быть понята и	1	1
26	дело в том что	4	1
27	социальной группы к которой	1	1
28	как уже сказано в	1	1
29	в том что в	1	1
30	до сих пор не	1	1
31	обстоит дело и с	1	1
32	говорит о том что	1	1
33	в какой степени не	1	1
34	той социальной группы к	1	1
