N	2gram	Propp_Morf	Poddanst
1	не только	8	17
2	и в	17	14
3	и не	16	12
4	в области	1	11
5	в этом	18	10
6	в том	10	9
7	то же	10	9
8	в качестве	8	9
9	но в	4	9
10	хотя бы	5	8
11	в пределах	3	8
12	только в	3	7
13	же время	1	7
14	в то	4	7
15	было бы	5	6
16	но и	9	6
17	и пр	45	5
18	может быть	61	5
19	с другой	9	5
20	не в	3	5
21	в которых	2	5
22	а н	1	5
23	в русской	1	4
24	и к	4	4
25	что в	10	4
26	в котором	1	4
27	мы должны	3	4
28	в с	1	4
29	на пути	4	4
30	не может	19	4
31	а в	8	4
32	то что	10	4
33	как бы	6	4
34	если бы	3	4
35	а также	7	4
36	же в	3	4
37	том что	7	4
38	наряду с	7	3
39	в себе	1	3
40	что мы	2	3
41	с одной	2	3
42	мы не	8	3
43	это не	6	3
44	одной стороны	2	3
45	для того	3	3
46	между тем	5	3
47	с точки	6	3
48	хотя и	5	3
49	т е	25	3
50	с тем	2	3
51	потому что	7	3
52	она есть	1	3
53	прежде всего	14	3
54	вслед за	5	3
55	в россии	2	3
56	но не	8	3
57	могут быть	21	3
58	и т	62	3
59	и как	6	3
60	с ними	1	3
61	д а	2	3
62	тот же	1	3
63	точки зрения	7	3
64	с этим	14	2
65	во всех	6	2
66	к началу	4	2
67	является в	2	2
68	и это	1	2
69	если в	7	2
70	более чем	1	2
71	о наследстве	1	2
72	и вот	1	2
73	не будем	5	2
74	и дети	1	2
75	по-видимому не	1	2
76	каждый в	1	2
77	для тех	1	2
78	в ее	1	2
79	и тем	3	2
80	того что	3	2
81	как раз	1	2
82	в частности	2	2
83	в его	1	2
84	а не	11	2
85	для нас	2	2
86	все это	2	2
87	говорить о	4	2
88	в тот	1	2
89	может и	1	2
90	и есть	3	2
91	в виде	3	2
92	в них	1	2
93	здесь нужно	1	2
94	знать что	2	2
95	к чему	3	2
96	и с	1	2
97	из важнейших	1	2
98	в начале	3	2
99	может ли	1	2
100	как на	1	2
101	мысль о	1	2
102	которое в	1	2
103	нужно помнить	1	2
104	главным образом	5	2
105	именно в	1	2
106	должно быть	1	2
107	отношения к	1	2
108	и г	1	2
109	друг другу	1	2
110	во всей	1	2
111	есть нечто	3	2
112	помнить что	1	2
113	в силу	1	2
114	одна из	5	2
115	между прочим	1	2
116	в мире	1	2
117	например в	2	2
118	не менее	7	2
119	в ряду	1	2
120	в выборе	1	2
121	не столько	1	2
122	думать что	1	2
123	л а	1	2
