N	3gram	Bakhtin_fo	TeoriaLi
1	в том что	4	10
2	по отношению к	3	10
3	в то же	10	8
4	то же время	13	8
5	в отличие от	3	7
6	с другой стороны	1	6
7	не может быть	4	5
8	для того чтобы	11	5
9	в данном случае	2	5
10	одного и того	6	4
11	и того же	6	4
12	в свою очередь	1	3
13	той или иной	3	3
14	ни в мире	1	3
15	с точки зрения	9	3
16	имеем в виду	3	3
17	в том числе	7	3
18	можно сказать что	1	3
19	по своей природе	1	3
20	мы имеем в	2	3
21	в связи с	12	3
22	значении этого слова	1	3
23	с одной стороны	3	3
24	тот или иной	1	3
25	в нашем случае	1	2
26	но он не	2	2
27	так и его	1	2
28	до известной степени	1	2
29	в данный момент	1	2
30	этой точки зрения	1	2
31	и в самом	1	2
32	с этой точки	1	2
33	как и в	3	2
34	в самом деле	1	2
35	не могло быть	3	2
36	в самом начале	1	2
37	и то же	4	2
38	включает в себя	1	2
39	одно и то	4	2
40	но в то	2	2
41	том числе и	4	2
42	в этом мире	7	2
43	и в то	7	2
44	в соответствии с	2	2
45	что в основе	1	2
46	не могут быть	1	2
47	сама по себе	1	2
48	и не могло	1	2
49	к тому что	1	2
50	в значительной степени	1	2
51	может быть и	4	2
52	жизни то есть	2	1
53	это имеет место	1	1
54	никогда не бывает	1	1
55	в той или	2	1
56	в осмысленном и	1	1
57	века и в	1	1
58	то есть для	1	1
59	в одном и	1	1
60	раз в том	1	1
61	все то что	2	1
62	то есть в	2	1
63	и т.д эта	1	1
64	слияние пространственных и	1	1
65	точки зрения не	3	1
66	и др в	2	1
67	и для него	1	1
68	человека с самим	1	1
69	и том же	1	1
70	человека и его	8	1
71	и прежде всего	4	1
72	между вещами и	3	1
73	больше и больше	1	1
74	осмысленном и конкретном	1	1
75	на каждом из	1	1
76	форма в которой	1	1
77	уст в уста	1	1
78	между собой в	1	1
79	в большинстве случаев	2	1
80	мы видим в	1	1
81	и для других	1	1
82	и временных примет	1	1
83	было и не	1	1
84	но дело в	1	1
85	и со всеми	1	1
86	в себя и	2	1
87	чего еще нет	1	1
88	нашем случае в	1	1
89	хронотопе имеет место	1	1
90	о том что	2	1
91	на второй план	1	1
92	мы говорим о	1	1
93	определенного смысла и	1	1
94	героев и их	1	1
95	в себе и	1	1
96	точки зрения в	1	1
97	то есть как	1	1
98	себя только в	1	1
99	в себе самом	1	1
100	с самим собою	4	1
101	здесь как бы	1	1
102	о чем подробно	1	1
103	и в пространстве	1	1
104	связи с этим	4	1
105	друг от друга	2	1
106	что он должен	1	1
107	друг другу и	1	1
108	и как бы	2	1
109	в основе его	1	1
110	одной стороны и	2	1
111	как такового не	1	1
112	во времени и	1	1
113	со всех сторон	2	1
114	числе и для	1	1
115	его в иной	1	1
116	дело в том	2	1
117	в особенности в	2	1
118	и в частности	2	1
119	место в событии	1	1
120	временных примет в	1	1
121	в то время	3	1
122	самим собою в	1	1
123	прежде всего к	1	1
124	он ни был	2	1
125	как раз в	4	1
126	место слияние пространственных	1	1
127	в зависимости от	1	1
128	в том специфическом	1	1
129	автора и читателей	1	1
130	так же как	2	1
131	человека и общества	1	1
132	примет в осмысленном	1	1
133	том специфическом значении	1	1
134	имеет место слияние	1	1
135	не было и	2	1
136	в этом случае	1	1
137	события частной жизни	1	1
138	пространственных и временных	3	1
139	к тому же	2	1
140	не только на	1	1
141	же время оно	1	1
142	том что в	1	1
143	в данном отношении	1	1
144	по существу является	1	1
145	быть осуществлено только	1	1
146	в своей жизни	1	1
147	каждой из них	1	1
148	в новое время	1	1
149	ни к какой	1	1
150	то же самое	1	1
151	не входит в	1	1
152	и в сущности	3	1
153	в это утро	1	1
154	каждая из этих	1	1
155	та или иная	1	1
156	к вопросу о	2	1
157	из уст в	1	1
158	и конкретном целом	1	1
159	одном и том	1	1
160	таким образом и	2	1
161	иной раз и	1	1
162	все без исключения	1	1
163	в виду что	2	1
164	внешних и внутренних	1	1
165	в частности с	2	1
