N	2gram	Trubetskoy	VLabPisa
1	таким образом	34	32
2	в этом	13	29
3	не только	10	26
4	и в	24	26
5	может быть	17	23
6	и не	9	20
7	хотя бы	4	20
8	не может	18	17
9	в процессе	2	17
10	в его	5	15
11	в том	31	15
12	в силу	7	14
13	все это	13	13
14	прежде всего	3	13
15	в качестве	1	12
16	в частности	2	12
17	что в	9	11
18	представляет собою	2	11
19	с другой	6	11
20	из них	5	11
21	то же	4	10
22	не могут	4	10
23	о том	7	10
24	но и	11	10
25	по этому	2	10
26	для него	2	9
27	к этому	5	9
28	могут быть	1	8
29	другой стороны	5	8
30	только в	6	8
31	на основании	1	8
32	все эти	19	8
33	вместе с	7	8
34	том что	20	8
35	ни один	4	8
36	было бы	3	8
37	не следует	2	8
38	в своем	12	8
39	это не	3	7
40	не было	2	7
41	по отношению	11	7
42	очевидно что	3	7
43	тому что	2	7
44	как и	10	7
45	их в	2	7
46	во всех	10	7
47	а не	1	7
48	этому поводу	1	7
49	то что	18	7
50	произведения в	1	7
51	художественное произведение	1	7
52	главным образом	1	7
53	отношению к	11	7
54	в нем	3	7
55	из этих	8	7
56	один из	1	6
57	у него	5	6
58	более или	8	6
59	все же	15	6
60	приводит к	1	6
61	идеи и	1	6
62	это и	1	6
63	не в	9	6
64	между тем	12	6
65	так и	10	6
66	в себе	5	6
67	или менее	8	6
68	в зависимости	1	6
69	том же	4	6
70	и его	2	6
71	в то	6	6
72	даже в	3	5
73	в результате	9	5
74	в их	4	5
75	в них	2	5
76	связи с	4	5
77	одним из	4	5
78	зависимости от	2	5
79	к тому	8	5
80	перед нами	1	5
81	не является	1	5
82	и при	6	5
83	же время	2	5
84	как бы	10	5
85	в целом	5	5
86	сказать что	1	5
87	показывают что	2	5
88	никогда не	4	5
89	подобных им	1	4
90	в самом	8	4
91	ее в	1	4
92	только что	3	4
93	в ее	1	4
94	что для	4	4
95	в этой	7	4
96	что все	5	4
97	что он	7	4
98	в виду	2	4
99	по существу	7	4
100	приведенных выше	1	4
101	с тем	4	4
102	с ними	2	4
103	в своей	1	4
104	роль в	1	4
105	должен быть	2	4
106	с его	1	4
107	в связи	3	4
108	в нашей	1	4
109	в сознании	7	4
110	из его	1	4
111	одна из	2	4
112	и подобных	1	4
113	отнюдь не	2	4
114	и ее	2	4
115	и к	5	3
116	что они	2	3
117	видели что	1	3
118	данного произведения	1	3
119	что оно	3	3
120	что у	2	3
121	этой области	4	3
122	этот процесс	2	3
123	мы знаем	10	3
124	естественно что	1	3
125	того что	7	3
126	никак не	1	3
127	но как	2	3
128	него в	2	3
129	со своим	1	3
130	что и	7	3
131	у нас	3	3
132	сводится к	2	3
133	его в	5	3
134	если бы	8	3
135	из приведенных	1	3
136	сил и	2	3
137	именно в	5	3
138	в конце	4	3
139	или иная	1	3
140	например в	1	3
141	между ними	2	3
142	и как	1	3
143	и художественное	1	3
144	же и	1	3
145	в которых	2	3
146	вовсе не	2	3
147	бы в	3	3
148	с этим	12	3
149	а в	3	3
150	некоторые из	1	3
151	как о	1	3
152	в котором	2	3
153	из элементов	7	3
154	даже и	1	3
155	она не	2	3
156	в значительной	1	3
157	но даже	3	3
158	того чтобы	8	3
159	для того	8	3
160	и их	5	3
161	всех других	2	3
162	далеко не	5	3
