N	4gram	Ircho_Kome	Istorich
1	в то время как	6	13
2	не что иное как	1	11
3	в тех случаях когда	1	10
4	так же как и	1	9
5	и т д все	1	6
6	с этой точки зрения	1	6
7	состоит в том что	1	4
8	и здесь нет необходимости	1	3
9	в том что они	1	3
10	до сих пор не	1	3
11	только в связи с	1	3
12	бы то ни было	4	3
13	в том что он	4	2
14	в соответствии с этим	1	2
15	с другой стороны в	1	2
16	между небом и землей	2	2
17	с другой стороны он	1	2
18	в том числе и	1	2
19	состоял в том что	1	2
20	мы и здесь найдем	1	1
21	и целые страны в	1	1
22	в том что в	1	1
23	в связи с этим	1	1
24	остается предположить что они	1	1
25	как мы уже знаем	1	1
26	от начала до конца	1	1
27	мы ничего не знаем	1	1
28	тем не менее это	1	1
29	а в другом случае	1	1
30	во всяком случае в	1	1
31	а может быть даже	1	1
32	и каждый из них	1	1
33	как бы то ни	1	1
34	ясно во всяком случае	1	1
35	так и более поздние	1	1
36	одна и та же	1	1
37	не говоря уже о	4	1
38	населения и прежде всего	1	1
39	о чем говорилось выше	1	1
40	мы имеем дело с	1	1
41	одна из них не	1	1
42	что у него в	1	1
43	и в том числе	1	1
44	о которых идет речь	1	1
45	в то же время	5	1
