N	3gram	Bakhtin_Pr	EvropaiC
1	в том что	10	16
2	до сих пор	3	15
3	по отношению к	17	11
4	друг с другом	4	9
5	с точки зрения	21	8
6	более или менее	1	8
7	для того чтобы	3	7
8	на самом деле	4	7
9	друг от друга	2	6
10	по сравнению с	2	5
11	в самом деле	5	5
12	не может быть	8	4
13	о том что	5	4
14	тем не менее	1	4
15	совершенно так же	2	4
16	с другой стороны	3	4
17	в конце концов	7	4
18	в этом случае	1	4
19	может быть и	1	4
20	заключается в том	2	3
21	в целом ряде	2	3
22	таким образом в	2	3
23	все же не	1	3
24	одного и того	1	3
25	так же как	4	3
26	то ни было	2	3
27	в данном случае	3	3
28	и то что	1	3
29	и того же	1	3
30	бы то ни	3	3
31	не может служить	1	2
32	в том и	2	2
33	том что все	2	2
34	во всяком случае	3	2
35	во всех этих	1	2
36	двух или нескольких	2	2
37	что же касается	1	2
38	он не может	2	2
39	а следовательно и	1	2
40	в то время	3	2
41	в то же	10	2
42	именно потому что	3	2
43	ничего общего с	1	2
44	совершенно иной чем	1	2
45	том что он	4	2
46	в высшей степени	2	2
47	но все же	3	2
48	только то что	2	2
49	то же время	10	2
50	он все же	1	2
51	и в том	2	2
52	друг к другу	4	2
53	а рядом с	1	1
54	другими людьми и	1	1
55	может показаться что	1	1
56	мы говорили в	1	1
57	а может быть	2	1
58	таким образом мы	1	1
59	друг друга и	2	1
60	как разные этапы	1	1
61	все то что	3	1
62	то есть в	10	1
63	теснейшей связи с	1	1
64	о котором мы	1	1
65	на одном уровне	1	1
66	мы видим что	2	1
67	та или иная	1	1
68	на задний план	1	1
69	таким образом все	2	1
70	по крайней мере	3	1
71	на свои составные	1	1
72	и в дальнейшем	1	1
73	это не так	1	1
74	между ними нет	1	1
75	их взаимоотношения в	1	1
76	этой точки зрения	3	1
77	в себе и	1	1
78	с этой точки	1	1
79	точно так же	1	1
80	и в нем	1	1
81	в том числе	1	1
82	не отличается от	1	1
83	что для меня	1	1
84	и той же	1	1
85	то что для	1	1
86	они не могут	1	1
87	что в данном	1	1
88	в особом положении	1	1
89	том и другом	2	1
90	не в том	1	1
91	но для того	1	1
92	только с точки	1	1
93	но и с	1	1
94	тем более что	2	1
95	за ним и	1	1
96	ко всем этим	1	1
97	независимо от того	1	1
98	что у него	1	1
99	но даже в	1	1
100	зависимости от них	1	1
101	хотя и не	1	1
102	в его сознании	2	1
103	у него в	1	1
104	именно в этой	1	1
105	я не могу	1	1
106	что он сам	2	1
107	с одной и	1	1
108	ни одна из	1	1
109	того что в	1	1
110	каждый из них	1	1
111	в теснейшей связи	1	1
112	дело в том	1	1
113	смысле этого слова	2	1
114	свои силы над	1	1
115	видит и понимает	1	1
116	не тем что	1	1
117	что все эти	1	1
118	в лучшем случае	3	1
119	и в целом	2	1
120	как мы видели	3	1
121	в зависимости от	5	1
122	между тем как	4	1
123	как мы сказали	2	1
124	но все они	1	1
125	в то что	2	1
126	одной и той	1	1
127	том числе и	1	1
128	можно было бы	4	1
129	в один из	1	1
130	целом ряде других	2	1
131	или лучше сказать	1	1
132	так и к	1	1
133	а потому и	2	1
134	и это не	3	1
135	как бы он	1	1
136	как бы ни	1	1
137	а потому что	1	1
138	что они не	1	1
139	а в том	1	1
140	с самого начала	3	1
141	они вовсе не	1	1
142	не только не	1	1
143	но именно в	1	1
144	может быть изображена	1	1
145	точки зрения на	2	1
146	у каждого своя	1	1
147	том что так	1	1
148	на первый взгляд	1	1
149	то же самое	1	1
150	деле это не	1	1
151	по этому вопросу	1	1
152	к тому что	1	1
153	из многочисленных разговоров	1	1
154	не только с	1	1
155	друг в друге	3	1
156	при помощи этой	1	1
157	мы уже говорили	2	1
158	во всем этом	1	1
159	что входит в	2	1
160	таким образом и	1	1
161	является одним из	2	1
162	сих пор еще	1	1
163	то время как	2	1
164	теперь мы должны	1	1
165	нет и не	1	1
166	были бы в	1	1
167	и не может	3	1
168	но с другой	2	1
169	между собою в	1	1
170	именно в том	2	1
171	они вступают в	1	1
