N	2gram	Losev_Vesc	NovoeSre
1	а не	34	17
2	не может	44	16
3	и в	44	16
4	во имя	3	15
5	совсем не	2	12
6	и не	57	11
7	и есть	40	10
8	что в	11	9
9	истории и	2	9
10	в том	15	8
11	как не	2	8
12	жизни и	6	8
13	он не	4	8
14	в этом	17	7
15	может быть	37	7
16	не будет	13	7
17	это есть	8	7
18	культуры и	1	7
19	как и	15	7
20	ни в	11	6
21	не в	14	6
22	лишь в	1	6
23	с его	2	6
24	но это	14	6
25	никогда не	5	6
26	и к	1	5
27	не только	48	5
28	в ней	14	5
29	все это	7	5
30	в жизни	5	5
31	в нем	6	5
32	с ее	10	5
33	должен быть	5	5
34	перестает быть	3	4
35	и потому	8	4
36	и мы	5	4
37	быть может	3	4
38	должно быть	8	4
39	потому что	25	4
40	это не	9	4
41	прежде всего	17	4
42	в них	1	4
43	то что	47	4
44	не было	4	4
45	новое время	1	4
46	есть лишь	2	4
47	и все	6	4
48	государства и	1	4
49	не менее	11	4
50	не имеет	2	4
51	значит что	32	4
52	и для	13	4
53	о том	11	4
54	верить в	1	3
55	во всех	5	3
56	вопрос о	6	3
57	в наше	1	3
58	и пр	10	3
59	и быстро	1	3
60	должна быть	8	3
61	она не	9	3
62	тому как	5	3
63	в ее	8	3
64	что такое	20	3
65	к реальному	2	3
66	стремится к	1	3
67	конечно не	2	3
68	подобно тому	5	3
69	в истории	3	3
70	не существует	4	3
71	в новое	1	3
72	в духе	1	3
73	с другой	8	3
74	в основе	4	3
75	в россии	2	3
76	бога и	1	3
77	сказать что	21	3
78	наряду с	2	3
79	духа и	1	3
80	с тем	8	3
81	не значит	11	3
82	не есть	79	3
83	в своей	6	3
84	как в	3	3
85	жизни в	3	3
86	но и	19	3
87	это было	2	3
88	к ее	3	3
89	жизни не	1	3
90	к тому	3	3
91	человека и	3	3
92	еще не	12	3
93	от всякого	4	2
94	с этим	4	2
95	к подлинному	1	2
96	более не	1	2
97	и большая	1	2
98	и от	4	2
99	еще до	1	2
100	и весь	1	2
101	это и	12	2
102	ни к	3	2
103	стремиться к	1	2
104	будет действовать	1	2
105	я уже	2	2
106	силы и	2	2
107	и что	22	2
108	не могли	1	2
109	что она	23	2
110	ли это	9	2
111	не имеют	1	2
112	зависит от	1	2
113	и заключается	1	2
114	с одной	3	2
115	хотя бы	9	2
116	мы не	8	2
117	нем нет	2	2
118	будет уже	3	2
119	того чтобы	4	2
120	вот почему	3	2
121	они считают	1	2
122	хотя и	5	2
123	так и	4	2
124	как это	4	2
125	я называю	4	2
126	если нет	1	2
127	но она	3	2
128	сама жизнь	1	2
129	думать что	1	2
130	одной стороны	3	2
131	не могла	1	2
132	можно было	6	2
133	другой стороны	3	2
134	времени и	1	2
135	с их	1	2
136	этом смысле	2	2
137	у него	3	2
138	все категории	1	2
139	к самой	1	2
140	а в	6	2
141	все время	1	2
142	когда мы	6	2
143	и даже	12	2
144	и формы	2	2
145	и с	11	2
146	мы говорим	6	2
147	связана с	1	2
148	по существу	3	2
149	жизни как	1	2
150	для этого	5	2
151	нет и	4	2
152	равно как	4	2
153	могут быть	1	2
154	и культуры	1	2
155	в себе	23	2
156	том чтобы	2	2
157	и на	2	2
158	быть в	1	2
159	уже не	15	2
160	я не	7	2
161	что все	2	2
162	время как	4	2
163	глубины и	1	2
164	помнить что	1	2
165	духа в	1	2
166	все эти	5	2
167	есть в	4	2
168	же как	3	2
169	вместе с	4	2
170	но я	2	2
171	одна из	6	2
172	как будто	2	2
173	в природе	1	2
174	должно стать	1	2
175	но не	9	2
176	в то	11	2
177	должно было	1	2
178	том что	13	2
179	ведь и	6	2
180	бытия в	2	2
181	мир и	1	2
182	так же	4	2
183	и это	17	2
184	можно назвать	1	2
185	в смысле	22	2
186	но для	2	2
187	в одну	2	2
188	себя в	11	2
189	но в	8	2
190	мысли и	5	2
191	может уже	1	2
192	формы и	1	2
193	не к	3	2
194	в той	6	1
195	вопрос об	2	1
196	зачем же	2	1
197	всех своих	1	1
198	она сама	5	1
199	солнечного дня	1	1
200	необходимой для	1	1
201	в самом	13	1
202	ближе к	2	1
203	во всем	2	1
204	к одному	3	1
205	нет ничего	2	1
206	было так	1	1
207	ее на	2	1
208	и того	2	1
209	от нее	2	1
210	но тут	2	1
211	философии и	1	1
212	но можно	3	1
213	на западе	1	1
214	можно сказать	8	1
215	то он	2	1
216	все что	3	1
217	человека в	1	1
218	социальной жизни	1	1
219	то они	1	1
220	это одна	1	1
221	эпохи не	1	1
222	во все	1	1
223	но оно	3	1
224	для всех	1	1
225	не терпит	2	1
226	и быть	2	1
227	в более	2	1
228	это конечно	1	1
229	до сих	1	1
230	существования и	4	1
231	бы к	2	1
232	как ни	1	1
233	и более	4	1
234	не верят	1	1
235	бы он	1	1
236	и этот	2	1
237	он требует	1	1
238	устарели и	1	1
239	в котором	4	1
240	по природе	2	1
241	по преимуществу	2	1
242	и мира	2	1
243	значение в	1	1
244	и всех	1	1
245	реально не	1	1
246	мы переходим	1	1
247	есть признак	1	1
248	то это	5	1
249	ничем не	4	1
250	как другие	1	1
251	что этот	1	1
252	отличие от	1	1
253	от жизни	1	1
254	все ее	1	1
255	нет ни	1	1
256	же и	2	1
257	сам себя	4	1
258	нельзя сказать	3	1
259	они не	1	1
260	из них	7	1
261	к ней	4	1
262	она должна	4	1
263	все еще	3	1
264	на нем	1	1
265	котором и	1	1
266	к природе	2	1
267	также что	1	1
268	свидетельствует о	3	1
269	мы уже	3	1
270	нас и	1	1
271	жизни а	1	1
272	которая в	1	1
273	переходит в	4	1
274	своей природе	1	1
275	уже давно	1	1
276	истории когда	1	1
277	основная проблема	1	1
278	говорим что	3	1
279	не могу	1	1
280	уже в	2	1
281	на ее	3	1
282	может идти	2	1
283	ней нужно	1	1
284	к себе	4	1
285	в свою	5	1
286	есть прежде	4	1
287	в состоянии	2	1
288	для себя	6	1
289	из этих	1	1
290	во всяком	4	1
291	не хочу	1	1
292	весь смысл	1	1
