N	3gram	Bakhtin_KF	Myslijsy
1	в том что	2	47
2	по отношению к	22	26
3	не может быть	11	19
4	тем не менее	2	18
5	только тогда когда	1	17
6	само по себе	1	14
7	в свою очередь	1	14
8	не в том	1	13
9	то же время	2	13
10	в том смысле	1	13
11	в то же	2	13
12	смысле этого слова	1	12
13	и в этом	3	12
14	до сих пор	1	12
15	только в том	1	12
16	во всяком случае	1	12
17	для того чтобы	1	11
18	то что я	2	10
19	потому что в	1	9
20	одного и того	1	9
21	и того же	1	9
22	на то что	1	9
23	мы не можем	1	9
24	что и в	1	9
25	вместе с тем	1	8
26	на самом деле	3	8
27	как бы ни	1	8
28	в этом смысле	3	7
29	с точки зрения	10	7
30	и как бы	1	6
31	есть для меня	1	6
32	может быть только	7	6
33	то же самое	1	6
34	и может быть	2	6
35	не было бы	3	6
36	том смысле в	1	6
37	по себе а	1	5
38	в том случае	1	5
39	между тем как	3	5
40	к тому что	1	5
41	и то что	1	5
42	если бы не	1	5
43	и тот же	3	4
44	в том же	1	4
45	но не в	1	4
46	зависит от того	1	4
47	быть не может	1	4
48	то есть что	1	4
49	один и тот	3	4
50	слово может быть	1	4
51	в противном случае	1	4
52	дело в том	1	4
53	то все же	1	4
54	вопрос о том	2	4
55	в большинстве случаев	1	3
56	хотя бы и	1	3
57	это не значит	1	3
58	не есть еще	1	3
59	в первом случае	1	3
60	и тем самым	1	3
61	а не в	2	3
62	не имеет для	1	3
63	бы то ни	2	3
64	но это не	1	3
65	равно как и	1	3
66	когда мы говорим	1	3
67	не может стать	1	3
68	со всех сторон	1	3
69	не подлежит сомнению	1	3
70	но во всяком	1	3
71	не менее в	1	3
72	притом не только	1	3
73	независимо от его	1	2
74	то для меня	1	2
75	в себе в	1	2
76	заключать в себе	1	2
77	если не исключительно	1	2
78	мы говорим о	2	2
79	в смысле совокупности	1	2
80	мог бы быть	1	2
81	и во всех	1	2
82	тем что я	1	2
83	рядом с ними	1	2
84	бы не было	1	2
85	мысль может быть	1	2
86	могло бы быть	1	2
87	того что в	1	2
88	может казаться что	1	2
89	и некоторым образом	1	2
90	не было и	1	2
91	и по отношению	1	2
92	там где оно	1	2
93	только в нем	1	2
94	и говорить о	1	2
95	то ни было	2	2
96	в целом и	2	2
97	же самое что	1	2
98	в этом последнем	1	2
99	том случае когда	1	2
100	мы не имеем	1	2
101	том что между	1	2
102	не только от	1	2
103	а не как	1	2
104	до того что	1	2
105	потому только что	1	2
106	не потому что	1	2
107	это не будет	1	2
108	и не в	1	2
109	а следовательно и	1	2
110	себя потому что	1	2
111	в этом единстве	1	2
112	а не из	2	2
113	и та же	2	2
114	связанная с ним	1	2
115	тогда когда оно	1	2
116	не зависит от	1	2
117	будет ли она	1	2
118	одна и та	2	2
119	было бы совершенно	1	2
