N	2gram	Potebnia_M	TeoriaLi
1	в мире	3	26
2	не только	32	24
3	и в	58	24
4	то есть	69	22
5	состоит в	1	22
6	может быть	47	22
7	при этом	17	20
8	в том	38	20
9	тогда как	10	18
10	и не	34	17
11	а в	11	15
12	но и	26	14
13	а не	38	14
14	так и	17	14
15	в себе	22	14
16	такого рода	1	13
17	но не	19	13
18	в этом	18	12
19	но в	12	12
20	в его	7	12
21	то же	13	12
22	том что	21	11
23	точки зрения	8	11
24	и его	7	11
25	что в	34	10
26	по отношению	15	10
27	как это	1	10
28	лишь в	2	10
29	отношению к	13	10
30	в душе	28	9
31	только в	36	9
32	в данном	1	9
33	с другой	13	9
34	не в	23	9
35	в то	6	9
36	в своей	3	8
37	же время	4	8
38	как бы	12	8
39	по своей	2	8
40	не может	30	8
41	в самом	5	7
42	не столько	3	7
43	в отличие	1	7
44	в своем	3	7
45	себя в	1	7
46	мы имеем	1	7
47	отличие от	1	7
48	во второй	1	7
49	отношение к	1	7
50	однако в	4	7
51	место в	3	7
52	в области	1	7
53	в нем	26	7
54	другой стороны	7	6
55	более или	6	6
56	как и	16	6
57	не менее	10	6
58	приводит к	1	6
59	еще не	9	6
60	то что	24	6
61	со стороны	11	6
62	уже не	4	6
63	с его	3	6
64	в ее	2	6
65	с другими	3	6
66	между ними	2	6
67	или менее	6	6
68	того или	1	6
69	тем самым	6	6
70	в первой	1	6
71	ни в	2	5
72	в виду	2	5
73	не предполагает	1	5
74	как в	18	5
75	роли в	1	5
76	можно сказать	1	5
77	того чтобы	4	5
78	для того	8	5
79	жизни как	1	5
80	как к	1	5
81	для него	13	5
82	а и	5	5
83	того что	15	5
84	деятельности в	2	5
85	в себя	2	5
86	между тем	7	5
87	он не	4	5
88	и тем	5	5
89	и о	3	5
90	в ходе	1	5
91	могут быть	17	5
92	без исключения	1	4
93	в отношении	1	4
94	не на	3	4
95	не следует	6	4
96	и сам	1	4
97	в этих	10	4
98	значении этого	1	4
99	отношения к	2	4
100	что он	5	4
101	в слове	21	4
102	языка в	6	4
103	совпадает с	1	4
104	входит в	1	4
105	в другом	3	4
106	отношении к	1	4
107	сказать что	5	4
108	в нашем	2	4
109	к тому	5	4
110	этого слова	5	4
111	никогда не	7	4
112	и того	6	4
113	это не	10	4
114	хотя и	6	4
115	слова в	7	4
116	в их	3	4
117	его в	3	4
118	но он	3	4
119	или даже	3	4
120	так в	4	4
121	а только	8	4
122	субъекта и	4	4
123	речи и	11	4
124	в свою	8	4
125	и что	13	4
126	далеко не	4	4
127	того же	13	4
128	одного и	6	4
129	с ее	2	4
130	в целом	3	4
131	и ее	1	4
132	во втором	6	3
133	в таком	7	3
134	на меня	1	3
135	для себя	4	3
136	с этой	3	3
137	даже в	1	3
138	была бы	3	3
139	только не	2	3
140	подобно тому	7	3
141	если бы	23	3
142	между которыми	1	3
143	все эти	3	3
144	а именно	1	3
145	именно в	2	3
146	например в	4	3
147	в жизни	5	3
148	имеет место	4	3
149	их в	2	3
150	никто не	3	3
151	роль в	1	3
152	из которого	3	3
153	тем не	11	3
154	перед нами	1	3
155	но их	1	3
156	свою очередь	8	3
157	в противоположность	2	3
158	потому что	89	3
159	одной стороны	6	3
160	между двумя	1	3
161	в одном	13	3
162	вслед за	2	3
163	имеем в	1	3
164	известной степени	1	3
165	на две	2	3
166	мог бы	5	3
167	во всей	1	3
168	не все	3	3
169	от себя	2	3
170	и внешней	1	3
171	понятие о	2	3
172	из этих	8	3
173	и для	8	3
174	таким образом	21	3
175	и то	4	3
176	человека к	1	3
177	мышления и	1	3
178	с одной	7	3
179	в произведении	1	3
