N	4gram	Vygotskiy_	Literetu
1	состоит в том что	4	8
2	с этой точки зрения	4	5
3	бы то ни было	1	4
4	какого бы то ни	1	3
5	с одной стороны и	1	3
6	в том числе и	3	3
7	не может быть вообще	1	2
8	только в том что	4	2
9	которые могли бы быть	1	2
10	одно и то же	6	2
11	как бы там ни	1	1
12	не что иное как	2	1
13	которые не могут быть	1	1
14	и то же общее	1	1
15	и того же слова	1	1
16	все более и более	1	1
17	в том что в	3	1
18	в том что при	1	1
19	и то же в	1	1
20	с другой стороны он	1	1
21	одного и того же	5	1
22	и вместе с тем	2	1
23	одних и тех же	1	1
24	в такой же мере	1	1
25	во всей ее полноте	1	1
26	восприятия а как бы	1	1
27	в том что поскольку	1	1
28	мы никогда не можем	1	1
29	в том что он	1	1
30	с предшествующим и последующим	1	1
31	там ни было но	1	1
32	во всяком случае в	1	1
33	роль по отношению к	1	1
34	приводит к тому что	1	1
35	одним и тем же	4	1
36	бы там ни было	1	1
