N	3gram	Vinokur_St	Poddanst
1	то же время	5	7
2	в то же	5	7
3	в отношении к	1	5
4	в том что	29	4
5	не только в	4	4
6	сами по себе	2	3
7	с точки зрения	10	3
8	с одной стороны	2	3
9	но и в	2	2
10	заключается в том	4	2
11	к л а	1	2
12	и в то	1	2
13	в том числе	3	2
14	и т д	25	1
15	с с и	1	1
16	никакого сомнения что	1	1
17	к о в	1	1
18	можно судить по	1	1
19	за то что	5	1
20	чуть ли не	2	1
21	нет никакого сомнения	1	1
22	далеко не все	1	1
23	вместе с тем	2	1
24	но в то	2	1
25	в применении к	3	1
26	том числе и	2	1
27	что в момент	1	1
28	если бы мы	2	1
29	не может быть	5	1
30	о котором говорит	1	1
31	во многих случаях	2	1
32	том что в	4	1
33	но также и	5	1
34	в отличие от	1	1
35	в этом смысле	2	1
36	по сравнению с	1	1
37	и более чем	1	1
38	только в ней	1	1
39	в наших глазах	2	1
40	и то что	2	1
41	что в этом	1	1
42	с величайшим трудом	1	1
43	и пр в	1	1
44	но также в	1	1
45	во всей полноте	1	1
46	хотя бы и	2	1
47	очень и очень	1	1
48	между тем в	1	1
49	во всяком случае	8	1
50	что с точки	1	1
51	для того чтобы	13	1
52	том что русская	1	1
53	с другой стороны	8	1
54	в известном смысле	1	1
55	и не может	1	1
56	не в том	3	1
57	в настоящее время	2	1
58	более или менее	2	1
59	тем более что	2	1
60	так же как	5	1
61	и в этом	4	1
62	нет сомнения что	2	1
