N	3gram	Losev_Dial	Otkroven
1	для того чтобы	1	3
2	в нем нет	3	3
3	не могут быть	1	2
4	как и все	1	2
5	не может быть	4	2
6	что же это	1	2
7	же это за	1	2
8	но и в	1	2
9	это было бы	1	2
10	и в этом	4	2
11	свое учение о	2	1
12	сам по себе	8	1
13	хотя и не	1	1
14	но от этого	1	1
15	и не быть	1	1
16	в одном месте	1	1
17	о том что	6	1
18	я имею в	1	1
19	в том что	12	1
20	ничто не может	1	1
21	не в том	2	1
22	друг с другом	2	1
23	должно быть ясно	1	1
24	и не очень	1	1
25	в одно время	2	1
26	только и состоит	1	1
27	и то что	1	1
28	бы и не	2	1
29	в виду не	1	1
30	вот оказывается что	1	1
31	как например в	1	1
32	не есть просто	2	1
33	в самом деле	3	1
34	и не в	1	1
35	как будто бы	3	1
36	хотя бы даже	1	1
37	ни с какой	5	1
38	есть лишь движение	1	1
39	во всяком случае	3	1
40	имею в виду	1	1
41	в каждом из	2	1
42	в братьях карамазовых	1	1
43	бросается в глаза	1	1
44	это не есть	1	1
45	со всей ее	1	1
46	ко всему этому	1	1
47	ни с чем	1	1
48	и не самое	1	1
49	само по себе	7	1
50	больше всего в	1	1
51	в этом отношении	2	1
52	что это за	3	1
53	да и то	3	1
54	эта не может	1	1
55	по сравнению с	2	1
56	а не только	1	1
57	плоти и крови	1	1
58	на то что	4	1
59	одном месте и	1	1
60	от того что	1	1
61	том что в	1	1
62	нет у него	1	1
63	но почему же	1	1
64	и в том	1	1
65	не было и	1	1
66	и вот оказывается	1	1
67	никто не может	1	1
68	каждом из них	1	1
69	веры а не	1	1
70	и не может	1	1
71	и ни с	1	1
72	друг к другу	2	1
73	после этого только	1	1
74	человека и не	1	1
